DATE,recent_playtime_Age of Empires IV,recent_playtime_Anno 1800,recent_playtime_Command & Conquer™ Remastered Collection,recent_playtime_Company of Heroes ,recent_playtime_Company of Heroes 2,recent_playtime_Europa Universalis IV,recent_playtime_Hearts of Iron IV,recent_playtime_Total War SHOGUN 2,recent_playtime_Total War WARHAMMER II,recent_playtime_Total War WARHAMMER III,popularity_Age of Empires IV,popularity_Anno 1800,popularity_Command & Conquer™ Remastered Collection,popularity_Company of Heroes ,popularity_Company of Heroes 2,popularity_Europa Universalis IV,popularity_Hearts of Iron IV,popularity_Total War SHOGUN 2,popularity_Total War WARHAMMER II,popularity_Total War WARHAMMER III,CCU_Age of Empires IV,CCU_Anno 1800,CCU_Command & Conquer™ Remastered Collection,CCU_Company of Heroes ,CCU_Company of Heroes 2,CCU_Europa Universalis IV,CCU_Hearts of Iron IV,CCU_Total War SHOGUN 2,CCU_Total War WARHAMMER II,CCU_Total War WARHAMMER III,AU_Age of Empires IV,AU_Anno 1800,AU_Command & Conquer™ Remastered Collection,AU_Company of Heroes ,AU_Company of Heroes 2,AU_Europa Universalis IV,AU_Hearts of Iron IV,AU_Total War SHOGUN 2,AU_Total War WARHAMMER II,AU_Total War WARHAMMER III
2019-03-15,,,,428551.0,2090112.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,29933.0,101246.0,,,,,
2019-03-16,,,,,,3526768.0,7204454.0,475575.0,3256156.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,147178.0,271975.0,40297.0,96269.0,
2019-03-18,,,,402712.0,2018569.0,3400549.0,7163461.0,541293.0,3322256.0,,,,,42.52,54.3,16.83,24.97,21.13,8.13,,,,,1391.0,5961.0,12130.0,17549.0,3091.0,18366.0,,,,,29747.0,105215.0,154096.0,281294.0,44266.0,106844.0,
2019-03-19,,,,389034.0,2013133.0,3344363.0,7083837.0,569299.0,3378694.0,,,,,42.59,54.42,16.94,24.91,21.23,8.17,,,,,957.0,3605.0,10973.0,15267.0,2553.0,16179.0,,,,,28602.0,107442.0,155327.0,279303.0,46045.0,107964.0,
2019-03-20,,,,400423.0,2011669.0,3463933.0,7124363.0,589175.0,3400769.0,,,,,46.26,59.25,18.53,27.04,23.06,8.99,,,,,842.0,3295.0,9539.0,13939.0,2325.0,14620.0,,,,,32521.0,121761.0,172422.0,303252.0,50673.0,120243.0,
2019-03-21,,,,397737.0,2023648.0,3409380.0,6948293.0,669616.0,3480636.0,,,,,45.9,58.91,18.41,26.83,22.88,9.03,,,,,902.0,3443.0,9227.0,15883.0,2434.0,14634.0,,,,,34101.0,124013.0,171986.0,301187.0,51145.0,121575.0,
2019-03-22,,,,388596.0,1991632.0,3609577.0,6993424.0,704607.0,3546790.0,,,,,45.35,58.33,18.11,26.32,22.5,9.1,,,,,962.0,3823.0,9635.0,14601.0,2502.0,15189.0,,,,,33467.0,121351.0,170618.0,296435.0,50561.0,124399.0,
2019-03-23,,,,385430.0,2088869.0,3681110.0,6924847.0,696016.0,3600698.0,,,,,44.63,57.69,17.94,25.96,22.09,8.99,,,,,1279.0,4420.0,12140.0,18461.0,3007.0,17276.0,,,,,33454.0,120866.0,173168.0,293834.0,49167.0,122234.0,
2019-03-24,,,,378657.0,2214916.0,3620245.0,6831624.0,693682.0,3689110.0,,,,,44.0,57.27,17.55,25.78,21.7,8.99,,,,,1231.0,4858.0,11874.0,18405.0,2990.0,17952.0,,,,,34114.0,120691.0,168838.0,294979.0,47886.0,125680.0,
2019-03-25,,,,374018.0,2127480.0,3571736.0,6865116.0,718470.0,3816761.0,,,,,43.57,56.94,17.43,25.7,21.5,8.96,,,,,862.0,3455.0,10796.0,15373.0,2371.0,16493.0,,,,,35569.0,120778.0,167458.0,296858.0,50187.0,126228.0,
