DATE,recent_playtime\COH,recent_playtime\victoria,recent_playtime\warhammer,popularity\COH_x,popularity\victoria_x,popularity\warhammer_x,popularity\COH_y,popularity\victoria_y,popularity\warhammer_y,AU\coh,AU\victoria,AU\warhammer
2023-05-28,4946753.0,,,125.41,,,125.41,,,1182380.0,,
2023-05-27,4937914.0,,,125.4,,,125.4,,,1182180.0,,
2023-05-26,4940065.0,,,125.39,,,125.39,,,1182081.0,,
2023-05-25,4937218.0,,,125.36,,,125.36,,,1181670.0,,
2023-05-24,4925690.0,,,125.35,,,125.35,,,1181571.0,,
2023-05-23,4929906.0,,,125.35,,,125.35,,,1181471.0,,
2023-05-22,4931945.0,,,125.34,,,125.34,,,1181272.0,,
2023-05-21,4930421.0,,7787006.0,125.32,,42.69,125.32,,42.69,1181073.0,,881715.0
2023-05-20,4937451.0,,,125.3,,,125.3,,,1180862.0,,
2023-05-19,4937974.0,,,125.28,,,125.28,,,1180464.0,,
2023-05-18,4930943.0,,,125.27,,,125.27,,,1180265.0,,
2023-05-17,4914037.0,,,125.26,,,125.26,,,1180165.0,,
2023-05-16,4916895.0,1132628.0,7798121.0,125.24,17.99,42.67,125.24,17.99,42.67,1179954.0,224799.0,881304.0
2023-05-15,4912345.0,,,125.24,,,125.24,,,1179954.0,,
2023-05-14,4909490.0,,,125.23,,,125.23,,,1179854.0,,
2023-05-13,4913450.0,,,125.22,,,125.22,,,1179854.0,,
2023-05-12,4919776.0,,,125.22,,,125.22,,,1179854.0,,
2023-05-11,4919907.0,,7794391.0,125.2,,42.64,125.2,,42.64,1179655.0,,880906.0
2023-05-10,4926107.0,1119575.0,,125.18,17.97,,125.18,17.97,,1179045.0,224388.0,
2023-05-09,4921185.0,,,125.15,,,125.15,,,1178821.0,,
2023-05-08,4923888.0,,,125.14,,,125.14,,,1178722.0,,
2023-05-07,4925435.0,,,125.13,,,125.13,,,1178622.0,,
2023-05-06,4933043.0,,,125.12,,,125.12,,,1178523.0,,
2023-05-05,4931725.0,1115082.0,7799756.0,125.11,17.96,42.61,125.11,17.96,42.61,1178423.0,224289.0,880384.0
2023-05-04,4932253.0,,,125.09,,,125.09,,,1178125.0,,
2023-05-03,4923619.0,,,125.08,,,125.08,,,1178125.0,,
2023-05-02,4903165.0,,,125.07,,,125.07,,,1177913.0,,
2023-05-01,4907786.0,,,125.06,,,125.06,,,1177913.0,,
2023-04-30,4893341.0,,7792533.0,125.04,,42.58,125.04,,42.58,1177615.0,,879973.0
2023-04-29,4899143.0,1117479.0,,125.02,17.96,,125.02,17.96,,1177204.0,224189.0,
2023-04-28,4893768.0,,,125.02,,,125.02,,,1177104.0,,
2023-04-27,4884324.0,,,125.01,,,125.01,,,1177005.0,,
2023-04-26,4868741.0,,,124.99,,,124.99,,,1176507.0,,
2023-04-25,4869222.0,,,124.94,,,124.94,,,1175985.0,,
2023-04-24,4858761.0,1119276.0,7816262.0,124.93,17.95,42.56,124.93,17.95,42.56,1175786.0,223965.0,879388.0
2023-04-23,4864050.0,,,124.91,,,124.91,,,1175686.0,,
2023-04-22,4857036.0,,,124.9,,,124.9,,,1175375.0,,
2023-04-21,4869948.0,,,124.87,,,124.87,,,1174977.0,,
2023-04-20,4880955.0,,,124.85,,,124.85,,,1174567.0,,
2023-04-19,4900790.0,1131613.0,7810824.0,124.84,17.94,42.53,124.84,17.94,42.53,1174504.0,223953.0,878928.0
2023-04-18,4901370.0,,,124.82,,,124.82,,,1174305.0,,
2023-04-17,4902948.0,,,124.81,,,124.81,,,1173994.0,,
2023-04-16,4899963.0,,,124.79,,,124.79,,,1173596.0,,
2023-04-15,4898796.0,,,124.78,,,124.78,,,1173397.0,,
2023-04-14,4897870.0,,7830601.0,124.76,,42.5,124.76,,42.5,1173186.0,,878331.0
2023-04-13,4890015.0,1136235.0,,124.74,17.92,,124.74,17.92,,1172986.0,223754.0,
2023-04-12,4884461.0,,,124.71,,,124.71,,,1172476.0,,
2023-04-11,4882076.0,,,124.7,,,124.7,,,1172277.0,,
2023-04-10,4889474.0,,,124.68,,,124.68,,,1172078.0,,
2023-04-09,4903212.0,,,124.66,,,124.66,,,1171780.0,,
2023-04-08,4900497.0,1140613.0,7862567.0,124.64,17.92,42.48,124.64,17.92,42.48,1171170.0,223642.0,877920.0
2023-04-07,4915366.0,,,124.61,,,124.61,,,1170560.0,,
2023-04-06,4915226.0,,,124.59,,,124.59,,,1170262.0,,
2023-04-05,4914136.0,,,124.58,,,124.58,,,1170162.0,,
2023-04-04,4923469.0,,,124.57,,,124.57,,,1169963.0,,
2023-04-03,4931735.0,1125113.0,7865892.0,124.54,17.9,42.46,124.54,17.9,42.46,1169453.0,223244.0,877721.0
2023-04-02,4931767.0,,,124.52,,,124.52,,,1169043.0,,
2023-04-01,4937857.0,,,124.5,,,124.5,,,1168445.0,,
2023-03-31,4937223.0,,,124.49,,,124.49,,,1168346.0,,
2023-03-30,4940257.0,,,124.47,,,124.47,,,1168134.0,,
2023-03-29,4944142.0,,7872494.0,124.45,,42.44,124.45,,42.44,1167736.0,,877336.0
2023-03-28,4944307.0,1124603.0,,124.4,17.88,,124.4,17.88,,1167512.0,223094.0,
2023-03-27,4938660.0,,,124.37,,,124.37,,,1167002.0,,
2023-03-26,4940551.0,,,124.35,,,124.35,,,1166704.0,,
2023-03-25,4947505.0,,,124.32,,,124.32,,,1166293.0,,
2023-03-24,4950330.0,,,124.3,,,124.3,,,1165895.0,,
2023-03-23,4975059.0,1115699.0,7844558.0,124.29,17.87,42.4,124.29,17.87,42.4,1165696.0,222696.0,876539.0
