DateTime,Age of Empires II Definitive Edition-CCU,age of wonders 4-CCU,BattleTech-CCU,Company of Heroes 3-CCU,Crusader Kings III-CCU,Dota2-CCU,Europa Universalis IV-CCU,Hearts of Iron IV-CCU,Iron Harvest-CCU,Mechabellum-CCU,Sid Meier's Civilization IV-CCU,SMITE®-CCU,Space Gears Playtest-CCU,Starship Troopers Terran Command-CCU,Stellaris-CCU,Supreme Commander Forged Alliance-CCU,Total War WARHAMMER III-CCU,Steam-CCU,Steam-In-Game
2023-05-17 01:30:00,,,,,,,,,,,,,,,,,,19306347.0,4384593.0
2023-05-17 01:40:00,,,,,,,,,,,,,,,,,,19342794.0,4397111.0
2023-05-17 01:50:00,,,,,,,,,,,,,,,,,,19383855.0,4415090.0
2023-05-17 02:00:00,,,,,,,,,,,,,,,,,,19408522.0,4428422.0
2023-05-17 02:10:00,,,,,,,,,,,,,,,,,,19426076.0,4466735.0
2023-05-17 02:20:00,,,,,,,,,,,,,,,,,,19447751.0,4496397.0
2023-05-17 02:30:00,,,,,,,,,,,,,,,,,,19450079.0,4512013.0
2023-05-17 02:40:00,,,,,,,,,,,,,,,,,,19435397.0,4517152.0
2023-05-17 02:50:00,,,,,,,,,,,,,,,,,,19411710.0,4517523.0
2023-05-17 03:00:00,,,,,,,,,,,,,,,,,,19373904.0,4503795.0
2023-05-17 03:10:00,,,,,,,,,,,,,,,,,,19287784.0,4465828.0
2023-05-17 03:20:00,,,,,,,,,,,,,,,,,,19220473.0,4437371.0
2023-05-17 03:30:00,,,,,,,,,,,,,,,,,,19128072.0,4416652.0
2023-05-17 03:40:00,,,,,,,,,,,,,,,,,,19058137.0,4395041.0
2023-05-17 03:50:00,,,,,,,,,,,,,,,,,,19026047.0,4374040.0
2023-05-17 04:00:00,,,,,,,,,,,,,,,,,,19020176.0,4359026.0
2023-05-17 04:10:00,,,,,,,,,,,,,,,,,,19076462.0,4366888.0
2023-05-17 04:20:00,,,,,,,,,,,,,,,,,,19143896.0,4397520.0
2023-05-17 04:30:00,,,,,,,,,,,,,,,,,,19113785.0,4395989.0
2023-05-17 04:40:00,,,,,,,,,,,,,,,,,,19134552.0,4415872.0
2023-05-17 04:50:00,,,,,,,,,,,,,,,,,,19124751.0,4417051.0
2023-05-17 05:00:00,,,,,,,,,,,,,,,,,,19062005.0,4396917.0
2023-05-17 05:10:00,,,,,,,,,,,,,,,,,,18973873.0,4369531.0
2023-05-17 05:20:00,,,,,,,,,,,,,,,,,,18897856.0,4347063.0
2023-05-17 05:30:00,,,,,,270612.0,,,,,,,,,,,,18830271.0,4312383.0
2023-05-17 05:40:00,13122.0,,,,17310.0,271926.0,9019.0,,,,435.0,9786.0,,,16165.0,590.0,12437.0,18787476.0,4285204.0
2023-05-17 05:50:00,12719.0,,,,17107.0,272755.0,9044.0,,61.0,,432.0,9495.0,,187.0,15949.0,596.0,12280.0,18750001.0,4259143.0
2023-05-17 06:00:00,12511.0,,,,16962.0,274128.0,9036.0,,63.0,,431.0,9098.0,,184.0,15825.0,581.0,12088.0,18764005.0,4234054.0
2023-05-17 06:10:00,12333.0,,,,16898.0,276757.0,8945.0,,62.0,,420.0,8650.0,,181.0,15540.0,565.0,11956.0,18822981.0,4230466.0
2023-05-17 06:20:00,12122.0,,,,16748.0,279740.0,9015.0,,61.0,,412.0,8144.0,,172.0,15478.0,559.0,11945.0,18872229.0,4230537.0
2023-05-17 06:30:00,11972.0,,,,16657.0,282376.0,9079.0,,61.0,,417.0,7788.0,,167.0,15426.0,558.0,11986.0,18930706.0,4235507.0
2023-05-17 06:40:00,11931.0,,,,16634.0,286376.0,9167.0,,61.0,,433.0,7360.0,,180.0,15450.0,564.0,11936.0,19008510.0,4243469.0
2023-05-17 06:50:00,11745.0,,,,16617.0,290055.0,9281.0,,54.0,,442.0,7148.0,,185.0,15464.0,585.0,12018.0,19101087.0,4260645.0
2023-05-17 07:00:00,11731.0,,,,16623.0,293552.0,9314.0,,58.0,,446.0,6871.0,,189.0,15406.0,584.0,12046.0,19199895.0,4265619.0
2023-05-17 07:10:00,11772.0,,,,16693.0,297844.0,9461.0,,59.0,,447.0,6567.0,,193.0,15372.0,586.0,12090.0,19310344.0,4292016.0
2023-05-17 07:20:00,11872.0,,,,16839.0,302018.0,9618.0,,58.0,,442.0,6340.0,,194.0,15406.0,595.0,12178.0,19414402.0,4321772.0
2023-05-17 07:30:00,11901.0,,,,16995.0,306343.0,9736.0,,59.0,,440.0,6055.0,,193.0,15412.0,602.0,12326.0,19521784.0,4356611.0
2023-05-17 07:40:00,11993.0,,,,17187.0,311019.0,9898.0,,62.0,,441.0,5827.0,,202.0,15449.0,594.0,12459.0,19630677.0,4394047.0
2023-05-17 07:50:00,12151.0,,,,17335.0,315300.0,10075.0,,65.0,,442.0,5631.0,,193.0,15555.0,592.0,12652.0,19768588.0,4455359.0
2023-05-17 08:00:00,12272.0,,,,17447.0,319425.0,10198.0,,60.0,,433.0,5449.0,,203.0,15670.0,601.0,12747.0,19932102.0,4521646.0
2023-05-17 08:10:00,12413.0,8755.0,1106.0,,17705.0,323810.0,10461.0,20214.0,65.0,1774.0,438.0,5235.0,,205.0,15789.0,603.0,12914.0,20085333.0,4591449.0
2023-05-17 08:20:00,12563.0,8809.0,1085.0,,17987.0,328297.0,10732.0,20595.0,69.0,1811.0,446.0,5023.0,,201.0,15982.0,593.0,13124.0,20244154.0,4664766.0
2023-05-17 08:30:00,12607.0,8892.0,1087.0,,18190.0,331801.0,10930.0,21023.0,65.0,1870.0,450.0,4907.0,,200.0,16112.0,591.0,13281.0,20392082.0,4723840.0
2023-05-17 08:40:00,12716.0,8964.0,1100.0,,18404.0,335869.0,11172.0,21412.0,67.0,1873.0,457.0,4846.0,,204.0,16346.0,598.0,13475.0,20593443.0,4798651.0
2023-05-17 08:50:00,12918.0,8974.0,1106.0,,18612.0,339032.0,11295.0,21794.0,72.0,1887.0,461.0,4776.0,,196.0,16532.0,605.0,13590.0,20747930.0,4843079.0
2023-05-17 09:00:00,13043.0,9037.0,1105.0,,18801.0,341136.0,11478.0,22105.0,68.0,1906.0,466.0,4736.0,,198.0,16635.0,599.0,13724.0,20887983.0,4880025.0
2023-05-17 09:10:00,13145.0,9080.0,1115.0,,18955.0,343931.0,11730.0,22466.0,72.0,1949.0,466.0,4727.0,,212.0,16614.0,594.0,13848.0,21023649.0,4914243.0
2023-05-17 09:20:00,13270.0,9165.0,1124.0,,19077.0,347694.0,11979.0,22862.0,71.0,1980.0,479.0,4697.0,,223.0,16638.0,607.0,13997.0,21194532.0,4945802.0
2023-05-17 09:30:00,13402.0,9281.0,1125.0,,19235.0,350146.0,12131.0,23235.0,70.0,2000.0,474.0,4670.0,,229.0,16755.0,622.0,14194.0,21337385.0,4974687.0
