"DateTime","Players","Players Trend"
"2023-05-25 00:50:00",13635,15002
"2023-05-25 01:00:00",13743,15002
"2023-05-25 01:10:00",13883,15003
"2023-05-25 01:20:00",14127,15005
"2023-05-25 01:30:00",14157,15005
"2023-05-25 01:40:00",14239,15007
"2023-05-25 01:50:00",14395,15010
"2023-05-25 02:00:00",14531,15014
"2023-05-25 02:10:00",14776,15018
"2023-05-25 02:20:00",14953,15020
"2023-05-25 02:30:00",15035,15022
"2023-05-25 02:40:00",15117,15025
"2023-05-25 02:50:00",15172,15028
"2023-05-25 03:00:00",15091,15030
"2023-05-25 03:10:00",14976,15032
"2023-05-25 03:20:00",14867,15036
"2023-05-25 03:30:00",14613,15039
"2023-05-25 03:40:00",14389,15041
"2023-05-25 03:50:00",14215,15044
"2023-05-25 04:00:00",14030,15047
"2023-05-25 04:10:00",13770,15049
"2023-05-25 04:20:00",13508,15050
"2023-05-25 04:30:00",13281,15052
"2023-05-25 04:40:00",12963,15053
"2023-05-25 04:50:00",12709,15056
"2023-05-25 05:00:00",12466,15057
"2023-05-25 05:10:00",12081,15059
"2023-05-25 05:20:00",11790,15060
"2023-05-25 05:30:00",11512,15062
"2023-05-25 05:40:00",11244,15065
"2023-05-25 05:50:00",11071,15068
"2023-05-25 06:00:00",10775,15070
"2023-05-25 06:10:00",10486,15073
"2023-05-25 06:20:00",10308,15076
"2023-05-25 06:30:00",10209,15079
"2023-05-25 06:40:00",10198,15082
"2023-05-25 06:50:00",10129,15086
"2023-05-25 07:00:00",10039,15088
"2023-05-25 07:10:00",10025,15091
"2023-05-25 07:20:00",10016,15093
"2023-05-25 07:30:00",10093,15095
"2023-05-25 07:40:00",10107,15097
"2023-05-25 07:50:00",10078,15100
"2023-05-25 08:00:00",10088,15102
"2023-05-25 08:10:00",10167,15106
"2023-05-25 08:20:00",10247,15109
"2023-05-25 08:30:00",10356,15113
"2023-05-25 08:40:00",10573,15117
"2023-05-25 08:50:00",10657,15120
"2023-05-25 09:00:00",10724,15124
"2023-05-25 09:10:00",10795,15127
"2023-05-25 09:20:00",10912,15131
"2023-05-25 09:30:00",11006,15135
"2023-05-25 09:40:00",11124,15138
"2023-05-25 09:50:00",11199,15141
"2023-05-25 10:00:00",11251,15144
"2023-05-25 10:10:00",11415,15147
"2023-05-25 10:20:00",11499,15150
"2023-05-25 10:30:00",11692,15154
"2023-05-25 10:40:00",11883,15158
"2023-05-25 10:50:00",12105,15162
"2023-05-25 11:00:00",12291,15166
"2023-05-25 11:10:00",12474,15169
"2023-05-25 11:20:00",12695,15173
"2023-05-25 11:30:00",13020,15178
