"DateTime","Players","Players Trend"
"2023-05-17 05:40:00",13122,17291
"2023-05-17 05:50:00",12719,17284
"2023-05-17 06:00:00",12511,17278
"2023-05-17 06:10:00",12333,17272
"2023-05-17 06:20:00",12122,17266
"2023-05-17 06:30:00",11972,17260
"2023-05-17 06:40:00",11931,17255
"2023-05-17 06:50:00",11745,17249
"2023-05-17 07:00:00",11731,17245
"2023-05-17 07:10:00",11772,17242
"2023-05-17 07:20:00",11872,17239
"2023-05-17 07:30:00",11901,17236
"2023-05-17 07:40:00",11993,17234
"2023-05-17 07:50:00",12151,17233
"2023-05-17 08:00:00",12272,17232
"2023-05-17 08:10:00",12413,17232
"2023-05-17 08:20:00",12563,17232
"2023-05-17 08:30:00",12607,17233
"2023-05-17 08:40:00",12716,17236
"2023-05-17 08:50:00",12918,17239
"2023-05-17 09:00:00",13043,17243
"2023-05-17 09:10:00",13145,17246
"2023-05-17 09:20:00",13270,17251
"2023-05-17 09:30:00",13402,17256
"2023-05-17 09:40:00",13533,17262
"2023-05-17 09:50:00",13633,17269
"2023-05-17 10:00:00",13754,17276
"2023-05-17 10:10:00",13949,17283
"2023-05-17 10:20:00",14135,17291
"2023-05-17 10:30:00",14384,17298
"2023-05-17 10:40:00",14563,17306
"2023-05-17 10:50:00",14915,17315
"2023-05-17 11:00:00",15256,17322
"2023-05-17 11:10:00",15533,17330
"2023-05-17 11:20:00",15948,17337
"2023-05-17 11:30:00",16235,17343
"2023-05-17 11:40:00",16541,17349
"2023-05-17 11:50:00",16867,17356
"2023-05-17 12:00:00",17177,17363
"2023-05-17 12:10:00",17544,17370
"2023-05-17 12:20:00",17910,17378
"2023-05-17 12:30:00",18240,17387
"2023-05-17 12:40:00",18693,17396
"2023-05-17 12:50:00",19062,17406
"2023-05-17 13:00:00",19423,17417
"2023-05-17 13:10:00",19863,17427
"2023-05-17 13:20:00",20129,17437
"2023-05-17 13:30:00",20510,17448
"2023-05-17 13:40:00",20924,17459
"2023-05-17 13:50:00",21189,17469
"2023-05-17 14:00:00",21618,17480
"2023-05-17 14:10:00",21848,17488
"2023-05-17 14:20:00",21999,17496
"2023-05-17 14:30:00",22055,17504
"2023-05-17 14:40:00",22215,17513
"2023-05-17 14:50:00",22187,17521
"2023-05-17 15:00:00",22180,17530
"2023-05-17 15:10:00",22094,17538
"2023-05-17 15:20:00",22079,17546
"2023-05-17 15:30:00",21914,17554
"2023-05-17 15:40:00",21902,17561
"2023-05-17 15:50:00",21742,17567
"2023-05-17 16:00:00",21408,17572
"2023-05-17 16:10:00",21137,17578
"2023-05-17 16:20:00",20995,17585
"2023-05-17 16:30:00",20868,17591
"2023-05-17 16:40:00",20950,17598
"2023-05-17 16:50:00",21003,17603
"2023-05-17 17:00:00",20958,17608
"2023-05-17 17:10:00",20907,17611
"2023-05-17 17:20:00",21036,17613
"2023-05-17 17:30:00",20978,17614
"2023-05-17 17:40:00",21132,17616
"2023-05-17 17:50:00",21253,17615
"2023-05-17 18:00:00",21394,17615
"2023-05-17 18:10:00",21592,17613
"2023-05-17 18:20:00",21685,17611
"2023-05-17 18:30:00",21840,17610
"2023-05-17 18:40:00",21927,17609
"2023-05-17 18:50:00",21912,17609
"2023-05-17 19:00:00",21823,17609
"2023-05-17 19:10:00",21777,17610
"2023-05-17 19:20:00",21779,17613
"2023-05-17 19:30:00",21795,17617
"2023-05-17 19:40:00",21897,17621
"2023-05-17 19:50:00",22003,17625
"2023-05-17 20:00:00",22062,17628
