"DateTime","Players","Players Trend"
"2023-05-17 08:10:00",1106,1674
"2023-05-17 08:20:00",1085,1675
"2023-05-17 08:30:00",1087,1676
"2023-05-17 08:40:00",1100,1676
"2023-05-17 08:50:00",1106,1677
"2023-05-17 09:00:00",1105,1677
"2023-05-17 09:10:00",1115,1678
"2023-05-17 09:20:00",1124,1678
"2023-05-17 09:30:00",1125,1679
"2023-05-17 09:40:00",1133,1680
"2023-05-17 09:50:00",1140,1680
"2023-05-17 10:00:00",1147,1681
"2023-05-17 10:10:00",1150,1682
"2023-05-17 10:20:00",1147,1683
"2023-05-17 10:30:00",1153,1684
"2023-05-17 10:40:00",1170,1685
"2023-05-17 10:50:00",1190,1685
"2023-05-17 11:00:00",1219,1686
"2023-05-17 11:10:00",1221,1687
"2023-05-17 11:20:00",1235,1688
"2023-05-17 11:30:00",1266,1689
"2023-05-17 11:40:00",1284,1689
"2023-05-17 11:50:00",1291,1690
"2023-05-17 12:00:00",1287,1691
"2023-05-17 12:10:00",1306,1691
"2023-05-17 12:20:00",1336,1692
"2023-05-17 12:30:00",1346,1693
"2023-05-17 12:40:00",1357,1693
"2023-05-17 12:50:00",1397,1694
"2023-05-17 13:00:00",1414,1695
"2023-05-17 13:10:00",1440,1696
"2023-05-17 13:20:00",1457,1696
"2023-05-17 13:30:00",1475,1697
"2023-05-17 13:40:00",1485,1698
"2023-05-17 13:50:00",1505,1699
"2023-05-17 14:00:00",1528,1700
"2023-05-17 14:10:00",1545,1700
"2023-05-17 14:20:00",1584,1701
"2023-05-17 14:30:00",1621,1702
"2023-05-17 14:40:00",1644,1702
"2023-05-17 14:50:00",1685,1703
"2023-05-17 15:00:00",1691,1703
"2023-05-17 15:10:00",1705,1703
"2023-05-17 15:20:00",1708,1704
"2023-05-17 15:30:00",1745,1704
"2023-05-17 15:40:00",1756,1705
"2023-05-17 15:50:00",1767,1705
"2023-05-17 16:00:00",1786,1706
"2023-05-17 16:10:00",1783,1706
"2023-05-17 16:20:00",1821,1707
"2023-05-17 16:30:00",1835,1707
"2023-05-17 16:40:00",1853,1708
"2023-05-17 16:50:00",1880,1708
"2023-05-17 17:00:00",1913,1708
"2023-05-17 17:10:00",1926,1709
"2023-05-17 17:20:00",1965,1709
"2023-05-17 17:30:00",1981,1709
"2023-05-17 17:40:00",1999,1709
"2023-05-17 17:50:00",2025,1709
"2023-05-17 18:00:00",2043,1709
"2023-05-17 18:10:00",2046,1709
"2023-05-17 18:20:00",2039,1709
"2023-05-17 18:30:00",2033,1710
