"DateTime","Players","Players Trend"
"2023-05-29 05:00:00",1360,1909
"2023-05-29 05:10:00",1353,1906
"2023-05-29 05:20:00",1350,1904
"2023-05-29 05:30:00",1341,1901
"2023-05-29 05:40:00",1335,1898
"2023-05-29 05:50:00",1325,1896
"2023-05-29 06:00:00",1324,1893
"2023-05-29 06:10:00",1321,1891
"2023-05-29 06:20:00",1319,1889
"2023-05-29 06:30:00",1333,1886
"2023-05-29 06:40:00",1313,1884
"2023-05-29 06:50:00",1298,1881
"2023-05-29 07:00:00",1298,1879
"2023-05-29 07:10:00",1306,1877
"2023-05-29 07:20:00",1365,1875
"2023-05-29 07:30:00",1378,1873
"2023-05-29 07:40:00",1403,1870
"2023-05-29 07:50:00",1428,1868
"2023-05-29 08:00:00",1436,1865
"2023-05-29 08:10:00",1437,1862
"2023-05-29 08:20:00",1460,1860
"2023-05-29 08:30:00",1496,1857
"2023-05-29 08:40:00",1525,1855
"2023-05-29 08:50:00",1550,1852
"2023-05-29 09:00:00",1568,1850
"2023-05-29 09:10:00",1603,1847
"2023-05-29 09:20:00",1609,1845
"2023-05-29 09:30:00",1629,1843
"2023-05-29 09:40:00",1676,1840
"2023-05-29 09:50:00",1717,1838
"2023-05-29 10:00:00",1712,1835
"2023-05-29 10:10:00",1758,1832
"2023-05-29 10:20:00",1764,1829
"2023-05-29 10:30:00",1748,1826
"2023-05-29 10:40:00",1777,1823
"2023-05-29 10:50:00",1819,1821
"2023-05-29 11:00:00",1840,1818
"2023-05-29 11:10:00",1857,1815
"2023-05-29 11:20:00",1888,1812
"2023-05-29 11:30:00",1909,1809
"2023-05-29 11:40:00",1944,1807
"2023-05-29 11:50:00",2011,1804
"2023-05-29 12:00:00",2065,1801
"2023-05-29 12:10:00",2112,1797
"2023-05-29 12:20:00",2147,1794
"2023-05-29 12:30:00",2173,1790
"2023-05-29 12:40:00",2241,1786
"2023-05-29 12:50:00",2283,1782
"2023-05-29 13:00:00",2325,1779
"2023-05-29 13:10:00",2399,1775
"2023-05-29 13:20:00",2472,1772
"2023-05-29 13:30:00",2476,1768
"2023-05-29 13:40:00",2521,1764
"2023-05-29 13:50:00",2596,1761
"2023-05-29 14:00:00",2630,1758
"2023-05-29 14:10:00",2674,1754
"2023-05-29 14:20:00",2703,1751
"2023-05-29 14:30:00",2725,1747
"2023-05-29 14:40:00",2726,1743
"2023-05-29 14:50:00",2776,1739
"2023-05-29 15:00:00",2787,1735
"2023-05-29 15:10:00",2769,1730
"2023-05-29 15:20:00",2741,1726
"2023-05-29 15:30:00",2710,1722
"2023-05-29 15:40:00",2662,1717
"2023-05-29 15:50:00",2623,1714
"2023-05-29 16:00:00",2586,1710
"2023-05-29 16:10:00",2547,1706
"2023-05-29 16:20:00",2561,1703
"2023-05-29 16:30:00",2515,1700
"2023-05-29 16:40:00",2516,1697
"2023-05-29 16:50:00",2527,1694
"2023-05-29 17:00:00",2568,1691
"2023-05-29 17:10:00",2589,1688
"2023-05-29 17:20:00",2600,1685
"2023-05-29 17:30:00",2629,1682
"2023-05-29 17:40:00",2605,1679
"2023-05-29 17:50:00",2610,1676
"2023-05-29 18:00:00",2600,1673
"2023-05-29 18:10:00",2673,1671
"2023-05-29 18:20:00",2727,1669
"2023-05-29 18:30:00",2781,1667
"2023-05-29 18:40:00",2803,1665
"2023-05-29 18:50:00",2812,1664
"2023-05-29 19:00:00",2839,1662
"2023-05-29 19:10:00",2829,1660
"2023-05-29 19:20:00",2856,1659
"2023-05-29 19:30:00",2862,1657
"2023-05-29 19:40:00",2866,1656
"2023-05-29 19:50:00",2817,1654
"2023-05-29 20:00:00",2751,1653
"2023-05-29 20:10:00",2713,1652
"2023-05-29 20:20:00",2659,1651
