"DateTime","Players","Players Trend"
"2023-05-25 02:10:00",1270,1579
"2023-05-25 02:20:00",1268,1579
"2023-05-25 02:30:00",1264,1579
"2023-05-25 02:40:00",1227,1579
"2023-05-25 02:50:00",1257,1579
"2023-05-25 03:00:00",1249,1579
"2023-05-25 03:10:00",1261,1578
"2023-05-25 03:20:00",1262,1578
"2023-05-25 03:30:00",1240,1578
"2023-05-25 03:40:00",1243,1577
"2023-05-25 03:50:00",1237,1577
"2023-05-25 04:00:00",1216,1576
"2023-05-25 04:10:00",1199,1576
"2023-05-25 04:20:00",1186,1575
"2023-05-25 04:30:00",1169,1575
"2023-05-25 04:40:00",1158,1574
"2023-05-25 04:50:00",1150,1574
"2023-05-25 05:00:00",1140,1573
"2023-05-25 05:10:00",1121,1573
"2023-05-25 05:20:00",1102,1572
"2023-05-25 05:30:00",1110,1572
"2023-05-25 05:40:00",1115,1572
"2023-05-25 05:50:00",1085,1571
"2023-05-25 06:00:00",1068,1571
"2023-05-25 06:10:00",1079,1571
"2023-05-25 06:20:00",1066,1571
"2023-05-25 06:30:00",1055,1571
"2023-05-25 06:40:00",1046,1571
"2023-05-25 06:50:00",1051,1571
"2023-05-25 07:00:00",1063,1571
"2023-05-25 07:10:00",1077,1572
"2023-05-25 07:20:00",1108,1572
"2023-05-25 07:30:00",1123,1573
"2023-05-25 07:40:00",1125,1573
"2023-05-25 07:50:00",1123,1573
"2023-05-25 08:00:00",1121,1574
"2023-05-25 08:10:00",1103,1575
"2023-05-25 08:20:00",1100,1575
"2023-05-25 08:30:00",1103,1576
"2023-05-25 08:40:00",1142,1577
"2023-05-25 08:50:00",1160,1578
"2023-05-25 09:00:00",1177,1579
"2023-05-25 09:10:00",1169,1580
"2023-05-25 09:20:00",1199,1581
"2023-05-25 09:30:00",1236,1582
"2023-05-25 09:40:00",1249,1583
"2023-05-25 09:50:00",1273,1584
"2023-05-25 10:00:00",1273,1585
"2023-05-25 10:10:00",1298,1585
"2023-05-25 10:20:00",1321,1587
"2023-05-25 10:30:00",1316,1588
"2023-05-25 10:40:00",1376,1589
"2023-05-25 10:50:00",1375,1589
"2023-05-25 11:00:00",1396,1590
"2023-05-25 11:10:00",1433,1591
"2023-05-25 11:20:00",1450,1593
"2023-05-25 11:30:00",1479,1594
"2023-05-25 11:40:00",1525,1595
"2023-05-25 11:50:00",1554,1596
"2023-05-25 12:00:00",1593,1598
"2023-05-25 12:10:00",1651,1599
"2023-05-25 12:20:00",1698,1600
"2023-05-25 12:30:00",1723,1601
"2023-05-25 12:40:00",1758,1602
"2023-05-25 12:50:00",1771,1603
"2023-05-25 13:00:00",1827,1605
"2023-05-25 13:10:00",1845,1606
"2023-05-25 13:20:00",1891,1608
"2023-05-25 13:30:00",1958,1609
"2023-05-25 13:40:00",1950,1610
"2023-05-25 13:50:00",1940,1611
"2023-05-25 14:00:00",1959,1612
"2023-05-25 14:10:00",1979,1614
"2023-05-25 14:20:00",2044,1615
"2023-05-25 14:30:00",2057,1617
"2023-05-25 14:40:00",2065,1619
"2023-05-25 14:50:00",2091,1620
"2023-05-25 15:00:00",2087,1622
"2023-05-25 15:10:00",2033,1624
"2023-05-25 15:20:00",2038,1626
"2023-05-25 15:30:00",2010,1628
"2023-05-25 15:40:00",2010,1630
"2023-05-25 15:50:00",2027,1632
"2023-05-25 16:00:00",2025,1634
"2023-05-25 16:10:00",2024,1636
"2023-05-25 16:20:00",2053,1638
"2023-05-25 16:30:00",2047,1639
"2023-05-25 16:40:00",2005,1640
"2023-05-25 16:50:00",2005,1641
"2023-05-25 17:00:00",2034,1642
"2023-05-25 17:10:00",2091,1642
"2023-05-25 17:20:00",2106,1642
"2023-05-25 17:30:00",2115,1642
"2023-05-25 17:40:00",2113,1643
"2023-05-25 17:50:00",2145,1643
"2023-05-25 18:00:00",2111,1643
"2023-05-25 18:10:00",2176,1644
"2023-05-25 18:20:00",2212,1644
"2023-05-25 18:30:00",2277,1645
"2023-05-25 18:40:00",2322,1645
"2023-05-25 18:50:00",2319,1645
"2023-05-25 19:00:00",2340,1646
"2023-05-25 19:10:00",2366,1647
"2023-05-25 19:20:00",2378,1647
"2023-05-25 19:30:00",2404,1648
"2023-05-25 19:40:00",2363,1649
"2023-05-25 19:50:00",2311,1650
"2023-05-25 20:00:00",2313,1652
