"DateTime","Players","Players Trend"
"2023-05-17 08:10:00",17705,24351
"2023-05-17 08:20:00",17987,24360
"2023-05-17 08:30:00",18190,24369
"2023-05-17 08:40:00",18404,24380
"2023-05-17 08:50:00",18612,24392
"2023-05-17 09:00:00",18801,24405
"2023-05-17 09:10:00",18955,24420
"2023-05-17 09:20:00",19077,24435
"2023-05-17 09:30:00",19235,24452
"2023-05-17 09:40:00",19430,24471
"2023-05-17 09:50:00",19631,24490
"2023-05-17 10:00:00",19731,24510
"2023-05-17 10:10:00",20045,24531
"2023-05-17 10:20:00",20375,24553
"2023-05-17 10:30:00",20718,24574
"2023-05-17 10:40:00",21151,24596
"2023-05-17 10:50:00",21384,24617
"2023-05-17 11:00:00",21786,24640
"2023-05-17 11:10:00",22173,24662
"2023-05-17 11:20:00",22560,24684
"2023-05-17 11:30:00",22971,24707
"2023-05-17 11:40:00",23424,24732
"2023-05-17 11:50:00",23926,24756
"2023-05-17 12:00:00",24315,24781
"2023-05-17 12:10:00",24747,24806
"2023-05-17 12:20:00",25223,24832
"2023-05-17 12:30:00",25678,24857
"2023-05-17 12:40:00",26193,24883
"2023-05-17 12:50:00",26827,24908
"2023-05-17 13:00:00",27269,24933
"2023-05-17 13:10:00",27778,24958
"2023-05-17 13:20:00",28334,24983
"2023-05-17 13:30:00",28754,25007
"2023-05-17 13:40:00",29350,25031
"2023-05-17 13:50:00",29735,25056
"2023-05-17 14:00:00",30174,25081
"2023-05-17 14:10:00",30504,25103
"2023-05-17 14:20:00",30832,25126
"2023-05-17 14:30:00",31107,25148
"2023-05-17 14:40:00",31258,25170
"2023-05-17 14:50:00",31510,25193
"2023-05-17 15:00:00",31517,25214
"2023-05-17 15:10:00",31408,25236
"2023-05-17 15:20:00",31664,25257
"2023-05-17 15:30:00",31699,25275
"2023-05-17 15:40:00",31567,25294
"2023-05-17 15:50:00",31548,25310
"2023-05-17 16:00:00",31499,25325
"2023-05-17 16:10:00",31221,25340
"2023-05-17 16:20:00",31091,25355
"2023-05-17 16:30:00",30973,25368
"2023-05-17 16:40:00",31023,25382
"2023-05-17 16:50:00",30941,25394
"2023-05-17 17:00:00",30924,25406
"2023-05-17 17:10:00",30839,25417
"2023-05-17 17:20:00",30900,25429
"2023-05-17 17:30:00",30950,25439
"2023-05-17 17:40:00",30994,25448
"2023-05-17 17:50:00",31266,25457
"2023-05-17 18:00:00",31476,25464
"2023-05-17 18:10:00",31590,25470
"2023-05-17 18:20:00",31589,25474
"2023-05-17 18:30:00",31559,25479
"2023-05-17 18:40:00",31540,25486
"2023-05-17 18:50:00",31640,25493
"2023-05-17 19:00:00",31564,25500
"2023-05-17 19:10:00",31483,25506
"2023-05-17 19:20:00",31605,25512
"2023-05-17 19:30:00",31708,25517
"2023-05-17 19:40:00",31874,25521
"2023-05-17 19:50:00",31895,25524
"2023-05-17 20:00:00",31954,25527
"2023-05-17 20:10:00",31773,25528
"2023-05-17 20:20:00",31614,25529
"2023-05-17 20:30:00",31442,25528
"2023-05-17 20:40:00",31197,25527
"2023-05-17 20:50:00",30911,25526
"2023-05-17 21:00:00",30526,25523
"2023-05-17 21:10:00",30132,25520
"2023-05-17 21:20:00",29493,25515
"2023-05-17 21:30:00",29289,25510
"2023-05-17 21:40:00",28727,25503
"2023-05-17 21:50:00",28129,25496
"2023-05-17 22:00:00",27668,25489
"2023-05-17 22:10:00",26932,25481
"2023-05-17 22:20:00",26287,25473
"2023-05-17 22:30:00",25696,25465
"2023-05-17 22:40:00",25161,25458
"2023-05-17 22:50:00",24600,25451
"2023-05-17 23:00:00",24170,25445
"2023-05-17 23:10:00",23668,25439
"2023-05-17 23:20:00",23208,25433
"2023-05-17 23:30:00",22846,25427
"2023-05-17 23:40:00",22505,25420
"2023-05-17 23:50:00",22176,25414
"2023-05-18 00:00:00",21908,25407
"2023-05-18 00:10:00",21569,25400
"2023-05-18 00:20:00",21431,25393
"2023-05-18 00:30:00",21350,25387
"2023-05-18 00:40:00",21255,25380
"2023-05-18 00:50:00",21092,25373
"2023-05-18 01:00:00",20969,25366
"2023-05-18 01:10:00",20832,25359
"2023-05-18 01:20:00",20807,25352
"2023-05-18 01:30:00",20610,25344
"2023-05-18 01:40:00",20587,25339
"2023-05-18 01:50:00",20509,25333
"2023-05-18 02:00:00",20354,25327
"2023-05-18 02:10:00",20253,25322
"2023-05-18 02:20:00",20144,25315
"2023-05-18 02:30:00",20014,25309
"2023-05-18 02:40:00",19917,25302
"2023-05-18 02:50:00",19823,25296
"2023-05-18 03:00:00",19679,25289
"2023-05-18 03:10:00",19426,25282
"2023-05-18 03:20:00",19228,25275
"2023-05-18 03:30:00",18981,25268
"2023-05-18 03:40:00",18893,25261
"2023-05-18 03:50:00",18724,25253
"2023-05-18 04:00:00",18500,25246
"2023-05-18 04:10:00",18293,25239
"2023-05-18 04:20:00",18198,25232
"2023-05-18 04:30:00",18053,25224
"2023-05-18 04:40:00",17987,25217
"2023-05-18 04:50:00",17837,25210
"2023-05-18 05:00:00",17720,25205
"2023-05-18 05:10:00",17487,25198
"2023-05-18 05:20:00",17379,25192
"2023-05-18 05:30:00",17237,25185
"2023-05-18 05:40:00",17129,25178
"2023-05-18 05:50:00",17035,25171
"2023-05-18 06:00:00",16996,25164
"2023-05-18 06:10:00",16967,25156
"2023-05-18 06:20:00",16871,25147
"2023-05-18 06:30:00",16918,25139
"2023-05-18 06:40:00",17001,25131
"2023-05-18 06:50:00",17112,25123
"2023-05-18 07:00:00",17363,25115
"2023-05-18 07:10:00",17512,25106
"2023-05-18 07:20:00",17624,25097
"2023-05-18 07:30:00",17843,25089
"2023-05-18 07:40:00",18153,25080
"2023-05-18 07:50:00",18569,25072
"2023-05-18 08:00:00",18960,25063
"2023-05-18 08:10:00",19351,25056
"2023-05-18 08:20:00",19735,25049
"2023-05-18 08:30:00",20202,25043
"2023-05-18 08:40:00",20543,25035
"2023-05-18 08:50:00",20964,25028
"2023-05-18 09:00:00",21300,25020
"2023-05-18 09:10:00",21646,25012
"2023-05-18 09:20:00",21911,25004
"2023-05-18 09:30:00",22275,24996
"2023-05-18 09:40:00",22613,24987
"2023-05-18 09:50:00",22882,24979
"2023-05-18 10:00:00",23101,24970
"2023-05-18 10:10:00",23427,24962
"2023-05-18 10:20:00",23828,24953
"2023-05-18 10:30:00",24108,24944
"2023-05-18 10:40:00",24504,24935
"2023-05-18 10:50:00",24831,24926
"2023-05-18 11:00:00",25199,24917
"2023-05-18 11:10:00",25565,24907
"2023-05-18 11:20:00",26078,24899
"2023-05-18 11:30:00",26644,24890
"2023-05-18 11:40:00",26966,24881
"2023-05-18 11:50:00",27592,24873
"2023-05-18 12:00:00",28072,24865
"2023-05-18 12:10:00",28453,24856
"2023-05-18 12:20:00",28944,24847
"2023-05-18 12:30:00",29340,24839
"2023-05-18 12:40:00",29770,24831
"2023-05-18 12:50:00",30288,24824
"2023-05-18 13:00:00",30724,24815
"2023-05-18 13:10:00",31178,24806
"2023-05-18 13:20:00",31585,24797
"2023-05-18 13:30:00",32007,24788
"2023-05-18 13:40:00",32634,24779
