"DateTime","Players","Players Trend"
"2023-05-17 05:40:00",17310,24296
"2023-05-17 05:50:00",17107,24291
"2023-05-17 06:00:00",16962,24287
"2023-05-17 06:10:00",16898,24284
"2023-05-17 06:20:00",16748,24280
"2023-05-17 06:30:00",16657,24277
"2023-05-17 06:40:00",16634,24276
"2023-05-17 06:50:00",16617,24274
"2023-05-17 07:00:00",16623,24274
"2023-05-17 07:10:00",16693,24275
"2023-05-17 07:20:00",16839,24277
"2023-05-17 07:30:00",16995,24279
"2023-05-17 07:40:00",17187,24281
"2023-05-17 07:50:00",17335,24284
"2023-05-17 08:00:00",17447,24290
"2023-05-17 08:10:00",17705,24297
"2023-05-17 08:20:00",17987,24305
"2023-05-17 08:30:00",18190,24314
"2023-05-17 08:40:00",18404,24325
"2023-05-17 08:50:00",18612,24336
"2023-05-17 09:00:00",18801,24350
"2023-05-17 09:10:00",18955,24364
"2023-05-17 09:20:00",19077,24380
"2023-05-17 09:30:00",19235,24397
"2023-05-17 09:40:00",19430,24415
"2023-05-17 09:50:00",19631,24434
"2023-05-17 10:00:00",19731,24454
"2023-05-17 10:10:00",20045,24475
"2023-05-17 10:20:00",20375,24496
"2023-05-17 10:30:00",20718,24518
"2023-05-17 10:40:00",21151,24539
"2023-05-17 10:50:00",21384,24561
"2023-05-17 11:00:00",21786,24583
"2023-05-17 11:10:00",22173,24605
"2023-05-17 11:20:00",22560,24627
"2023-05-17 11:30:00",22971,24650
"2023-05-17 11:40:00",23424,24674
"2023-05-17 11:50:00",23926,24698
"2023-05-17 12:00:00",24315,24722
"2023-05-17 12:10:00",24747,24748
"2023-05-17 12:20:00",25223,24773
"2023-05-17 12:30:00",25678,24799
"2023-05-17 12:40:00",26193,24824
"2023-05-17 12:50:00",26827,24850
"2023-05-17 13:00:00",27269,24874
"2023-05-17 13:10:00",27778,24899
"2023-05-17 13:20:00",28334,24923
"2023-05-17 13:30:00",28754,24947
"2023-05-17 13:40:00",29350,24971
"2023-05-17 13:50:00",29735,24996
"2023-05-17 14:00:00",30174,25020
"2023-05-17 14:10:00",30504,25043
"2023-05-17 14:20:00",30832,25066
"2023-05-17 14:30:00",31107,25088
"2023-05-17 14:40:00",31258,25110
"2023-05-17 14:50:00",31510,25132
"2023-05-17 15:00:00",31517,25153
"2023-05-17 15:10:00",31408,25175
"2023-05-17 15:20:00",31664,25196
"2023-05-17 15:30:00",31699,25214
"2023-05-17 15:40:00",31567,25232
"2023-05-17 15:50:00",31548,25248
"2023-05-17 16:00:00",31499,25264
"2023-05-17 16:10:00",31221,25279
"2023-05-17 16:20:00",31091,25293
"2023-05-17 16:30:00",30973,25306
"2023-05-17 16:40:00",31023,25320
"2023-05-17 16:50:00",30941,25332
"2023-05-17 17:00:00",30924,25344
"2023-05-17 17:10:00",30839,25355
"2023-05-17 17:20:00",30900,25366
"2023-05-17 17:30:00",30950,25377
"2023-05-17 17:40:00",30994,25386
"2023-05-17 17:50:00",31266,25395
"2023-05-17 18:00:00",31476,25402
"2023-05-17 18:10:00",31590,25407
"2023-05-17 18:20:00",31589,25411
"2023-05-17 18:30:00",31559,25417
