"DateTime","Players","Players Trend"
"2023-05-29 05:00:00",312626,431458
"2023-05-29 05:10:00",313085,431359
"2023-05-29 05:20:00",313575,431255
"2023-05-29 05:30:00",314916,431149
"2023-05-29 05:40:00",315769,430960
"2023-05-29 05:50:00",316781,430775
"2023-05-29 06:00:00",318335,430590
"2023-05-29 06:10:00",321121,430409
"2023-05-29 06:20:00",323974,430228
"2023-05-29 06:30:00",327594,430048
"2023-05-29 06:40:00",330982,429869
"2023-05-29 06:50:00",333914,429695
"2023-05-29 07:00:00",336625,429526
"2023-05-29 07:10:00",338685,429361
"2023-05-29 07:20:00",345375,429219
"2023-05-29 07:30:00",348423,429067
"2023-05-29 07:40:00",356107,428925
"2023-05-29 07:50:00",360337,428766
"2023-05-29 08:00:00",366449,428614
"2023-05-29 08:10:00",370756,428456
"2023-05-29 08:20:00",375204,428301
"2023-05-29 08:30:00",379669,428146
"2023-05-29 08:40:00",384352,427991
"2023-05-29 08:50:00",387966,427828
"2023-05-29 09:00:00",390722,427672
"2023-05-29 09:10:00",395490,427529
"2023-05-29 09:20:00",399296,427382
"2023-05-29 09:30:00",399605,427242
"2023-05-29 09:40:00",404766,427128
"2023-05-29 09:50:00",409358,427009
"2023-05-29 10:00:00",411633,426890
"2023-05-29 10:10:00",416797,426791
"2023-05-29 10:20:00",423656,426700
"2023-05-29 10:30:00",430048,426606
"2023-05-29 10:40:00",438055,426497
"2023-05-29 10:50:00",445008,426391
"2023-05-29 11:00:00",453294,426293
"2023-05-29 11:10:00",460979,426196
"2023-05-29 11:20:00",470683,426121
"2023-05-29 11:30:00",481326,426056
"2023-05-29 11:40:00",486807,425994
"2023-05-29 11:50:00",498521,425971
"2023-05-29 12:00:00",510347,425952
"2023-05-29 12:10:00",524559,425933
"2023-05-29 12:20:00",536701,425908
"2023-05-29 12:30:00",549125,425889
"2023-05-29 12:40:00",562174,425869
"2023-05-29 12:50:00",574977,425851
"2023-05-29 13:00:00",586354,425827
"2023-05-29 13:10:00",597557,425803
"2023-05-29 13:20:00",607905,425787
"2023-05-29 13:30:00",616471,425777
"2023-05-29 13:40:00",625549,425771
"2023-05-29 13:50:00",632724,425761
"2023-05-29 14:00:00",637953,425747
"2023-05-29 14:10:00",642006,425733
"2023-05-29 14:20:00",645387,425724
"2023-05-29 14:30:00",646931,425714
"2023-05-29 14:40:00",646869,425699
"2023-05-29 14:50:00",646628,425688
"2023-05-29 15:00:00",643376,425669
"2023-05-29 15:10:00",640668,425646
"2023-05-29 15:20:00",637103,425615
"2023-05-29 15:30:00",632735,425590
"2023-05-29 15:40:00",625411,425559
"2023-05-29 15:50:00",620058,425536
"2023-05-29 16:00:00",611926,425502
"2023-05-29 16:10:00",604276,425470
"2023-05-29 16:20:00",597534,425440
"2023-05-29 16:30:00",591414,425415
"2023-05-29 16:40:00",587452,425390
"2023-05-29 16:50:00",582460,425355
"2023-05-29 17:00:00",577689,425316
"2023-05-29 17:10:00",573742,425271
"2023-05-29 17:20:00",570213,425222
"2023-05-29 17:30:00",567408,425176
"2023-05-29 17:40:00",564821,425140
"2023-05-29 17:50:00",556281,425104
"2023-05-29 18:00:00",553459,425105
"2023-05-29 18:10:00",550649,425109
"2023-05-29 18:20:00",550600,425120
"2023-05-29 18:30:00",550233,425120
"2023-05-29 18:40:00",549163,425104
"2023-05-29 18:50:00",547877,425082
"2023-05-29 19:00:00",545538,425055
"2023-05-29 19:10:00",541696,425019
"2023-05-29 19:20:00",538277,424981
"2023-05-29 19:30:00",533101,424937
"2023-05-29 19:40:00",525546,424898
"2023-05-29 19:50:00",518348,424868
"2023-05-29 20:00:00",509867,424842
"2023-05-29 20:10:00",499672,424810
"2023-05-29 20:20:00",491192,424785
"2023-05-29 20:30:00",480624,424751
"2023-05-29 20:40:00",470864,424714
"2023-05-29 20:50:00",458831,424670
"2023-05-29 21:00:00",445359,424619
"2023-05-29 21:10:00",432818,424567
"2023-05-29 21:20:00",420542,424506
"2023-05-29 21:30:00",409338,424434
"2023-05-29 21:40:00",397991,424352
"2023-05-29 21:50:00",386027,424257
"2023-05-29 22:00:00",372530,424160
"2023-05-29 22:10:00",361782,424070
"2023-05-29 22:20:00",351864,421654
"2023-05-29 22:30:00",342317,420045
"2023-05-29 22:40:00",333802,419349
"2023-05-29 22:50:00",325105,418794
"2023-05-29 23:00:00",316892,418325
"2023-05-29 23:10:00",310677,417924
"2023-05-29 23:20:00",304185,417567
"2023-05-29 23:30:00",296946,417240
"2023-05-29 23:40:00",292489,416933
"2023-05-29 23:50:00",288919,416589
"2023-05-30 00:00:00",285710,416214
"2023-05-30 00:10:00",282246,415841
"2023-05-30 00:20:00",279686,415488
"2023-05-30 00:30:00",278833,415162
"2023-05-30 00:40:00",278020,414856
"2023-05-30 00:50:00",277298,414575
"2023-05-30 01:00:00",277008,414313
"2023-05-30 01:10:00",278125,414066
"2023-05-30 01:20:00",279313,413830
"2023-05-30 01:30:00",281465,413604
"2023-05-30 01:40:00",283547,413380
"2023-05-30 01:50:00",285124,413161
"2023-05-30 02:00:00",286066,412950
"2023-05-30 02:10:00",286165,412751
"2023-05-30 02:20:00",287678,412576
"2023-05-30 02:30:00",290719,412413
"2023-05-30 02:40:00",293585,412249
"2023-05-30 02:50:00",296603,412091
"2023-05-30 03:00:00",298504,411931
"2023-05-30 03:10:00",299780,411770
"2023-05-30 03:20:00",301511,411607
"2023-05-30 03:30:00",301694,411440
"2023-05-30 03:40:00",301853,411273
"2023-05-30 03:50:00",302110,411106
"2023-05-30 04:00:00",302314,410945
"2023-05-30 04:10:00",303078,410785
"2023-05-30 04:20:00",304385,410625
"2023-05-30 04:30:00",305424,410465
"2023-05-30 04:40:00",306424,410309
"2023-05-30 04:50:00",307096,410154
"2023-05-30 05:00:00",306818,410056
"2023-05-30 05:10:00",306511,409960
"2023-05-30 05:20:00",306735,409867
"2023-05-30 05:30:00",295966,409772
"2023-05-30 05:40:00",297227,409747
"2023-05-30 05:50:00",298208,409720
"2023-05-30 06:00:00",300149,409694
"2023-05-30 06:10:00",302584,409666
"2023-05-30 06:20:00",305395,409639
"2023-05-30 06:30:00",309012,409612
"2023-05-30 06:40:00",312723,409583
"2023-05-30 06:50:00",316316,409555
"2023-05-30 07:00:00",319310,409538
"2023-05-30 07:10:00",324363,409533
"2023-05-30 07:20:00",329345,409525
"2023-05-30 07:30:00",333228,409517
"2023-05-30 07:40:00",338150,409511
"2023-05-30 07:50:00",342935,409505
"2023-05-30 08:00:00",347843,409497
"2023-05-30 08:10:00",352247,409491
"2023-05-30 08:20:00",356347,409487
"2023-05-30 08:30:00",360494,409486
"2023-05-30 08:40:00",363673,409487
"2023-05-30 08:50:00",368190,409484
"2023-05-30 09:00:00",372464,409473
"2023-05-30 09:10:00",376274,409458
"2023-05-30 09:20:00",381101,409436
"2023-05-30 09:30:00",384747,409292
"2023-05-30 09:40:00",388927,409198
"2023-05-30 09:50:00",393235,409153
"2023-05-30 10:00:00",398196,409125
"2023-05-30 10:10:00",403888,409092
"2023-05-30 10:20:00",409858,409057
"2023-05-30 10:30:00",413475,409022
"2023-05-30 10:40:00",421484,409002
"2023-05-30 10:50:00",428990,408973
"2023-05-30 11:00:00",436701,408943
"2023-05-30 11:10:00",446955,408917
"2023-05-30 11:20:00",457396,408882
"2023-05-30 11:30:00",468094,408834
"2023-05-30 11:40:00",478469,408786
"2023-05-30 11:50:00",489868,408732
"2023-05-30 12:00:00",500602,408670
"2023-05-30 12:10:00",513176,408606
"2023-05-30 12:20:00",525112,408536
"2023-05-30 12:30:00",536630,408460
"2023-05-30 12:40:00",548849,408389
"2023-05-30 12:50:00",559973,408309
"2023-05-30 13:00:00",570539,408235
"2023-05-30 13:10:00",582304,408164
"2023-05-30 13:20:00",592736,408085
"2023-05-30 13:30:00",601153,408004
"2023-05-30 13:40:00",609242,407926
"2023-05-30 13:50:00",615328,407847
"2023-05-30 14:00:00",620375,407774
"2023-05-30 14:10:00",624725,407687
"2023-05-30 14:20:00",627931,407598
"2023-05-30 14:30:00",628650,407514
"2023-05-30 14:40:00",629250,407446
"2023-05-30 14:50:00",627884,407382
"2023-05-30 15:00:00",624329,407328
"2023-05-30 15:10:00",620688,407287
"2023-05-30 15:20:00",618133,407256
"2023-05-30 15:30:00",613543,407222
"2023-05-30 15:40:00",607763,407192
"2023-05-30 15:50:00",601209,407171
"2023-05-30 16:00:00",594096,407158
"2023-05-30 16:10:00",587093,407144
"2023-05-30 16:20:00",581477,407127
"2023-05-30 16:30:00",575737,407116
"2023-05-30 16:40:00",570599,407101
"2023-05-30 16:50:00",565310,407087
"2023-05-30 17:00:00",559994,407073
"2023-05-30 17:10:00",555603,407041
"2023-05-30 17:20:00",552608,407019
"2023-05-30 17:30:00",551650,407003
"2023-05-30 17:40:00",549631,406953
"2023-05-30 17:50:00",546810,406914
"2023-05-30 18:00:00",544490,406888
"2023-05-30 18:10:00",542927,406874
"2023-05-30 18:20:00",541218,406858
"2023-05-30 18:30:00",538426,406854
"2023-05-30 18:40:00",536561,406852
"2023-05-30 18:50:00",534638,406846
"2023-05-30 19:00:00",531313,406826
"2023-05-30 19:10:00",527367,406798
