"DateTime","Players","Players Trend"
"2023-05-17 05:30:00",270612,388771
"2023-05-17 05:40:00",271926,388766
"2023-05-17 05:50:00",272755,388760
"2023-05-17 06:00:00",274128,388754
"2023-05-17 06:10:00",276757,388748
"2023-05-17 06:20:00",279740,388736
"2023-05-17 06:30:00",282376,388718
"2023-05-17 06:40:00",286376,388700
"2023-05-17 06:50:00",290055,388677
"2023-05-17 07:00:00",293552,388654
"2023-05-17 07:10:00",297844,388630
"2023-05-17 07:20:00",302018,388601
"2023-05-17 07:30:00",306343,388566
"2023-05-17 07:40:00",311019,388528
"2023-05-17 07:50:00",315300,388495
"2023-05-17 08:00:00",319425,388467
"2023-05-17 08:10:00",323810,388444
"2023-05-17 08:20:00",328297,388420
"2023-05-17 08:30:00",331801,388398
"2023-05-17 08:40:00",335869,388383
"2023-05-17 08:50:00",339032,388366
"2023-05-17 09:00:00",341136,388350
"2023-05-17 09:10:00",343931,388333
"2023-05-17 09:20:00",347694,388327
"2023-05-17 09:30:00",350146,388325
"2023-05-17 09:40:00",354318,388340
"2023-05-17 09:50:00",357368,388362
"2023-05-17 10:00:00",360859,388399
"2023-05-17 10:10:00",366098,388446
"2023-05-17 10:20:00",371955,388497
"2023-05-17 10:30:00",377812,388557
"2023-05-17 10:40:00",385228,388627
"2023-05-17 10:50:00",392593,388710
"2023-05-17 11:00:00",401257,388810
"2023-05-17 11:10:00",410306,388882
"2023-05-17 11:20:00",419529,388949
"2023-05-17 11:30:00",428277,389021
"2023-05-17 11:40:00",439016,389112
"2023-05-17 11:50:00",449834,389208
"2023-05-17 12:00:00",461763,389327
"2023-05-17 12:10:00",474628,389506
"2023-05-17 12:20:00",487192,389728
"2023-05-17 12:30:00",498577,389977
"2023-05-17 12:40:00",510108,390247
"2023-05-17 12:50:00",522400,390533
"2023-05-17 13:00:00",533029,390818
"2023-05-17 13:10:00",544217,391108
"2023-05-17 13:20:00",554675,391401
"2023-05-17 13:30:00",565004,391683
"2023-05-17 13:40:00",573640,391968
"2023-05-17 13:50:00",580811,392265
"2023-05-17 14:00:00",587317,392574
"2023-05-17 14:10:00",593395,392886
"2023-05-17 14:20:00",597256,393201
"2023-05-17 14:30:00",600511,393522
"2023-05-17 14:40:00",601751,393837
"2023-05-17 14:50:00",601707,394150
"2023-05-17 15:00:00",600522,394460
"2023-05-17 15:10:00",599813,394761
"2023-05-17 15:20:00",598832,395052
"2023-05-17 15:30:00",594577,395331
"2023-05-17 15:40:00",589576,395613
