"DateTime","Players","Players Trend"
"2023-05-29 05:00:00",10108,15821
"2023-05-29 05:10:00",10020,15812
"2023-05-29 05:20:00",9911,15802
"2023-05-29 05:30:00",9844,15793
"2023-05-29 05:40:00",9840,15783
"2023-05-29 05:50:00",9799,15773
"2023-05-29 06:00:00",9801,15762
"2023-05-29 06:10:00",9822,15751
"2023-05-29 06:20:00",9926,15740
"2023-05-29 06:30:00",9979,15728
"2023-05-29 06:40:00",10114,15715
"2023-05-29 06:50:00",10211,15703
"2023-05-29 07:00:00",10293,15689
"2023-05-29 07:10:00",10530,15676
"2023-05-29 07:20:00",10676,15663
"2023-05-29 07:30:00",10822,15649
"2023-05-29 07:40:00",10978,15635
"2023-05-29 07:50:00",11164,15622
"2023-05-29 08:00:00",11438,15608
"2023-05-29 08:10:00",11682,15593
"2023-05-29 08:20:00",11951,15577
"2023-05-29 08:30:00",12296,15561
"2023-05-29 08:40:00",12565,15545
"2023-05-29 08:50:00",12819,15527
"2023-05-29 09:00:00",13142,15511
"2023-05-29 09:10:00",13497,15492
"2023-05-29 09:20:00",13738,15473
"2023-05-29 09:30:00",13953,15453
"2023-05-29 09:40:00",14219,15434
"2023-05-29 09:50:00",14359,15414
"2023-05-29 10:00:00",14625,15394
"2023-05-29 10:10:00",14870,15374
"2023-05-29 10:20:00",15126,15353
"2023-05-29 10:30:00",15340,15333
"2023-05-29 10:40:00",15643,15312
"2023-05-29 10:50:00",15845,15291
"2023-05-29 11:00:00",16029,15270
"2023-05-29 11:10:00",16243,15248
"2023-05-29 11:20:00",16527,15227
"2023-05-29 11:30:00",16760,15205
"2023-05-29 11:40:00",17031,15184
"2023-05-29 11:50:00",17374,15162
"2023-05-29 12:00:00",17653,15140
"2023-05-29 12:10:00",17863,15117
"2023-05-29 12:20:00",18131,15095
"2023-05-29 12:30:00",18349,15073
"2023-05-29 12:40:00",18475,15051
"2023-05-29 12:50:00",18709,15030
"2023-05-29 13:00:00",19004,15008
"2023-05-29 13:10:00",19305,14987
"2023-05-29 13:20:00",19570,14965
"2023-05-29 13:30:00",19754,14943
"2023-05-29 13:40:00",20085,14921
"2023-05-29 13:50:00",20313,14898
"2023-05-29 14:00:00",20465,14876
"2023-05-29 14:10:00",20657,14854
"2023-05-29 14:20:00",20877,14832
"2023-05-29 14:30:00",21003,14810
"2023-05-29 14:40:00",21118,14789
"2023-05-29 14:50:00",21119,14768
"2023-05-29 15:00:00",21172,14748
"2023-05-29 15:10:00",21144,14727
"2023-05-29 15:20:00",21171,14707
"2023-05-29 15:30:00",21170,14687
"2023-05-29 15:40:00",21127,14667
"2023-05-29 15:50:00",21222,14648
"2023-05-29 16:00:00",21235,14628
"2023-05-29 16:10:00",21150,14608
"2023-05-29 16:20:00",21160,14588
"2023-05-29 16:30:00",21210,14569
"2023-05-29 16:40:00",21288,14549
"2023-05-29 16:50:00",21306,14531
"2023-05-29 17:00:00",21369,14513
"2023-05-29 17:10:00",21453,14495
"2023-05-29 17:20:00",21603,14478
"2023-05-29 17:30:00",21739,14461
"2023-05-29 17:40:00",21794,14444
"2023-05-29 17:50:00",21924,14428
