"DateTime","Players","Players Trend"
"2023-05-17 05:40:00",9019,14917
"2023-05-17 05:50:00",9044,14917
"2023-05-17 06:00:00",9036,14917
"2023-05-17 06:10:00",8945,14916
"2023-05-17 06:20:00",9015,14917
"2023-05-17 06:30:00",9079,14917
"2023-05-17 06:40:00",9167,14918
"2023-05-17 06:50:00",9281,14919
"2023-05-17 07:00:00",9314,14921
"2023-05-17 07:10:00",9461,14924
"2023-05-17 07:20:00",9618,14928
"2023-05-17 07:30:00",9736,14932
"2023-05-17 07:40:00",9898,14937
"2023-05-17 07:50:00",10075,14943
"2023-05-17 08:00:00",10198,14950
"2023-05-17 08:10:00",10461,14958
"2023-05-17 08:20:00",10732,14966
"2023-05-17 08:30:00",10930,14975
"2023-05-17 08:40:00",11172,14984
"2023-05-17 08:50:00",11295,14994
"2023-05-17 09:00:00",11478,15005
"2023-05-17 09:10:00",11730,15017
"2023-05-17 09:20:00",11979,15029
"2023-05-17 09:30:00",12131,15043
"2023-05-17 09:40:00",12285,15057
"2023-05-17 09:50:00",12470,15071
"2023-05-17 10:00:00",12513,15086
"2023-05-17 10:10:00",12701,15102
"2023-05-17 10:20:00",12937,15119
"2023-05-17 10:30:00",13244,15135
"2023-05-17 10:40:00",13501,15150
"2023-05-17 10:50:00",13658,15166
"2023-05-17 11:00:00",13794,15183
"2023-05-17 11:10:00",14049,15200
"2023-05-17 11:20:00",14407,15218
"2023-05-17 11:30:00",14579,15236
"2023-05-17 11:40:00",14824,15254
"2023-05-17 11:50:00",15155,15272
"2023-05-17 12:00:00",15437,15290
"2023-05-17 12:10:00",15738,15308
"2023-05-17 12:20:00",16028,15325
"2023-05-17 12:30:00",16260,15343
"2023-05-17 12:40:00",16491,15361
"2023-05-17 12:50:00",16829,15379
"2023-05-17 13:00:00",17096,15397
"2023-05-17 13:10:00",17314,15415
"2023-05-17 13:20:00",17523,15433
"2023-05-17 13:30:00",17771,15451
"2023-05-17 13:40:00",18110,15470
"2023-05-17 13:50:00",18320,15489
"2023-05-17 14:00:00",18534,15508
"2023-05-17 14:10:00",18836,15527
"2023-05-17 14:20:00",19010,15545
"2023-05-17 14:30:00",19153,15563
"2023-05-17 14:40:00",19255,15581
"2023-05-17 14:50:00",19380,15599
"2023-05-17 15:00:00",19418,15616
"2023-05-17 15:10:00",19520,15633
"2023-05-17 15:20:00",19596,15648
"2023-05-17 15:30:00",19562,15663
"2023-05-17 15:40:00",19492,15678
"2023-05-17 15:50:00",19461,15692
"2023-05-17 16:00:00",19425,15706
"2023-05-17 16:10:00",19401,15720
"2023-05-17 16:20:00",19506,15733
"2023-05-17 16:30:00",19514,15746
"2023-05-17 16:40:00",19575,15758
"2023-05-17 16:50:00",19719,15769
"2023-05-17 17:00:00",19794,15780
"2023-05-17 17:10:00",19912,15790
"2023-05-17 17:20:00",19963,15799
"2023-05-17 17:30:00",19985,15809
"2023-05-17 17:40:00",20137,15818
"2023-05-17 17:50:00",20154,15826
"2023-05-17 18:00:00",20355,15834
"2023-05-17 18:10:00",20551,15842
"2023-05-17 18:20:00",20786,15849
"2023-05-17 18:30:00",20935,15854
"2023-05-17 18:40:00",21043,15859
"2023-05-17 18:50:00",21124,15864
"2023-05-17 19:00:00",21185,15870
"2023-05-17 19:10:00",21158,15875
"2023-05-17 19:20:00",21144,15880
"2023-05-17 19:30:00",21222,15886
"2023-05-17 19:40:00",21292,15892
"2023-05-17 19:50:00",21366,15897
"2023-05-17 20:00:00",21306,15901
"2023-05-17 20:10:00",21103,15905
"2023-05-17 20:20:00",21003,15909
"2023-05-17 20:30:00",20851,15913
"2023-05-17 20:40:00",20578,15916
"2023-05-17 20:50:00",20296,15919
"2023-05-17 21:00:00",20069,15922
"2023-05-17 21:10:00",19761,15924
"2023-05-17 21:20:00",19319,15924
"2023-05-17 21:30:00",19129,15924
"2023-05-17 21:40:00",18698,15923
"2023-05-17 21:50:00",18289,15922
"2023-05-17 22:00:00",17855,15920
"2023-05-17 22:10:00",17201,15917
"2023-05-17 22:20:00",16677,15915
"2023-05-17 22:30:00",16142,15913
"2023-05-17 22:40:00",15692,15912
"2023-05-17 22:50:00",15217,15909
"2023-05-17 23:00:00",14804,15907
"2023-05-17 23:10:00",14314,15904
"2023-05-17 23:20:00",13986,15901
"2023-05-17 23:30:00",13657,15898
"2023-05-17 23:40:00",13349,15896
"2023-05-17 23:50:00",13105,15893
"2023-05-18 00:00:00",12878,15890
"2023-05-18 00:10:00",12623,15887
"2023-05-18 00:20:00",12442,15884
"2023-05-18 00:30:00",12294,15880
"2023-05-18 00:40:00",12188,15877
"2023-05-18 00:50:00",12110,15874
"2023-05-18 01:00:00",11964,15870
"2023-05-18 01:10:00",11819,15866
"2023-05-18 01:20:00",11692,15862
"2023-05-18 01:30:00",11632,15859
"2023-05-18 01:40:00",11515,15856
"2023-05-18 01:50:00",11351,15853
"2023-05-18 02:00:00",11248,15851
"2023-05-18 02:10:00",11088,15849
"2023-05-18 02:20:00",10990,15847
"2023-05-18 02:30:00",10872,15846
"2023-05-18 02:40:00",10818,15845
"2023-05-18 02:50:00",10681,15843
"2023-05-18 03:00:00",10513,15842
"2023-05-18 03:10:00",10391,15841
"2023-05-18 03:20:00",10306,15840
"2023-05-18 03:30:00",10211,15839
"2023-05-18 03:40:00",10053,15838
"2023-05-18 03:50:00",9952,15837
"2023-05-18 04:00:00",9922,15836
"2023-05-18 04:10:00",9856,15834
"2023-05-18 04:20:00",9823,15832
"2023-05-18 04:30:00",9829,15830
"2023-05-18 04:40:00",9853,15828
"2023-05-18 04:50:00",9826,15825
"2023-05-18 05:00:00",9758,15822
"2023-05-18 05:10:00",9638,15819
"2023-05-18 05:20:00",9647,15816
"2023-05-18 05:30:00",9548,15813
"2023-05-18 05:40:00",9468,15812
"2023-05-18 05:50:00",9412,15811
"2023-05-18 06:00:00",9412,15811
"2023-05-18 06:10:00",9440,15811
"2023-05-18 06:20:00",9498,15811
"2023-05-18 06:30:00",9602,15811
"2023-05-18 06:40:00",9766,15811
"2023-05-18 06:50:00",9971,15811
"2023-05-18 07:00:00",10122,15812
"2023-05-18 07:10:00",10351,15812
"2023-05-18 07:20:00",10600,15812
"2023-05-18 07:30:00",10854,15811
"2023-05-18 07:40:00",11161,15810
"2023-05-18 07:50:00",11368,15809
"2023-05-18 08:00:00",11702,15809
"2023-05-18 08:10:00",11980,15808
"2023-05-18 08:20:00",12306,15808
"2023-05-18 08:30:00",12561,15807
"2023-05-18 08:40:00",12831,15806
"2023-05-18 08:50:00",13181,15806
"2023-05-18 09:00:00",13477,15804
"2023-05-18 09:10:00",13788,15803
"2023-05-18 09:20:00",14117,15802
"2023-05-18 09:30:00",14393,15800
"2023-05-18 09:40:00",14624,15797
"2023-05-18 09:50:00",14827,15795
"2023-05-18 10:00:00",15032,15793
"2023-05-18 10:10:00",15260,15791
"2023-05-18 10:20:00",15437,15789
"2023-05-18 10:30:00",15653,15787
"2023-05-18 10:40:00",15930,15785
"2023-05-18 10:50:00",16187,15784
"2023-05-18 11:00:00",16454,15782
"2023-05-18 11:10:00",16724,15781
"2023-05-18 11:20:00",17039,15781
"2023-05-18 11:30:00",17288,15780
"2023-05-18 11:40:00",17548,15780
"2023-05-18 11:50:00",17816,15780
"2023-05-18 12:00:00",18032,15780
"2023-05-18 12:10:00",18256,15780
"2023-05-18 12:20:00",18624,15780
"2023-05-18 12:30:00",18770,15780
"2023-05-18 12:40:00",19054,15780
"2023-05-18 12:50:00",19356,15781
"2023-05-18 13:00:00",19571,15782
"2023-05-18 13:10:00",19821,15783
"2023-05-18 13:20:00",20111,15784
"2023-05-18 13:30:00",20401,15785
"2023-05-18 13:40:00",20686,15787
"2023-05-18 13:50:00",20899,15788
"2023-05-18 14:00:00",21043,15790
"2023-05-18 14:10:00",21315,15792
"2023-05-18 14:20:00",21483,15794
"2023-05-18 14:30:00",21541,15795
"2023-05-18 14:40:00",21603,15797
"2023-05-18 14:50:00",21673,15800
"2023-05-18 15:00:00",21662,15802
"2023-05-18 15:10:00",21493,15805
"2023-05-18 15:20:00",21554,15808
"2023-05-18 15:30:00",21454,15811
"2023-05-18 15:40:00",21325,15815
"2023-05-18 15:50:00",21312,15819
"2023-05-18 16:00:00",21166,15824
"2023-05-18 16:10:00",21091,15829
"2023-05-18 16:20:00",21099,15833
"2023-05-18 16:30:00",21045,15836
"2023-05-18 16:40:00",21001,15839
"2023-05-18 16:50:00",21040,15841
"2023-05-18 17:00:00",21037,15844
"2023-05-18 17:10:00",20975,15846
"2023-05-18 17:20:00",21049,15848
"2023-05-18 17:30:00",21054,15848
"2023-05-18 17:40:00",20963,15849
"2023-05-18 17:50:00",21114,15850
"2023-05-18 18:00:00",21162,15850
"2023-05-18 18:10:00",21190,15850
