"DateTime","Players","Players Trend"
"2023-05-29 05:00:00",20842,31542
"2023-05-29 05:10:00",20745,31520
"2023-05-29 05:20:00",20747,31499
"2023-05-29 05:30:00",20678,31476
"2023-05-29 05:40:00",20606,31452
"2023-05-29 05:50:00",20541,31429
"2023-05-29 06:00:00",20536,31406
"2023-05-29 06:10:00",20644,31383
"2023-05-29 06:20:00",20711,31358
"2023-05-29 06:30:00",20883,31334
"2023-05-29 06:40:00",21099,31311
"2023-05-29 06:50:00",21401,31286
"2023-05-29 07:00:00",21650,31262
"2023-05-29 07:10:00",21996,31237
"2023-05-29 07:20:00",22369,31212
"2023-05-29 07:30:00",22779,31187
"2023-05-29 07:40:00",23210,31162
"2023-05-29 07:50:00",23570,31136
"2023-05-29 08:00:00",23974,31111
"2023-05-29 08:10:00",24485,31085
"2023-05-29 08:20:00",25019,31061
"2023-05-29 08:30:00",25778,31036
"2023-05-29 08:40:00",26510,31010
"2023-05-29 08:50:00",27123,30982
"2023-05-29 09:00:00",27681,30953
"2023-05-29 09:10:00",28305,30924
"2023-05-29 09:20:00",28977,30893
"2023-05-29 09:30:00",29603,30861
"2023-05-29 09:40:00",30270,30829
"2023-05-29 09:50:00",30793,30794
"2023-05-29 10:00:00",31288,30759
"2023-05-29 10:10:00",31714,30724
"2023-05-29 10:20:00",32276,30690
"2023-05-29 10:30:00",32868,30657
"2023-05-29 10:40:00",33302,30623
"2023-05-29 10:50:00",33826,30591
"2023-05-29 11:00:00",34468,30560
"2023-05-29 11:10:00",35037,30527
"2023-05-29 11:20:00",35698,30495
"2023-05-29 11:30:00",36403,30462
"2023-05-29 11:40:00",36927,30428
"2023-05-29 11:50:00",37400,30395
"2023-05-29 12:00:00",37856,30364
"2023-05-29 12:10:00",38470,30334
"2023-05-29 12:20:00",39148,30305
"2023-05-29 12:30:00",39717,30275
"2023-05-29 12:40:00",40394,30246
"2023-05-29 12:50:00",41026,30218
"2023-05-29 13:00:00",41487,30191
"2023-05-29 13:10:00",42026,30165
"2023-05-29 13:20:00",42748,30139
"2023-05-29 13:30:00",43242,30113
"2023-05-29 13:40:00",43859,30087
"2023-05-29 13:50:00",44356,30061
"2023-05-29 14:00:00",44801,30036
"2023-05-29 14:10:00",45076,30010
"2023-05-29 14:20:00",45398,29986
"2023-05-29 14:30:00",45533,29961
"2023-05-29 14:40:00",45703,29937
"2023-05-29 14:50:00",45707,29913
"2023-05-29 15:00:00",45669,29891
