"DateTime","Players","Players Trend"
"2023-05-17 08:10:00",20214,28069
"2023-05-17 08:20:00",20595,28076
"2023-05-17 08:30:00",21023,28084
"2023-05-17 08:40:00",21412,28095
"2023-05-17 08:50:00",21794,28107
"2023-05-17 09:00:00",22105,28121
"2023-05-17 09:10:00",22466,28137
"2023-05-17 09:20:00",22862,28155
"2023-05-17 09:30:00",23235,28174
"2023-05-17 09:40:00",23699,28194
"2023-05-17 09:50:00",24057,28214
"2023-05-17 10:00:00",24453,28236
"2023-05-17 10:10:00",24921,28258
"2023-05-17 10:20:00",25316,28282
"2023-05-17 10:30:00",25782,28307
"2023-05-17 10:40:00",26249,28333
"2023-05-17 10:50:00",26783,28360
"2023-05-17 11:00:00",27331,28388
"2023-05-17 11:10:00",28116,28416
"2023-05-17 11:20:00",28727,28444
"2023-05-17 11:30:00",29403,28474
"2023-05-17 11:40:00",30115,28504
"2023-05-17 11:50:00",30816,28534
"2023-05-17 12:00:00",31488,28563
"2023-05-17 12:10:00",32222,28593
"2023-05-17 12:20:00",33017,28623
"2023-05-17 12:30:00",33680,28652
"2023-05-17 12:40:00",34330,28681
"2023-05-17 12:50:00",35087,28711
"2023-05-17 13:00:00",35784,28740
"2023-05-17 13:10:00",36478,28768
"2023-05-17 13:20:00",37083,28795
"2023-05-17 13:30:00",37806,28824
"2023-05-17 13:40:00",38603,28852
"2023-05-17 13:50:00",39110,28878
"2023-05-17 14:00:00",39440,28903
"2023-05-17 14:10:00",40040,28929
"2023-05-17 14:20:00",40438,28953
"2023-05-17 14:30:00",40786,28976
"2023-05-17 14:40:00",40916,28999
"2023-05-17 14:50:00",41037,29021
"2023-05-17 15:00:00",41129,29043
"2023-05-17 15:10:00",40655,29063
"2023-05-17 15:20:00",40666,29084
"2023-05-17 15:30:00",40564,29104
"2023-05-17 15:40:00",40424,29126
"2023-05-17 15:50:00",40378,29145
"2023-05-17 16:00:00",40248,29164
"2023-05-17 16:10:00",39916,29182
"2023-05-17 16:20:00",39819,29200
"2023-05-17 16:30:00",39772,29217
"2023-05-17 16:40:00",39581,29232
"2023-05-17 16:50:00",39655,29248
"2023-05-17 17:00:00",39539,29264
"2023-05-17 17:10:00",39552,29281
"2023-05-17 17:20:00",39547,29297
"2023-05-17 17:30:00",39625,29312
"2023-05-17 17:40:00",39718,29326
"2023-05-17 17:50:00",39802,29340
"2023-05-17 18:00:00",39788,29354
"2023-05-17 18:10:00",39821,29367
"2023-05-17 18:20:00",39775,29379
"2023-05-17 18:30:00",39672,29391
"2023-05-17 18:40:00",39629,29402
"2023-05-17 18:50:00",39496,29413
"2023-05-17 19:00:00",39193,29424
"2023-05-17 19:10:00",38749,29436
"2023-05-17 19:20:00",38479,29447
"2023-05-17 19:30:00",38356,29458
"2023-05-17 19:40:00",38005,29469
"2023-05-17 19:50:00",37547,29479
"2023-05-17 20:00:00",37333,29489
"2023-05-17 20:10:00",36444,29497
"2023-05-17 20:20:00",35716,29505
"2023-05-17 20:30:00",35012,29513
"2023-05-17 20:40:00",34257,29521
"2023-05-17 20:50:00",33590,29529
"2023-05-17 21:00:00",32891,29536
"2023-05-17 21:10:00",31883,29541
"2023-05-17 21:20:00",30809,29545
"2023-05-17 21:30:00",30295,29550
"2023-05-17 21:40:00",29467,29552
"2023-05-17 21:50:00",28770,29553
"2023-05-17 22:00:00",28111,29553
"2023-05-17 22:10:00",27171,29552
"2023-05-17 22:20:00",26383,29550
"2023-05-17 22:30:00",25766,29550
"2023-05-17 22:40:00",25124,29549
"2023-05-17 22:50:00",24461,29547
"2023-05-17 23:00:00",23920,29545
"2023-05-17 23:10:00",23404,29543
"2023-05-17 23:20:00",22910,29540
"2023-05-17 23:30:00",22400,29538
"2023-05-17 23:40:00",22084,29536
"2023-05-17 23:50:00",21769,29534
"2023-05-18 00:00:00",21426,29531
"2023-05-18 00:10:00",21175,29528
"2023-05-18 00:20:00",21045,29526
"2023-05-18 00:30:00",20677,29522
"2023-05-18 00:40:00",20496,29520
"2023-05-18 00:50:00",20294,29518
"2023-05-18 01:00:00",20194,29516
"2023-05-18 01:10:00",19864,29513
"2023-05-18 01:20:00",19651,29511
"2023-05-18 01:30:00",19502,29510
"2023-05-18 01:40:00",19385,29508
"2023-05-18 01:50:00",19301,29507
"2023-05-18 02:00:00",19300,29504
"2023-05-18 02:10:00",19104,29501
"2023-05-18 02:20:00",19125,29497
"2023-05-18 02:30:00",19080,29492
"2023-05-18 02:40:00",18952,29487
"2023-05-18 02:50:00",18782,29482
"2023-05-18 03:00:00",18659,29478
"2023-05-18 03:10:00",18426,29473
"2023-05-18 03:20:00",18222,29470
"2023-05-18 03:30:00",18018,29466
"2023-05-18 03:40:00",17795,29463
"2023-05-18 03:50:00",17699,29460
"2023-05-18 04:00:00",17547,29456
"2023-05-18 04:10:00",17423,29452
"2023-05-18 04:20:00",17483,29448
"2023-05-18 04:30:00",17623,29445
"2023-05-18 04:40:00",17649,29442
"2023-05-18 04:50:00",17779,29439
"2023-05-18 05:00:00",17789,29435
"2023-05-18 05:10:00",17658,29431
"2023-05-18 05:20:00",17617,29428
"2023-05-18 05:30:00",17501,29425
"2023-05-18 05:40:00",17476,29423
"2023-05-18 05:50:00",17485,29420
"2023-05-18 06:00:00",17495,29418
"2023-05-18 06:10:00",17591,29416
"2023-05-18 06:20:00",17768,29414
"2023-05-18 06:30:00",17961,29413
"2023-05-18 06:40:00",18138,29412
"2023-05-18 06:50:00",18459,29411
"2023-05-18 07:00:00",18774,29411
"2023-05-18 07:10:00",19051,29410
"2023-05-18 07:20:00",19469,29411
"2023-05-18 07:30:00",19839,29412
"2023-05-18 07:40:00",20231,29414
"2023-05-18 07:50:00",20739,29416
"2023-05-18 08:00:00",21262,29419
"2023-05-18 08:10:00",21768,29426
"2023-05-18 08:20:00",22364,29435
"2023-05-18 08:30:00",23009,29443
"2023-05-18 08:40:00",23674,29451
"2023-05-18 08:50:00",24259,29460
"2023-05-18 09:00:00",24884,29469
"2023-05-18 09:10:00",25447,29479
"2023-05-18 09:20:00",25930,29488
"2023-05-18 09:30:00",26446,29499
"2023-05-18 09:40:00",26917,29509
"2023-05-18 09:50:00",27493,29521
"2023-05-18 10:00:00",28019,29532
"2023-05-18 10:10:00",28593,29543
"2023-05-18 10:20:00",29136,29553
"2023-05-18 10:30:00",29692,29564
"2023-05-18 10:40:00",30289,29577
"2023-05-18 10:50:00",30875,29591
"2023-05-18 11:00:00",31534,29607
"2023-05-18 11:10:00",32150,29623
"2023-05-18 11:20:00",32996,29642
"2023-05-18 11:30:00",33719,29660
"2023-05-18 11:40:00",34326,29680
"2023-05-18 11:50:00",34895,29700
"2023-05-18 12:00:00",35600,29722
"2023-05-18 12:10:00",36324,29745
"2023-05-18 12:20:00",36933,29768
"2023-05-18 12:30:00",37531,29794
"2023-05-18 12:40:00",38276,29819
"2023-05-18 12:50:00",38821,29846
"2023-05-18 13:00:00",39276,29874
"2023-05-18 13:10:00",39905,29904
"2023-05-18 13:20:00",40605,29934
"2023-05-18 13:30:00",41294,29965
"2023-05-18 13:40:00",41627,29995
"2023-05-18 13:50:00",42136,30027
"2023-05-18 14:00:00",42399,30058
"2023-05-18 14:10:00",42765,30090
"2023-05-18 14:20:00",43009,30120
"2023-05-18 14:30:00",43204,30151
"2023-05-18 14:40:00",43307,30182
"2023-05-18 14:50:00",43373,30211
"2023-05-18 15:00:00",43343,30242
"2023-05-18 15:10:00",42880,30272
"2023-05-18 15:20:00",42848,30303
"2023-05-18 15:30:00",42857,30335
"2023-05-18 15:40:00",42498,30365
"2023-05-18 15:50:00",42364,30396
"2023-05-18 16:00:00",42178,30428
"2023-05-18 16:10:00",41792,30458
"2023-05-18 16:20:00",41473,30486
"2023-05-18 16:30:00",41311,30515
"2023-05-18 16:40:00",41198,30543
"2023-05-18 16:50:00",41263,30571
"2023-05-18 17:00:00",41293,30597
"2023-05-18 17:10:00",41062,30622
"2023-05-18 17:20:00",41024,30647
"2023-05-18 17:30:00",41005,30670
"2023-05-18 17:40:00",41063,30692
"2023-05-18 17:50:00",41054,30713
"2023-05-18 18:00:00",40914,30732
