"DateTime","Players","Players Trend"
"2023-05-25 01:00:00",733,950
"2023-05-25 01:10:00",715,950
"2023-05-25 01:20:00",713,949
"2023-05-25 01:30:00",713,949
"2023-05-25 01:40:00",721,949
"2023-05-25 01:50:00",720,948
"2023-05-25 02:00:00",713,948
"2023-05-25 02:10:00",717,948
"2023-05-25 02:20:00",740,947
"2023-05-25 02:30:00",745,947
"2023-05-25 02:40:00",753,946
"2023-05-25 02:50:00",751,946
"2023-05-25 03:00:00",765,945
"2023-05-25 03:10:00",789,945
"2023-05-25 03:20:00",776,944
"2023-05-25 03:30:00",775,943
"2023-05-25 03:40:00",769,942
"2023-05-25 03:50:00",764,941
"2023-05-25 04:00:00",748,940
"2023-05-25 04:10:00",719,940
"2023-05-25 04:20:00",712,939
"2023-05-25 04:30:00",721,939
"2023-05-25 04:40:00",730,939
"2023-05-25 04:50:00",721,939
"2023-05-25 05:00:00",719,938
"2023-05-25 05:10:00",718,938
"2023-05-25 05:20:00",722,938
"2023-05-25 05:30:00",703,937
"2023-05-25 05:40:00",712,937
"2023-05-25 05:50:00",712,936
"2023-05-25 06:00:00",701,936
"2023-05-25 06:10:00",693,935
"2023-05-25 06:20:00",699,935
"2023-05-25 06:30:00",703,934
"2023-05-25 06:40:00",710,934
"2023-05-25 06:50:00",700,933
"2023-05-25 07:00:00",724,933
"2023-05-25 07:10:00",721,933
"2023-05-25 07:20:00",742,932
"2023-05-25 07:30:00",755,932
"2023-05-25 07:40:00",757,931
"2023-05-25 07:50:00",761,931
"2023-05-25 08:00:00",752,930
"2023-05-25 08:10:00",757,930
"2023-05-25 08:20:00",778,929
"2023-05-25 08:30:00",802,929
"2023-05-25 08:40:00",804,929
"2023-05-25 08:50:00",815,928
"2023-05-25 09:00:00",816,928
"2023-05-25 09:10:00",810,927
"2023-05-25 09:20:00",809,927
"2023-05-25 09:30:00",807,926
"2023-05-25 09:40:00",833,926
"2023-05-25 09:50:00",856,926
"2023-05-25 10:00:00",863,925
"2023-05-25 10:10:00",863,925
"2023-05-25 10:20:00",877,924
"2023-05-25 10:30:00",893,924
"2023-05-25 10:40:00",929,923
"2023-05-25 10:50:00",951,923
"2023-05-25 11:00:00",947,922
"2023-05-25 11:10:00",986,921
"2023-05-25 11:20:00",997,921
"2023-05-25 11:30:00",992,920
"2023-05-25 11:40:00",994,919
"2023-05-25 11:50:00",1022,918
"2023-05-25 12:00:00",1043,917
"2023-05-25 12:10:00",1090,916
"2023-05-25 12:20:00",1123,916
"2023-05-25 12:30:00",1120,915
"2023-05-25 12:40:00",1140,914
"2023-05-25 12:50:00",1162,913
"2023-05-25 13:00:00",1185,911
"2023-05-25 13:10:00",1214,910
"2023-05-25 13:20:00",1271,909
"2023-05-25 13:30:00",1271,908
"2023-05-25 13:40:00",1272,907
"2023-05-25 13:50:00",1291,906
"2023-05-25 14:00:00",1295,905
"2023-05-25 14:10:00",1318,904
"2023-05-25 14:20:00",1322,903
"2023-05-25 14:30:00",1356,902
"2023-05-25 14:40:00",1364,901
"2023-05-25 14:50:00",1368,900
"2023-05-25 15:00:00",1360,899
"2023-05-25 15:10:00",1357,897
"2023-05-25 15:20:00",1363,896
"2023-05-25 15:30:00",1351,895
"2023-05-25 15:40:00",1367,893
"2023-05-25 15:50:00",1366,891
"2023-05-25 16:00:00",1355,890
"2023-05-25 16:10:00",1333,888
"2023-05-25 16:20:00",1308,887
"2023-05-25 16:30:00",1304,886
"2023-05-25 16:40:00",1256,885
