"DateTime","Players","Players Trend"
"2023-05-17 05:50:00",61,93
"2023-05-17 06:00:00",63,93
"2023-05-17 06:10:00",62,93
"2023-05-17 06:20:00",61,93
"2023-05-17 06:30:00",61,93
"2023-05-17 06:40:00",61,93
"2023-05-17 06:50:00",54,93
"2023-05-17 07:00:00",58,93
"2023-05-17 07:10:00",59,93
"2023-05-17 07:20:00",58,93
"2023-05-17 07:30:00",59,93
"2023-05-17 07:40:00",62,93
"2023-05-17 07:50:00",65,93
"2023-05-17 08:00:00",60,93
"2023-05-17 08:10:00",65,93
"2023-05-17 08:20:00",69,93
"2023-05-17 08:30:00",65,93
"2023-05-17 08:40:00",67,93
"2023-05-17 08:50:00",72,93
"2023-05-17 09:00:00",68,93
"2023-05-17 09:10:00",72,93
"2023-05-17 09:20:00",71,93
"2023-05-17 09:30:00",70,93
"2023-05-17 09:40:00",74,94
"2023-05-17 09:50:00",75,94
"2023-05-17 10:00:00",74,94
"2023-05-17 10:10:00",78,94
"2023-05-17 10:20:00",82,94
"2023-05-17 10:30:00",86,94
"2023-05-17 10:40:00",92,94
"2023-05-17 10:50:00",90,94
"2023-05-17 11:00:00",89,94
"2023-05-17 11:10:00",80,93
"2023-05-17 11:20:00",80,93
"2023-05-17 11:30:00",85,93
"2023-05-17 11:40:00",88,94
"2023-05-17 11:50:00",86,94
"2023-05-17 12:00:00",92,94
"2023-05-17 12:10:00",96,94
"2023-05-17 12:20:00",106,94
"2023-05-17 12:30:00",102,94
"2023-05-17 12:40:00",103,94
"2023-05-17 12:50:00",107,94
"2023-05-17 13:00:00",109,94
"2023-05-17 13:10:00",111,94
"2023-05-17 13:20:00",107,94
"2023-05-17 13:30:00",105,94
"2023-05-17 13:40:00",113,95
"2023-05-17 13:50:00",121,95
"2023-05-17 14:00:00",124,95
"2023-05-17 14:10:00",129,95
"2023-05-17 14:20:00",118,95
"2023-05-17 14:30:00",123,95
"2023-05-17 14:40:00",124,95
"2023-05-17 14:50:00",130,95
"2023-05-17 15:00:00",131,95
"2023-05-17 15:10:00",135,95
"2023-05-17 15:20:00",123,95
"2023-05-17 15:30:00",123,95
"2023-05-17 15:40:00",121,95
"2023-05-17 15:50:00",129,95
"2023-05-17 16:00:00",127,95
"2023-05-17 16:10:00",124,95
"2023-05-17 16:20:00",122,95
"2023-05-17 16:30:00",116,95
"2023-05-17 16:40:00",115,95
"2023-05-17 16:50:00",116,95
"2023-05-17 17:00:00",115,95
"2023-05-17 17:10:00",118,96
"2023-05-17 17:20:00",111,96
"2023-05-17 17:30:00",124,96
"2023-05-17 17:40:00",121,96
"2023-05-17 17:50:00",116,96
"2023-05-17 18:00:00",115,96
"2023-05-17 18:10:00",115,96
"2023-05-17 18:20:00",115,96
"2023-05-17 18:30:00",121,96
"2023-05-17 18:40:00",122,96
"2023-05-17 18:50:00",128,96
"2023-05-17 19:00:00",136,96
"2023-05-17 19:10:00",144,96
"2023-05-17 19:20:00",138,96
"2023-05-17 19:30:00",137,96
"2023-05-17 19:40:00",138,96
"2023-05-17 19:50:00",138,96
"2023-05-17 20:00:00",132,96
"2023-05-17 20:10:00",131,96
"2023-05-17 20:20:00",141,97
"2023-05-17 20:30:00",151,96
"2023-05-17 20:40:00",155,96
"2023-05-17 20:50:00",141,96
"2023-05-17 21:00:00",139,96
"2023-05-17 21:10:00",138,96
"2023-05-17 21:20:00",130,96
"2023-05-17 21:30:00",122,96
"2023-05-17 21:40:00",118,95
"2023-05-17 21:50:00",112,95
"2023-05-17 22:00:00",106,95
"2023-05-17 22:10:00",100,95
"2023-05-17 22:20:00",95,95
"2023-05-17 22:30:00",85,95
"2023-05-17 22:40:00",76,95
"2023-05-17 22:50:00",75,95
