"DateTime","Players","Players Trend"
"2023-05-17 08:10:00",1774,2763
"2023-05-17 08:20:00",1811,2765
"2023-05-17 08:30:00",1870,2767
"2023-05-17 08:40:00",1873,2769
"2023-05-17 08:50:00",1887,2772
"2023-05-17 09:00:00",1906,2775
"2023-05-17 09:10:00",1949,2779
"2023-05-17 09:20:00",1980,2783
"2023-05-17 09:30:00",2000,2787
"2023-05-17 09:40:00",2020,2791
"2023-05-17 09:50:00",2057,2795
"2023-05-17 10:00:00",2075,2799
"2023-05-17 10:10:00",2101,2803
"2023-05-17 10:20:00",2160,2807
"2023-05-17 10:30:00",2199,2811
"2023-05-17 10:40:00",2256,2815
"2023-05-17 10:50:00",2325,2819
"2023-05-17 11:00:00",2385,2823
"2023-05-17 11:10:00",2416,2827
"2023-05-17 11:20:00",2443,2831
"2023-05-17 11:30:00",2456,2835
"2023-05-17 11:40:00",2479,2839
"2023-05-17 11:50:00",2539,2843
"2023-05-17 12:00:00",2543,2847
"2023-05-17 12:10:00",2609,2852
"2023-05-17 12:20:00",2672,2856
"2023-05-17 12:30:00",2714,2860
"2023-05-17 12:40:00",2824,2864
"2023-05-17 12:50:00",2914,2868
"2023-05-17 13:00:00",2978,2871
"2023-05-17 13:10:00",3010,2874
"2023-05-17 13:20:00",3012,2877
"2023-05-17 13:30:00",3076,2880
"2023-05-17 13:40:00",3120,2883
"2023-05-17 13:50:00",3147,2887
"2023-05-17 14:00:00",3219,2890
"2023-05-17 14:10:00",3263,2893
"2023-05-17 14:20:00",3306,2895
"2023-05-17 14:30:00",3295,2898
"2023-05-17 14:40:00",3320,2900
"2023-05-17 14:50:00",3344,2903
"2023-05-17 15:00:00",3354,2905
"2023-05-17 15:10:00",3357,2907
"2023-05-17 15:20:00",3383,2909
"2023-05-17 15:30:00",3378,2911
"2023-05-17 15:40:00",3424,2913
"2023-05-17 15:50:00",3447,2915
"2023-05-17 16:00:00",3426,2917
"2023-05-17 16:10:00",3459,2918
"2023-05-17 16:20:00",3490,2920
"2023-05-17 16:30:00",3487,2921
"2023-05-17 16:40:00",3520,2922
"2023-05-17 16:50:00",3528,2922
"2023-05-17 17:00:00",3552,2923
"2023-05-17 17:10:00",3620,2924
"2023-05-17 17:20:00",3653,2925
"2023-05-17 17:30:00",3697,2925
"2023-05-17 17:40:00",3763,2926
"2023-05-17 17:50:00",3787,2926
"2023-05-17 18:00:00",3840,2926
"2023-05-17 18:10:00",3958,2926
"2023-05-17 18:20:00",4008,2926
"2023-05-17 18:30:00",4104,2925
"2023-05-17 18:40:00",4236,2925
"2023-05-17 18:50:00",4305,2924
"2023-05-17 19:00:00",4349,2923
"2023-05-17 19:10:00",4416,2922
"2023-05-17 19:20:00",4477,2920
"2023-05-17 19:30:00",4509,2919
"2023-05-17 19:40:00",4665,2917
"2023-05-17 19:50:00",4877,2914
"2023-05-17 20:00:00",4912,2910
"2023-05-17 20:10:00",4899,2905
"2023-05-17 20:20:00",4925,2900
"2023-05-17 20:30:00",4932,2895
"2023-05-17 20:40:00",4902,2889
"2023-05-17 20:50:00",4820,2884
"2023-05-17 21:00:00",4791,2879
"2023-05-17 21:10:00",4695,2874
"2023-05-17 21:20:00",4571,2870
"2023-05-17 21:30:00",4489,2865
"2023-05-17 21:40:00",4222,2860
"2023-05-17 21:50:00",4058,2856
"2023-05-17 22:00:00",3904,2853
"2023-05-17 22:10:00",3784,2850
"2023-05-17 22:20:00",3665,2846
"2023-05-17 22:30:00",3597,2843
"2023-05-17 22:40:00",3494,2839
"2023-05-17 22:50:00",3358,2834
"2023-05-17 23:00:00",3237,2830
"2023-05-17 23:10:00",3100,2827
"2023-05-17 23:20:00",2968,2823
"2023-05-17 23:30:00",2853,2820
"2023-05-17 23:40:00",2769,2816
"2023-05-17 23:50:00",2677,2813
"2023-05-18 00:00:00",2595,2810
"2023-05-18 00:10:00",2508,2807
"2023-05-18 00:20:00",2382,2804
"2023-05-18 00:30:00",2289,2801
"2023-05-18 00:40:00",2177,2799
"2023-05-18 00:50:00",2116,2797
"2023-05-18 01:00:00",2057,2796
"2023-05-18 01:10:00",2016,2794
"2023-05-18 01:20:00",1968,2793
"2023-05-18 01:30:00",1918,2791
"2023-05-18 01:40:00",1894,2790
"2023-05-18 01:50:00",1901,2788
"2023-05-18 02:00:00",1897,2787
"2023-05-18 02:10:00",1894,2785
"2023-05-18 02:20:00",1859,2783
"2023-05-18 02:30:00",1851,2781
"2023-05-18 02:40:00",1810,2780
"2023-05-18 02:50:00",1757,2778
"2023-05-18 03:00:00",1737,2776
"2023-05-18 03:10:00",1693,2775
"2023-05-18 03:20:00",1639,2774
"2023-05-18 03:30:00",1611,2773
"2023-05-18 03:40:00",1576,2772
"2023-05-18 03:50:00",1554,2771
"2023-05-18 04:00:00",1561,2770
"2023-05-18 04:10:00",1537,2769
"2023-05-18 04:20:00",1529,2767
"2023-05-18 04:30:00",1497,2764
"2023-05-18 04:40:00",1343,2759
"2023-05-18 04:50:00",614,2755
"2023-05-18 05:00:00",659,2758
"2023-05-18 05:10:00",842,2760
"2023-05-18 05:20:00",1030,2762
"2023-05-18 05:30:00",1128,2763
"2023-05-18 05:40:00",1229,2764
"2023-05-18 05:50:00",1337,2763
"2023-05-18 06:00:00",1429,2763
"2023-05-18 06:10:00",1483,2762
"2023-05-18 06:20:00",1544,2760
"2023-05-18 06:30:00",1586,2759
"2023-05-18 06:40:00",1635,2757
"2023-05-18 06:50:00",1687,2755
"2023-05-18 07:00:00",1787,2753
"2023-05-18 07:10:00",1803,2751
"2023-05-18 07:20:00",1877,2749
"2023-05-18 07:30:00",1933,2746
"2023-05-18 07:40:00",1963,2744
"2023-05-18 07:50:00",2033,2742
"2023-05-18 08:00:00",2097,2740
"2023-05-18 08:10:00",2147,2738
"2023-05-18 08:20:00",2172,2736
"2023-05-18 08:30:00",2216,2735
"2023-05-18 08:40:00",2319,2733
"2023-05-18 08:50:00",2424,2732
"2023-05-18 09:00:00",2508,2730
"2023-05-18 09:10:00",2546,2727
"2023-05-18 09:20:00",2611,2725
"2023-05-18 09:30:00",2639,2723
"2023-05-18 09:40:00",2652,2721
"2023-05-18 09:50:00",2697,2719
"2023-05-18 10:00:00",2732,2717
"2023-05-18 10:10:00",2763,2715
"2023-05-18 10:20:00",2804,2713
"2023-05-18 10:30:00",2841,2711
"2023-05-18 10:40:00",2831,2708
"2023-05-18 10:50:00",2917,2706
"2023-05-18 11:00:00",2974,2704
"2023-05-18 11:10:00",3013,2701
"2023-05-18 11:20:00",3086,2698
"2023-05-18 11:30:00",3082,2696
"2023-05-18 11:40:00",3119,2693
"2023-05-18 11:50:00",3158,2690
"2023-05-18 12:00:00",3218,2688
"2023-05-18 12:10:00",3226,2685
