"DateTime","Players","Players Trend"
"2023-05-17 08:20:00",5023,10175
"2023-05-17 08:30:00",4907,10175
"2023-05-17 08:40:00",4846,10175
"2023-05-17 08:50:00",4776,10175
"2023-05-17 09:00:00",4736,10174
"2023-05-17 09:10:00",4727,10174
"2023-05-17 09:20:00",4697,10173
"2023-05-17 09:30:00",4670,10173
"2023-05-17 09:40:00",4650,10172
"2023-05-17 09:50:00",4624,10171
"2023-05-17 10:00:00",4616,10170
"2023-05-17 10:10:00",4616,10169
"2023-05-17 10:20:00",4617,10168
"2023-05-17 10:30:00",4609,10168
"2023-05-17 10:40:00",4587,10167
"2023-05-17 10:50:00",4639,10168
"2023-05-17 11:00:00",4629,10167
"2023-05-17 11:10:00",4698,10168
"2023-05-17 11:20:00",4706,10168
"2023-05-17 11:30:00",4787,10168
"2023-05-17 11:40:00",4889,10167
"2023-05-17 11:50:00",4961,10167
"2023-05-17 12:00:00",4970,10166
"2023-05-17 12:10:00",5101,10165
"2023-05-17 12:20:00",5144,10165
"2023-05-17 12:30:00",5345,10166
"2023-05-17 12:40:00",5426,10166
"2023-05-17 12:50:00",5584,10167
"2023-05-17 13:00:00",5725,10168
"2023-05-17 13:10:00",5870,10169
"2023-05-17 13:20:00",6025,10170
"2023-05-17 13:30:00",6181,10171
"2023-05-17 13:40:00",6320,10173
"2023-05-17 13:50:00",6538,10175
"2023-05-17 14:00:00",6716,10173
"2023-05-17 14:10:00",6873,10155
"2023-05-17 14:20:00",7071,10129
"2023-05-17 14:30:00",7236,10095
"2023-05-17 14:40:00",7373,10059
"2023-05-17 14:50:00",7540,10029
"2023-05-17 15:00:00",7751,10007
"2023-05-17 15:10:00",7940,9991
"2023-05-17 15:20:00",8158,9980
"2023-05-17 15:30:00",8413,9974
"2023-05-17 15:40:00",8639,9970
"2023-05-17 15:50:00",8921,9967
"2023-05-17 16:00:00",9084,9966
"2023-05-17 16:10:00",9262,9966
"2023-05-17 16:20:00",9414,9967
"2023-05-17 16:30:00",9650,9969
"2023-05-17 16:40:00",9862,9971
"2023-05-17 16:50:00",10072,9973
"2023-05-17 17:00:00",10319,9975
"2023-05-17 17:10:00",10443,9977
"2023-05-17 17:20:00",10669,9980
"2023-05-17 17:30:00",10843,9983
"2023-05-17 17:40:00",10984,9985
"2023-05-17 17:50:00",11133,9988
"2023-05-17 18:00:00",11354,9992
"2023-05-17 18:10:00",11585,9996
"2023-05-17 18:20:00",11808,10000
"2023-05-17 18:30:00",12102,10004
"2023-05-17 18:40:00",12209,10007
"2023-05-17 18:50:00",12359,10010
"2023-05-17 19:00:00",12380,10013
"2023-05-17 19:10:00",12390,10017
"2023-05-17 19:20:00",12533,10022
"2023-05-17 19:30:00",12625,10027
"2023-05-17 19:40:00",12766,10032
"2023-05-17 19:50:00",12876,10037
"2023-05-17 20:00:00",12944,10042
"2023-05-17 20:10:00",13058,10047
"2023-05-17 20:20:00",13081,10053
"2023-05-17 20:30:00",13149,10059
"2023-05-17 20:40:00",13217,10065
"2023-05-17 20:50:00",13325,10071
"2023-05-17 21:00:00",13535,10077
"2023-05-17 21:10:00",13634,10081
"2023-05-17 21:20:00",13741,10083
"2023-05-17 21:30:00",13743,10085
"2023-05-17 21:40:00",13825,10087
"2023-05-17 21:50:00",13817,10088
"2023-05-17 22:00:00",13817,10089
"2023-05-17 22:10:00",13790,10090
"2023-05-17 22:20:00",13799,10091
"2023-05-17 22:30:00",13882,10092
"2023-05-17 22:40:00",13989,10093
"2023-05-17 22:50:00",14036,10093
"2023-05-17 23:00:00",14058,10093
"2023-05-17 23:10:00",14151,10093
"2023-05-17 23:20:00",14213,10093
"2023-05-17 23:30:00",14304,10093
"2023-05-17 23:40:00",14413,10093
"2023-05-17 23:50:00",14437,10093
"2023-05-18 00:00:00",14482,10095
"2023-05-18 00:10:00",14680,10097
"2023-05-18 00:20:00",14918,10099
"2023-05-18 00:30:00",15041,10101
"2023-05-18 00:40:00",15162,10103
"2023-05-18 00:50:00",15298,10106
"2023-05-18 01:00:00",15334,10108
"2023-05-18 01:10:00",15515,10110
"2023-05-18 01:20:00",15646,10113
"2023-05-18 01:30:00",15766,10116
"2023-05-18 01:40:00",15817,10119
