"DateTime","Players","Players Trend"
"2023-05-18 12:00:00",5267,10162
"2023-05-18 12:10:00",5405,10162
"2023-05-18 12:20:00",5618,10162
"2023-05-18 12:30:00",5725,10161
"2023-05-18 12:40:00",5922,10161
"2023-05-18 12:50:00",6028,10160
"2023-05-18 13:00:00",6145,10159
"2023-05-18 13:10:00",6333,10159
"2023-05-18 13:20:00",6541,10158
"2023-05-18 13:30:00",6728,10157
"2023-05-18 13:40:00",6934,10156
"2023-05-18 13:50:00",6496,10155
"2023-05-18 14:00:00",4369,10158
"2023-05-18 14:10:00",3171,10176
"2023-05-18 14:20:00",2356,10203
"2023-05-18 14:30:00",2171,10237
"2023-05-18 14:40:00",3111,10274
"2023-05-18 14:50:00",4490,10307
"2023-05-18 15:00:00",5603,10332
"2023-05-18 15:10:00",6526,10351
"2023-05-18 15:20:00",7296,10365
"2023-05-18 15:30:00",7927,10376
"2023-05-18 15:40:00",8383,10383
"2023-05-18 15:50:00",8838,10389
"2023-05-18 16:00:00",9154,10392
"2023-05-18 16:10:00",9459,10394
"2023-05-18 16:20:00",9718,10394
"2023-05-18 16:30:00",10004,10394
"2023-05-18 16:40:00",10134,10393
"2023-05-18 16:50:00",10362,10392
"2023-05-18 17:00:00",10630,10392
"2023-05-18 17:10:00",10810,10390
"2023-05-18 17:20:00",10992,10388
"2023-05-18 17:30:00",11210,10386
"2023-05-18 17:40:00",11284,10384
"2023-05-18 17:50:00",11632,10383
"2023-05-18 18:00:00",11866,10381
"2023-05-18 18:10:00",12062,10380
"2023-05-18 18:20:00",12257,10378
"2023-05-18 18:30:00",12355,10377
"2023-05-18 18:40:00",12502,10377
"2023-05-18 18:50:00",12688,10378
"2023-05-18 19:00:00",12812,10380
"2023-05-18 19:10:00",12952,10383
"2023-05-18 19:20:00",13108,10386
"2023-05-18 19:30:00",13135,10389
"2023-05-18 19:40:00",13311,10393
"2023-05-18 19:50:00",13388,10397
"2023-05-18 20:00:00",13512,10403
"2023-05-18 20:10:00",13694,10409
"2023-05-18 20:20:00",13758,10415
"2023-05-18 20:30:00",13852,10422
