"DateTime","Players","Players Trend"
"2023-05-17 05:40:00",9786,10159
"2023-05-17 05:50:00",9495,10159
"2023-05-17 06:00:00",9098,10159
"2023-05-17 06:10:00",8650,10158
"2023-05-17 06:20:00",8144,10157
"2023-05-17 06:30:00",7788,10156
"2023-05-17 06:40:00",7360,10156
"2023-05-17 06:50:00",7148,10156
"2023-05-17 07:00:00",6871,10156
"2023-05-17 07:10:00",6567,10155
"2023-05-17 07:20:00",6340,10155
"2023-05-17 07:30:00",6055,10154
"2023-05-17 07:40:00",5827,10153
"2023-05-17 07:50:00",5631,10153
"2023-05-17 08:00:00",5449,10152
"2023-05-17 08:10:00",5235,10151
"2023-05-17 08:20:00",5023,10151
"2023-05-17 08:30:00",4907,10151
"2023-05-17 08:40:00",4846,10151
"2023-05-17 08:50:00",4776,10150
"2023-05-17 09:00:00",4736,10150
"2023-05-17 09:10:00",4727,10149
"2023-05-17 09:20:00",4697,10149
"2023-05-17 09:30:00",4670,10148
"2023-05-17 09:40:00",4650,10148
"2023-05-17 09:50:00",4624,10147
"2023-05-17 10:00:00",4616,10145
"2023-05-17 10:10:00",4616,10144
"2023-05-17 10:20:00",4617,10144
"2023-05-17 10:30:00",4609,10143
"2023-05-17 10:40:00",4587,10143
"2023-05-17 10:50:00",4639,10143
"2023-05-17 11:00:00",4629,10143
"2023-05-17 11:10:00",4698,10144
"2023-05-17 11:20:00",4706,10143
"2023-05-17 11:30:00",4787,10143
"2023-05-17 11:40:00",4889,10143
"2023-05-17 11:50:00",4961,10142
"2023-05-17 12:00:00",4970,10141
"2023-05-17 12:10:00",5101,10141
"2023-05-17 12:20:00",5144,10141
"2023-05-17 12:30:00",5345,10141
"2023-05-17 12:40:00",5426,10142
"2023-05-17 12:50:00",5584,10143
"2023-05-17 13:00:00",5725,10143
"2023-05-17 13:10:00",5870,10144
"2023-05-17 13:20:00",6025,10145
"2023-05-17 13:30:00",6181,10147
"2023-05-17 13:40:00",6320,10148
"2023-05-17 13:50:00",6538,10151
"2023-05-17 14:00:00",6716,10149
"2023-05-17 14:10:00",6873,10131
"2023-05-17 14:20:00",7071,10104
"2023-05-17 14:30:00",7236,10071
"2023-05-17 14:40:00",7373,10035
"2023-05-17 14:50:00",7540,10005
"2023-05-17 15:00:00",7751,9983
"2023-05-17 15:10:00",7940,9968
"2023-05-17 15:20:00",8158,9957
"2023-05-17 15:30:00",8413,9951
"2023-05-17 15:40:00",8639,9947
"2023-05-17 15:50:00",8921,9944
"2023-05-17 16:00:00",9084,9943
"2023-05-17 16:10:00",9262,9943
"2023-05-17 16:20:00",9414,9944
"2023-05-17 16:30:00",9650,9946
"2023-05-17 16:40:00",9862,9948
"2023-05-17 16:50:00",10072,9950
"2023-05-17 17:00:00",10319,9952
"2023-05-17 17:10:00",10443,9955
"2023-05-17 17:20:00",10669,9957
"2023-05-17 17:30:00",10843,9960
"2023-05-17 17:40:00",10984,9963
"2023-05-17 17:50:00",11133,9965
"2023-05-17 18:00:00",11354,9969
"2023-05-17 18:10:00",11585,9973
"2023-05-17 18:20:00",11808,9977
"2023-05-17 18:30:00",12102,9981
"2023-05-17 18:40:00",12209,9984
"2023-05-17 18:50:00",12359,9987
"2023-05-17 19:00:00",12380,9990
"2023-05-17 19:10:00",12390,9994
"2023-05-17 19:20:00",12533,9999
"2023-05-17 19:30:00",12625,10004
"2023-05-17 19:40:00",12766,10009
"2023-05-17 19:50:00",12876,10014
"2023-05-17 20:00:00",12944,10019
"2023-05-17 20:10:00",13058,10024
"2023-05-17 20:20:00",13081,10029
"2023-05-17 20:30:00",13149,10035
"2023-05-17 20:40:00",13217,10042
"2023-05-17 20:50:00",13325,10048
"2023-05-17 21:00:00",13535,10053
"2023-05-17 21:10:00",13634,10057
"2023-05-17 21:20:00",13741,10060
"2023-05-17 21:30:00",13743,10062
"2023-05-17 21:40:00",13825,10064
"2023-05-17 21:50:00",13817,10065
"2023-05-17 22:00:00",13817,10066
"2023-05-17 22:10:00",13790,10067
"2023-05-17 22:20:00",13799,10068
"2023-05-17 22:30:00",13882,10069
"2023-05-17 22:40:00",13989,10070
"2023-05-17 22:50:00",14036,10070
"2023-05-17 23:00:00",14058,10070
"2023-05-17 23:10:00",14151,10070
"2023-05-17 23:20:00",14213,10069
"2023-05-17 23:30:00",14304,10070
"2023-05-17 23:40:00",14413,10070
"2023-05-17 23:50:00",14437,10070
"2023-05-18 00:00:00",14482,10072
"2023-05-18 00:10:00",14680,10074
"2023-05-18 00:20:00",14918,10076
"2023-05-18 00:30:00",15041,10078
"2023-05-18 00:40:00",15162,10080
"2023-05-18 00:50:00",15298,10083
"2023-05-18 01:00:00",15334,10085
"2023-05-18 01:10:00",15515,10087
"2023-05-18 01:20:00",15646,10090
"2023-05-18 01:30:00",15766,10093
"2023-05-18 01:40:00",15817,10096
"2023-05-18 01:50:00",15729,10099
"2023-05-18 02:00:00",15627,10103
"2023-05-18 02:10:00",15623,10107
