"DateTime","Players","Players Trend"
"2023-05-18 12:00:00",562,586
"2023-05-18 12:10:00",567,586
"2023-05-18 12:20:00",558,586
"2023-05-18 12:30:00",564,586
"2023-05-18 12:40:00",578,586
"2023-05-18 12:50:00",582,586
"2023-05-18 13:00:00",590,585
"2023-05-18 13:10:00",601,585
"2023-05-18 13:20:00",606,585
"2023-05-18 13:30:00",598,585
"2023-05-18 13:40:00",604,585
"2023-05-18 13:50:00",612,585
"2023-05-18 14:00:00",620,585
"2023-05-18 14:10:00",620,584
"2023-05-18 14:20:00",617,584
"2023-05-18 14:30:00",632,584
"2023-05-18 14:40:00",637,584
"2023-05-18 14:50:00",640,584
"2023-05-18 15:00:00",643,584
"2023-05-18 15:10:00",644,584
"2023-05-18 15:20:00",634,584
"2023-05-18 15:30:00",641,584
"2023-05-18 15:40:00",653,584
"2023-05-18 15:50:00",648,584
"2023-05-18 16:00:00",659,585
"2023-05-18 16:10:00",671,585
"2023-05-18 16:20:00",672,585
"2023-05-18 16:30:00",672,585
"2023-05-18 16:40:00",683,586
"2023-05-18 16:50:00",689,586
"2023-05-18 17:00:00",685,586
"2023-05-18 17:10:00",702,586
"2023-05-18 17:20:00",699,586
"2023-05-18 17:30:00",694,586
"2023-05-18 17:40:00",693,586
"2023-05-18 17:50:00",712,586
"2023-05-18 18:00:00",710,586
"2023-05-18 18:10:00",706,587
"2023-05-18 18:20:00",706,587
"2023-05-18 18:30:00",711,587
"2023-05-18 18:40:00",720,587
"2023-05-18 18:50:00",716,587
"2023-05-18 19:00:00",723,587
"2023-05-18 19:10:00",706,587
"2023-05-18 19:20:00",710,587
"2023-05-18 19:30:00",707,588
"2023-05-18 19:40:00",705,588
"2023-05-18 19:50:00",704,588
"2023-05-18 20:00:00",701,589
"2023-05-18 20:10:00",700,589
"2023-05-18 20:20:00",690,590
"2023-05-18 20:30:00",681,590
"2023-05-18 20:40:00",683,590
"2023-05-18 20:50:00",692,591
"2023-05-18 21:00:00",688,591
"2023-05-18 21:10:00",681,592
"2023-05-18 21:20:00",682,592
"2023-05-18 21:30:00",684,592
"2023-05-18 21:40:00",671,593
"2023-05-18 21:50:00",672,593
"2023-05-18 22:00:00",674,593
"2023-05-18 22:10:00",655,594
"2023-05-18 22:20:00",651,594
"2023-05-18 22:30:00",639,594
"2023-05-18 22:40:00",617,594
"2023-05-18 22:50:00",615,595
"2023-05-18 23:00:00",611,595
"2023-05-18 23:10:00",614,595
"2023-05-18 23:20:00",609,595
"2023-05-18 23:30:00",602,596
"2023-05-18 23:40:00",597,596
"2023-05-18 23:50:00",605,596
"2023-05-19 00:00:00",606,597
"2023-05-19 00:10:00",605,597
"2023-05-19 00:20:00",606,597
"2023-05-19 00:30:00",603,598
"2023-05-19 00:40:00",593,598
"2023-05-19 00:50:00",573,598
"2023-05-19 01:00:00",571,599
"2023-05-19 01:10:00",579,599
"2023-05-19 01:20:00",580,599
"2023-05-19 01:30:00",569,600
"2023-05-19 01:40:00",571,600
"2023-05-19 01:50:00",568,600
"2023-05-19 02:00:00",568,601
"2023-05-19 02:10:00",560,601
"2023-05-19 02:20:00",563,601
"2023-05-19 02:30:00",563,601
"2023-05-19 02:40:00",552,602
"2023-05-19 02:50:00",551,602
"2023-05-19 03:00:00",551,602
"2023-05-19 03:10:00",549,602
"2023-05-19 03:20:00",536,602
"2023-05-19 03:30:00",529,602
"2023-05-19 03:40:00",520,602
"2023-05-19 03:50:00",516,602
"2023-05-19 04:00:00",508,602
"2023-05-19 04:10:00",493,602
"2023-05-19 04:20:00",491,603
"2023-05-19 04:30:00",490,603
"2023-05-19 04:40:00",495,603
"2023-05-19 04:50:00",500,603
"2023-05-19 05:00:00",503,603
"2023-05-19 05:10:00",489,603
"2023-05-19 05:20:00",478,604
"2023-05-19 05:30:00",468,604
"2023-05-19 05:40:00",463,604
"2023-05-19 05:50:00",458,604
"2023-05-19 06:00:00",458,605
"2023-05-19 06:10:00",457,605
"2023-05-19 06:20:00",466,605
"2023-05-19 06:30:00",466,605
"2023-05-19 06:40:00",466,606
"2023-05-19 06:50:00",471,606
"2023-05-19 07:00:00",473,606
"2023-05-19 07:10:00",470,606
"2023-05-19 07:20:00",469,607
"2023-05-19 07:30:00",473,607
"2023-05-19 07:40:00",470,607
"2023-05-19 07:50:00",465,607
"2023-05-19 08:00:00",478,608
"2023-05-19 08:10:00",474,608
"2023-05-19 08:20:00",483,608
"2023-05-19 08:30:00",490,608
"2023-05-19 08:40:00",488,608
"2023-05-19 08:50:00",494,609
"2023-05-19 09:00:00",489,609
"2023-05-19 09:10:00",490,609
"2023-05-19 09:20:00",501,609
"2023-05-19 09:30:00",499,609
"2023-05-19 09:40:00",501,610
"2023-05-19 09:50:00",502,610
"2023-05-19 10:00:00",505,610
"2023-05-19 10:10:00",519,611
"2023-05-19 10:20:00",521,611
"2023-05-19 10:30:00",526,611
"2023-05-19 10:40:00",524,612
"2023-05-19 10:50:00",525,612
"2023-05-19 11:00:00",519,612
"2023-05-19 11:10:00",523,613
"2023-05-19 11:20:00",523,613
"2023-05-19 11:30:00",538,614
"2023-05-19 11:40:00",548,614
"2023-05-19 11:50:00",554,614
"2023-05-19 12:00:00",555,615
"2023-05-19 12:10:00",558,615
"2023-05-19 12:20:00",554,615
"2023-05-19 12:30:00",559,616
"2023-05-19 12:40:00",568,616
"2023-05-19 12:50:00",575,617
"2023-05-19 13:00:00",576,617
"2023-05-19 13:10:00",579,618
"2023-05-19 13:20:00",581,618
"2023-05-19 13:30:00",576,619
"2023-05-19 13:40:00",578,620
"2023-05-19 13:50:00",577,620
"2023-05-19 14:00:00",592,621
"2023-05-19 14:10:00",609,622
"2023-05-19 14:20:00",612,623
"2023-05-19 14:30:00",617,624
"2023-05-19 14:40:00",620,624
"2023-05-19 14:50:00",623,625
"2023-05-19 15:00:00",627,626
"2023-05-19 15:10:00",632,627
"2023-05-19 15:20:00",652,627
"2023-05-19 15:30:00",670,628
"2023-05-19 15:40:00",674,629
"2023-05-19 15:50:00",683,629
"2023-05-19 16:00:00",694,630
"2023-05-19 16:10:00",689,630
"2023-05-19 16:20:00",689,631
"2023-05-19 16:30:00",692,631
"2023-05-19 16:40:00",689,632
"2023-05-19 16:50:00",687,632
"2023-05-19 17:00:00",693,633
"2023-05-19 17:10:00",702,634
"2023-05-19 17:20:00",714,634
"2023-05-19 17:30:00",718,635
"2023-05-19 17:40:00",707,635
"2023-05-19 17:50:00",713,636
"2023-05-19 18:00:00",718,637
"2023-05-19 18:10:00",728,637
"2023-05-19 18:20:00",721,638
"2023-05-19 18:30:00",718,638
"2023-05-19 18:40:00",722,639
"2023-05-19 18:50:00",721,639
"2023-05-19 19:00:00",718,640
"2023-05-19 19:10:00",737,640
"2023-05-19 19:20:00",745,641
"2023-05-19 19:30:00",748,641
"2023-05-19 19:40:00",744,642
"2023-05-19 19:50:00",743,642
"2023-05-19 20:00:00",759,643
"2023-05-19 20:10:00",746,644
"2023-05-19 20:20:00",742,644
"2023-05-19 20:30:00",745,645
"2023-05-19 20:40:00",741,645
"2023-05-19 20:50:00",736,646
"2023-05-19 21:00:00",739,646
"2023-05-19 21:10:00",722,647
"2023-05-19 21:20:00",727,647
"2023-05-19 21:30:00",716,647
"2023-05-19 21:40:00",725,648
"2023-05-19 21:50:00",720,648
"2023-05-19 22:00:00",713,648
"2023-05-19 22:10:00",700,648
"2023-05-19 22:20:00",688,649
"2023-05-19 22:30:00",677,649
"2023-05-19 22:40:00",657,650
"2023-05-19 22:50:00",647,650
"2023-05-19 23:00:00",638,650
"2023-05-19 23:10:00",649,651
"2023-05-19 23:20:00",643,651
"2023-05-19 23:30:00",650,652
"2023-05-19 23:40:00",644,652
"2023-05-19 23:50:00",644,652
"2023-05-20 00:00:00",663,652
"2023-05-20 00:10:00",657,652
"2023-05-20 00:20:00",655,652
"2023-05-20 00:30:00",652,652
"2023-05-20 00:40:00",640,652
