"DateTime","Players","Players Trend"
"2023-05-29 05:00:00",14680,17273
"2023-05-29 05:10:00",14560,17260
"2023-05-29 05:20:00",14368,17246
"2023-05-29 05:30:00",14206,17232
"2023-05-29 05:40:00",14052,17218
"2023-05-29 05:50:00",13874,17203
"2023-05-29 06:00:00",13802,17189
"2023-05-29 06:10:00",13656,17175
"2023-05-29 06:20:00",13558,17160
"2023-05-29 06:30:00",13454,17144
"2023-05-29 06:40:00",13406,17129
"2023-05-29 06:50:00",13346,17112
"2023-05-29 07:00:00",13333,17096
"2023-05-29 07:10:00",13407,17080
"2023-05-29 07:20:00",13519,17062
"2023-05-29 07:30:00",13567,17044
"2023-05-29 07:40:00",13608,17026
"2023-05-29 07:50:00",13714,17008
"2023-05-29 08:00:00",13842,16989
"2023-05-29 08:10:00",14067,16971
"2023-05-29 08:20:00",14097,16950
"2023-05-29 08:30:00",14295,16930
"2023-05-29 08:40:00",14466,16909
"2023-05-29 08:50:00",14688,16887
"2023-05-29 09:00:00",14763,16863
"2023-05-29 09:10:00",14912,16839
"2023-05-29 09:20:00",15118,16815
"2023-05-29 09:30:00",15227,16789
"2023-05-29 09:40:00",15326,16762
"2023-05-29 09:50:00",15451,16735
"2023-05-29 10:00:00",15522,16708
"2023-05-29 10:10:00",15586,16680
"2023-05-29 10:20:00",15681,16653
"2023-05-29 10:30:00",15803,16627
"2023-05-29 10:40:00",15993,16600
"2023-05-29 10:50:00",16115,16573
"2023-05-29 11:00:00",16352,16546
"2023-05-29 11:10:00",16714,16518
"2023-05-29 11:20:00",17005,16489
"2023-05-29 11:30:00",17410,16459
"2023-05-29 11:40:00",17638,16428
"2023-05-29 11:50:00",17977,16397
"2023-05-29 12:00:00",18217,16366
"2023-05-29 12:10:00",18556,16335
"2023-05-29 12:20:00",18963,16303
"2023-05-29 12:30:00",19275,16270
"2023-05-29 12:40:00",19622,16237
"2023-05-29 12:50:00",19979,16204
"2023-05-29 13:00:00",20241,16170
"2023-05-29 13:10:00",20526,16136
"2023-05-29 13:20:00",20875,16102
"2023-05-29 13:30:00",21175,16067
"2023-05-29 13:40:00",21525,16033
"2023-05-29 13:50:00",21811,15998
"2023-05-29 14:00:00",22013,15963
"2023-05-29 14:10:00",22288,15927
"2023-05-29 14:20:00",22409,15892
"2023-05-29 14:30:00",22611,15856
"2023-05-29 14:40:00",22681,15820
"2023-05-29 14:50:00",22752,15785
"2023-05-29 15:00:00",22768,15750
"2023-05-29 15:10:00",22522,15714
"2023-05-29 15:20:00",22543,15679
"2023-05-29 15:30:00",22518,15644
"2023-05-29 15:40:00",22285,15610
"2023-05-29 15:50:00",22128,15576
"2023-05-29 16:00:00",21953,15543
"2023-05-29 16:10:00",21527,15511
"2023-05-29 16:20:00",21348,15480
"2023-05-29 16:30:00",21254,15450
