"DateTime","Players","Players Trend"
"2023-05-17 05:40:00",16165,19638
"2023-05-17 05:50:00",15949,19634
"2023-05-17 06:00:00",15825,19631
"2023-05-17 06:10:00",15540,19628
"2023-05-17 06:20:00",15478,19626
"2023-05-17 06:30:00",15426,19624
"2023-05-17 06:40:00",15450,19622
"2023-05-17 06:50:00",15464,19621
"2023-05-17 07:00:00",15406,19619
"2023-05-17 07:10:00",15372,19618
"2023-05-17 07:20:00",15406,19618
"2023-05-17 07:30:00",15412,19619
"2023-05-17 07:40:00",15449,19620
"2023-05-17 07:50:00",15555,19623
"2023-05-17 08:00:00",15670,19626
"2023-05-17 08:10:00",15789,19630
"2023-05-17 08:20:00",15982,19635
"2023-05-17 08:30:00",16112,19640
"2023-05-17 08:40:00",16346,19647
"2023-05-17 08:50:00",16532,19654
"2023-05-17 09:00:00",16635,19662
"2023-05-17 09:10:00",16614,19670
"2023-05-17 09:20:00",16638,19680
"2023-05-17 09:30:00",16755,19692
"2023-05-17 09:40:00",16886,19704
"2023-05-17 09:50:00",17007,19715
"2023-05-17 10:00:00",17041,19728
"2023-05-17 10:10:00",17005,19741
"2023-05-17 10:20:00",17191,19755
"2023-05-17 10:30:00",17333,19770
"2023-05-17 10:40:00",17515,19785
"2023-05-17 10:50:00",17711,19801
"2023-05-17 11:00:00",17948,19817
"2023-05-17 11:10:00",18191,19833
"2023-05-17 11:20:00",18514,19850
"2023-05-17 11:30:00",18768,19868
"2023-05-17 11:40:00",19094,19886
"2023-05-17 11:50:00",19432,19904
"2023-05-17 12:00:00",19660,19922
"2023-05-17 12:10:00",19993,19940
"2023-05-17 12:20:00",20381,19960
"2023-05-17 12:30:00",20690,19979
"2023-05-17 12:40:00",21195,19999
"2023-05-17 12:50:00",21553,20018
"2023-05-17 13:00:00",21935,20037
"2023-05-17 13:10:00",22244,20056
"2023-05-17 13:20:00",22658,20076
"2023-05-17 13:30:00",23016,20096
"2023-05-17 13:40:00",23404,20116
"2023-05-17 13:50:00",23689,20137
"2023-05-17 14:00:00",23949,20157
"2023-05-17 14:10:00",24243,20178
"2023-05-17 14:20:00",24474,20199
"2023-05-17 14:30:00",24663,20220
"2023-05-17 14:40:00",24811,20240
"2023-05-17 14:50:00",24899,20260
"2023-05-17 15:00:00",24866,20280
"2023-05-17 15:10:00",24404,20299
"2023-05-17 15:20:00",24328,20318
"2023-05-17 15:30:00",24215,20335
"2023-05-17 15:40:00",23874,20352
"2023-05-17 15:50:00",23745,20368
"2023-05-17 16:00:00",23552,20382
"2023-05-17 16:10:00",23151,20395
"2023-05-17 16:20:00",22936,20406
"2023-05-17 16:30:00",22722,20417
"2023-05-17 16:40:00",22466,20428
"2023-05-17 16:50:00",22376,20438
"2023-05-17 17:00:00",22288,20449
"2023-05-17 17:10:00",22127,20459
"2023-05-17 17:20:00",22195,20468
"2023-05-17 17:30:00",22256,20477
"2023-05-17 17:40:00",22309,20484
"2023-05-17 17:50:00",22464,20492
"2023-05-17 18:00:00",22489,20498
"2023-05-17 18:10:00",22596,20504
"2023-05-17 18:20:00",22747,20508
"2023-05-17 18:30:00",22848,20512
"2023-05-17 18:40:00",23005,20515
"2023-05-17 18:50:00",23128,20518
"2023-05-17 19:00:00",23184,20520
"2023-05-17 19:10:00",23274,20522
"2023-05-17 19:20:00",23370,20523
"2023-05-17 19:30:00",23379,20524
"2023-05-17 19:40:00",23395,20525
"2023-05-17 19:50:00",23513,20526
"2023-05-17 20:00:00",23426,20526
"2023-05-17 20:10:00",23369,20526
"2023-05-17 20:20:00",23327,20526
"2023-05-17 20:30:00",23164,20525
"2023-05-17 20:40:00",22930,20524
"2023-05-17 20:50:00",22782,20523
"2023-05-17 21:00:00",22574,20522
"2023-05-17 21:10:00",22234,20520
"2023-05-17 21:20:00",21919,20517
"2023-05-17 21:30:00",21722,20514
"2023-05-17 21:40:00",21440,20510
"2023-05-17 21:50:00",21012,20505
"2023-05-17 22:00:00",20872,20500
"2023-05-17 22:10:00",20497,20494
"2023-05-17 22:20:00",20008,20487
"2023-05-17 22:30:00",19654,20480
"2023-05-17 22:40:00",19289,20474
"2023-05-17 22:50:00",18976,20468
"2023-05-17 23:00:00",18746,20463
"2023-05-17 23:10:00",18409,20457
"2023-05-17 23:20:00",18183,20452
"2023-05-17 23:30:00",17909,20445
"2023-05-17 23:40:00",17840,20440
"2023-05-17 23:50:00",17730,20434
"2023-05-18 00:00:00",17670,20428
"2023-05-18 00:10:00",17666,20421
"2023-05-18 00:20:00",17762,20414
"2023-05-18 00:30:00",17754,20406
"2023-05-18 00:40:00",17853,20399
"2023-05-18 00:50:00",17954,20392
"2023-05-18 01:00:00",18055,20386
"2023-05-18 01:10:00",18117,20380
"2023-05-18 01:20:00",18169,20374
"2023-05-18 01:30:00",18198,20368
"2023-05-18 01:40:00",18268,20363
"2023-05-18 01:50:00",18265,20357
"2023-05-18 02:00:00",18257,20351
"2023-05-18 02:10:00",18311,20345
"2023-05-18 02:20:00",18274,20339
"2023-05-18 02:30:00",18236,20334
"2023-05-18 02:40:00",18108,20329
"2023-05-18 02:50:00",18120,20325
"2023-05-18 03:00:00",18086,20321
"2023-05-18 03:10:00",17906,20316
"2023-05-18 03:20:00",17736,20311
"2023-05-18 03:30:00",17530,20307
"2023-05-18 03:40:00",17335,20304
"2023-05-18 03:50:00",17246,20300
"2023-05-18 04:00:00",17099,20297
"2023-05-18 04:10:00",17000,20295
"2023-05-18 04:20:00",17004,20291
"2023-05-18 04:30:00",17011,20289
"2023-05-18 04:40:00",16958,20286
"2023-05-18 04:50:00",16963,20284
"2023-05-18 05:00:00",16823,20283
"2023-05-18 05:10:00",16455,20281
"2023-05-18 05:20:00",16235,20280
"2023-05-18 05:30:00",16124,20279
"2023-05-18 05:40:00",15940,20280
"2023-05-18 05:50:00",15735,20280
"2023-05-18 06:00:00",15690,20281
"2023-05-18 06:10:00",15543,20282
"2023-05-18 06:20:00",15481,20282
"2023-05-18 06:30:00",15495,20281
"2023-05-18 06:40:00",15489,20281
"2023-05-18 06:50:00",15533,20281
"2023-05-18 07:00:00",15581,20282
"2023-05-18 07:10:00",15608,20282
"2023-05-18 07:20:00",15851,20282
"2023-05-18 07:30:00",15966,20282
"2023-05-18 07:40:00",16108,20282
"2023-05-18 07:50:00",16321,20281
"2023-05-18 08:00:00",16528,20281
"2023-05-18 08:10:00",16741,20280
"2023-05-18 08:20:00",16991,20279
"2023-05-18 08:30:00",17314,20278
"2023-05-18 08:40:00",17640,20276
"2023-05-18 08:50:00",17837,20274
"2023-05-18 09:00:00",18094,20271
"2023-05-18 09:10:00",18320,20268
"2023-05-18 09:20:00",18567,20265
"2023-05-18 09:30:00",18661,20261
"2023-05-18 09:40:00",18787,20257
"2023-05-18 09:50:00",19004,20253
"2023-05-18 10:00:00",19150,20250
"2023-05-18 10:10:00",19316,20247
"2023-05-18 10:20:00",19543,20245
"2023-05-18 10:30:00",19708,20242
"2023-05-18 10:40:00",20005,20240
"2023-05-18 10:50:00",20231,20238
"2023-05-18 11:00:00",20426,20236
"2023-05-18 11:10:00",20770,20235
"2023-05-18 11:20:00",21145,20233
"2023-05-18 11:30:00",21497,20231
"2023-05-18 11:40:00",21757,20229
"2023-05-18 11:50:00",22102,20228
"2023-05-18 12:00:00",22423,20227
"2023-05-18 12:10:00",22873,20226
"2023-05-18 12:20:00",23187,20225
"2023-05-18 12:30:00",23493,20224
"2023-05-18 12:40:00",23813,20224
"2023-05-18 12:50:00",24266,20225
"2023-05-18 13:00:00",24606,20226
"2023-05-18 13:10:00",25044,20227
"2023-05-18 13:20:00",25344,20227
"2023-05-18 13:30:00",25808,20228
"2023-05-18 13:40:00",26157,20229
"2023-05-18 13:50:00",26504,20229
"2023-05-18 14:00:00",26697,20230
"2023-05-18 14:10:00",27021,20232
"2023-05-18 14:20:00",27250,20232
"2023-05-18 14:30:00",27303,20233
"2023-05-18 14:40:00",27497,20234
"2023-05-18 14:50:00",27507,20234
"2023-05-18 15:00:00",27417,20236
"2023-05-18 15:10:00",26886,20239
"2023-05-18 15:20:00",26625,20243
"2023-05-18 15:30:00",26496,20250
"2023-05-18 15:40:00",25902,20256
"2023-05-18 15:50:00",25645,20264
"2023-05-18 16:00:00",25267,20272
"2023-05-18 16:10:00",24721,20280
"2023-05-18 16:20:00",24370,20289
"2023-05-18 16:30:00",24145,20298
"2023-05-18 16:40:00",23912,20307
"2023-05-18 16:50:00",23830,20316
"2023-05-18 17:00:00",23661,20325
"2023-05-18 17:10:00",23368,20332
"2023-05-18 17:20:00",23353,20340
"2023-05-18 17:30:00",23260,20347
"2023-05-18 17:40:00",23272,20353
"2023-05-18 17:50:00",23307,20359
"2023-05-18 18:00:00",23128,20364
"2023-05-18 18:10:00",23085,20369
"2023-05-18 18:20:00",23170,20373
"2023-05-18 18:30:00",23186,20377
"2023-05-18 18:40:00",23211,20381
"2023-05-18 18:50:00",23272,20385
"2023-05-18 19:00:00",23226,20388
"2023-05-18 19:10:00",23271,20392
"2023-05-18 19:20:00",23288,20396
"2023-05-18 19:30:00",23306,20399
"2023-05-18 19:40:00",23316,20403
"2023-05-18 19:50:00",23306,20406
"2023-05-18 20:00:00",23216,20410
"2023-05-18 20:10:00",23131,20413
"2023-05-18 20:20:00",22986,20417
"2023-05-18 20:30:00",22911,20421
"2023-05-18 20:40:00",22578,20426
