"DateTime","Players","Players Trend"
"2023-05-25 01:10:00",14349,16729
"2023-05-25 01:20:00",14345,16742
"2023-05-25 01:30:00",14254,16755
"2023-05-25 01:40:00",14310,16769
"2023-05-25 01:50:00",14328,16782
"2023-05-25 02:00:00",14241,16796
"2023-05-25 02:10:00",14244,16810
"2023-05-25 02:20:00",14222,16823
"2023-05-25 02:30:00",14203,16836
"2023-05-25 02:40:00",14062,16848
"2023-05-25 02:50:00",13951,16861
"2023-05-25 03:00:00",13879,16874
"2023-05-25 03:10:00",13757,16888
"2023-05-25 03:20:00",13603,16902
"2023-05-25 03:30:00",13396,16916
"2023-05-25 03:40:00",13209,16929
"2023-05-25 03:50:00",13010,16944
"2023-05-25 04:00:00",12891,16959
"2023-05-25 04:10:00",12719,16973
"2023-05-25 04:20:00",12603,16988
"2023-05-25 04:30:00",12456,17002
"2023-05-25 04:40:00",12317,17016
"2023-05-25 04:50:00",12206,17031
"2023-05-25 05:00:00",12105,17045
"2023-05-25 05:10:00",11881,17060
"2023-05-25 05:20:00",11688,17074
"2023-05-25 05:30:00",11533,17088
"2023-05-25 05:40:00",11385,17102
"2023-05-25 05:50:00",11228,17116
"2023-05-25 06:00:00",11104,17130
"2023-05-25 06:10:00",10981,17145
"2023-05-25 06:20:00",10919,17159
"2023-05-25 06:30:00",10905,17175
"2023-05-25 06:40:00",10859,17190
"2023-05-25 06:50:00",10936,17206
"2023-05-25 07:00:00",10939,17221
"2023-05-25 07:10:00",11016,17237
"2023-05-25 07:20:00",11129,17253
"2023-05-25 07:30:00",11242,17270
"2023-05-25 07:40:00",11453,17286
"2023-05-25 07:50:00",11574,17303
"2023-05-25 08:00:00",11684,17320
"2023-05-25 08:10:00",11820,17338
"2023-05-25 08:20:00",11946,17357
"2023-05-25 08:30:00",12129,17376
"2023-05-25 08:40:00",12349,17396
"2023-05-25 08:50:00",12567,17416
"2023-05-25 09:00:00",12746,17437
"2023-05-25 09:10:00",12875,17457
"2023-05-25 09:20:00",13000,17477
"2023-05-25 09:30:00",13173,17498
"2023-05-25 09:40:00",13272,17519
"2023-05-25 09:50:00",13427,17541
"2023-05-25 10:00:00",13478,17563
"2023-05-25 10:10:00",13606,17586
"2023-05-25 10:20:00",13728,17610
"2023-05-25 10:30:00",13918,17634
"2023-05-25 10:40:00",14168,17659
"2023-05-25 10:50:00",14371,17685
"2023-05-25 11:00:00",14670,17711
"2023-05-25 11:10:00",14918,17738
"2023-05-25 11:20:00",15191,17766
"2023-05-25 11:30:00",15420,17794
"2023-05-25 11:40:00",15723,17824
"2023-05-25 11:50:00",15991,17853
"2023-05-25 12:00:00",16174,17885
"2023-05-25 12:10:00",16477,17917
"2023-05-25 12:20:00",16756,17951
"2023-05-25 12:30:00",17000,17986
"2023-05-25 12:40:00",17342,18023
"2023-05-25 12:50:00",17610,18061
"2023-05-25 13:00:00",17904,18100
"2023-05-25 13:10:00",18306,18140
"2023-05-25 13:20:00",18691,18181
"2023-05-25 13:30:00",19078,18221
"2023-05-25 13:40:00",19392,18264
"2023-05-25 13:50:00",19690,18307
"2023-05-25 14:00:00",19725,18352
"2023-05-25 14:10:00",18905,18399
"2023-05-25 14:20:00",18203,18453
"2023-05-25 14:30:00",17768,18514
"2023-05-25 14:40:00",17590,18580
"2023-05-25 14:50:00",17668,18648
"2023-05-25 15:00:00",17721,18718
"2023-05-25 15:10:00",17785,18789
"2023-05-25 15:20:00",17913,18859
"2023-05-25 15:30:00",18057,18930
"2023-05-25 15:40:00",18156,19000
"2023-05-25 15:50:00",18321,19070
"2023-05-25 16:00:00",18329,19140
"2023-05-25 16:10:00",18400,19209
"2023-05-25 16:20:00",18502,19277
"2023-05-25 16:30:00",18651,19345
"2023-05-25 16:40:00",18929,19411
"2023-05-25 16:50:00",19396,19476
"2023-05-25 17:00:00",19703,19537
"2023-05-25 17:10:00",20035,19596
"2023-05-25 17:20:00",20468,19654
"2023-05-25 17:30:00",20839,19709
"2023-05-25 17:40:00",21258,19763
"2023-05-25 17:50:00",21677,19813
"2023-05-25 18:00:00",22024,19862
"2023-05-25 18:10:00",22401,19908
"2023-05-25 18:20:00",22723,19953
"2023-05-25 18:30:00",23055,19996
"2023-05-25 18:40:00",23420,20038
"2023-05-25 18:50:00",23782,20079
"2023-05-25 19:00:00",24050,20119
"2023-05-25 19:10:00",24250,20160
"2023-05-25 19:20:00",24554,20199
"2023-05-25 19:30:00",24686,20237
"2023-05-25 19:40:00",24998,20275
"2023-05-25 19:50:00",25079,20313
"2023-05-25 20:00:00",24979,20352
"2023-05-25 20:10:00",24802,20391
"2023-05-25 20:20:00",24711,20431
"2023-05-25 20:30:00",24435,20472
"2023-05-25 20:40:00",24174,20513
"2023-05-25 20:50:00",23877,20555
"2023-05-25 21:00:00",23553,20597
"2023-05-25 21:10:00",23098,20639
"2023-05-25 21:20:00",22623,20682
"2023-05-25 21:30:00",22138,20725
"2023-05-25 21:40:00",21698,20768
"2023-05-25 21:50:00",21202,20811
"2023-05-25 22:00:00",20628,20854
"2023-05-25 22:10:00",20072,20897
