"DateTime","Players","Players Trend"
"2023-05-17 05:40:00",12437,18405
"2023-05-17 05:50:00",12280,18401
"2023-05-17 06:00:00",12088,18398
"2023-05-17 06:10:00",11956,18396
"2023-05-17 06:20:00",11945,18395
"2023-05-17 06:30:00",11986,18395
"2023-05-17 06:40:00",11936,18395
"2023-05-17 06:50:00",12018,18397
"2023-05-17 07:00:00",12046,18399
"2023-05-17 07:10:00",12090,18402
"2023-05-17 07:20:00",12178,18407
"2023-05-17 07:30:00",12326,18412
"2023-05-17 07:40:00",12459,18417
"2023-05-17 07:50:00",12652,18424
"2023-05-17 08:00:00",12747,18431
"2023-05-17 08:10:00",12914,18440
"2023-05-17 08:20:00",13124,18450
"2023-05-17 08:30:00",13281,18460
"2023-05-17 08:40:00",13475,18473
"2023-05-17 08:50:00",13590,18487
"2023-05-17 09:00:00",13724,18503
"2023-05-17 09:10:00",13848,18520
"2023-05-17 09:20:00",13997,18538
"2023-05-17 09:30:00",14194,18557
"2023-05-17 09:40:00",14355,18577
"2023-05-17 09:50:00",14523,18598
"2023-05-17 10:00:00",14712,18620
"2023-05-17 10:10:00",14875,18643
"2023-05-17 10:20:00",15095,18666
"2023-05-17 10:30:00",15382,18690
"2023-05-17 10:40:00",15728,18713
"2023-05-17 10:50:00",15964,18736
"2023-05-17 11:00:00",16275,18759
"2023-05-17 11:10:00",16566,18781
"2023-05-17 11:20:00",16908,18804
"2023-05-17 11:30:00",17255,18826
"2023-05-17 11:40:00",17591,18849
"2023-05-17 11:50:00",17920,18872
"2023-05-17 12:00:00",18168,18895
"2023-05-17 12:10:00",18538,18919
"2023-05-17 12:20:00",18892,18944
"2023-05-17 12:30:00",19263,18967
"2023-05-17 12:40:00",19660,18991
"2023-05-17 12:50:00",20037,19016
"2023-05-17 13:00:00",20276,19041
"2023-05-17 13:10:00",20584,19067
"2023-05-17 13:20:00",21047,19094
"2023-05-17 13:30:00",21372,19119
"2023-05-17 13:40:00",21832,19146
"2023-05-17 13:50:00",22102,19172
"2023-05-17 14:00:00",22369,19198
"2023-05-17 14:10:00",22528,19223
"2023-05-17 14:20:00",22755,19249
"2023-05-17 14:30:00",22941,19275
"2023-05-17 14:40:00",23082,19300
"2023-05-17 14:50:00",23302,19325
"2023-05-17 15:00:00",23327,19349
"2023-05-17 15:10:00",23305,19372
"2023-05-17 15:20:00",23430,19396
"2023-05-17 15:30:00",23400,19418
"2023-05-17 15:40:00",23314,19440
"2023-05-17 15:50:00",23281,19461
"2023-05-17 16:00:00",23226,19481
"2023-05-17 16:10:00",23082,19501
"2023-05-17 16:20:00",23128,19520
"2023-05-17 16:30:00",23189,19538
"2023-05-17 16:40:00",23207,19555
"2023-05-17 16:50:00",23290,19571
"2023-05-17 17:00:00",23291,19585
"2023-05-17 17:10:00",23399,19598
"2023-05-17 17:20:00",23410,19611
"2023-05-17 17:30:00",23531,19623
"2023-05-17 17:40:00",23627,19634
"2023-05-17 17:50:00",23767,19644
"2023-05-17 18:00:00",24012,19653
"2023-05-17 18:10:00",24156,19661
"2023-05-17 18:20:00",24435,19669
"2023-05-17 18:30:00",24723,19675
"2023-05-17 18:40:00",24939,19680
"2023-05-17 18:50:00",25166,19686
"2023-05-17 19:00:00",25140,19690
"2023-05-17 19:10:00",25135,19696
"2023-05-17 19:20:00",25321,19701
"2023-05-17 19:30:00",25544,19706
"2023-05-17 19:40:00",25691,19710
"2023-05-17 19:50:00",25744,19713
"2023-05-17 20:00:00",25759,19715
"2023-05-17 20:10:00",25735,19716
"2023-05-17 20:20:00",25648,19716
"2023-05-17 20:30:00",25549,19716
"2023-05-17 20:40:00",25418,19715
"2023-05-17 20:50:00",25155,19713
"2023-05-17 21:00:00",24731,19710
"2023-05-17 21:10:00",24435,19708
"2023-05-17 21:20:00",23921,19703
"2023-05-17 21:30:00",23402,19698
"2023-05-17 21:40:00",23034,19693
"2023-05-17 21:50:00",22494,19687
"2023-05-17 22:00:00",22092,19681
"2023-05-17 22:10:00",21268,19674
"2023-05-17 22:20:00",20566,19667
"2023-05-17 22:30:00",20027,19660
"2023-05-17 22:40:00",19558,19654
"2023-05-17 22:50:00",19025,19647
"2023-05-17 23:00:00",18559,19641
"2023-05-17 23:10:00",17960,19635
"2023-05-17 23:20:00",17705,19630
"2023-05-17 23:30:00",17311,19624
"2023-05-17 23:40:00",16978,19618
"2023-05-17 23:50:00",16701,19614
"2023-05-18 00:00:00",16425,19608
"2023-05-18 00:10:00",16277,19604
"2023-05-18 00:20:00",16052,19600
"2023-05-18 00:30:00",15957,19596
"2023-05-18 00:40:00",15844,19593
"2023-05-18 00:50:00",15803,19590
"2023-05-18 01:00:00",15746,19587
"2023-05-18 01:10:00",15743,19584
"2023-05-18 01:20:00",15750,19582
"2023-05-18 01:30:00",15743,19578
"2023-05-18 01:40:00",15662,19574
"2023-05-18 01:50:00",15658,19570
"2023-05-18 02:00:00",15456,19566
"2023-05-18 02:10:00",15409,19563
"2023-05-18 02:20:00",15327,19560
"2023-05-18 02:30:00",15193,19556
"2023-05-18 02:40:00",15100,19553
"2023-05-18 02:50:00",15000,19549
"2023-05-18 03:00:00",14709,19545
"2023-05-18 03:10:00",14520,19542
"2023-05-18 03:20:00",14387,19539
"2023-05-18 03:30:00",14214,19536
"2023-05-18 03:40:00",14077,19534
"2023-05-18 03:50:00",13911,19531
"2023-05-18 04:00:00",13772,19529
"2023-05-18 04:10:00",13667,19526
"2023-05-18 04:20:00",13525,19523
"2023-05-18 04:30:00",13428,19519
"2023-05-18 04:40:00",13243,19516
"2023-05-18 04:50:00",13159,19513
"2023-05-18 05:00:00",13057,19510
"2023-05-18 05:10:00",12872,19507
"2023-05-18 05:20:00",12642,19504
"2023-05-18 05:30:00",12507,19501
"2023-05-18 05:40:00",12367,19501
"2023-05-18 05:50:00",12314,19501
"2023-05-18 06:00:00",12233,19502
"2023-05-18 06:10:00",12224,19502
"2023-05-18 06:20:00",12388,19502
"2023-05-18 06:30:00",12500,19501
"2023-05-18 06:40:00",12638,19500
"2023-05-18 06:50:00",12819,19499
"2023-05-18 07:00:00",12974,19497
"2023-05-18 07:10:00",13196,19495
"2023-05-18 07:20:00",13339,19492
"2023-05-18 07:30:00",13548,19490
"2023-05-18 07:40:00",13848,19488
"2023-05-18 07:50:00",14113,19486
"2023-05-18 08:00:00",14385,19483
"2023-05-18 08:10:00",14736,19481
"2023-05-18 08:20:00",15072,19478
"2023-05-18 08:30:00",15499,19475
"2023-05-18 08:40:00",15863,19471
"2023-05-18 08:50:00",16258,19467
"2023-05-18 09:00:00",16499,19462
"2023-05-18 09:10:00",16800,19457
"2023-05-18 09:20:00",17085,19452
"2023-05-18 09:30:00",17414,19447
"2023-05-18 09:40:00",17781,19441
"2023-05-18 09:50:00",18084,19434
"2023-05-18 10:00:00",18325,19427
"2023-05-18 10:10:00",18484,19419
"2023-05-18 10:20:00",18780,19411
"2023-05-18 10:30:00",19021,19403
"2023-05-18 10:40:00",19258,19395
"2023-05-18 10:50:00",19574,19387
"2023-05-18 11:00:00",19663,19378
"2023-05-18 11:10:00",20004,19371
"2023-05-18 11:20:00",20332,19365
"2023-05-18 11:30:00",20663,19358
"2023-05-18 11:40:00",21068,19351
"2023-05-18 11:50:00",21431,19343
"2023-05-18 12:00:00",21778,19336
"2023-05-18 12:10:00",22106,19329
"2023-05-18 12:20:00",22386,19322
"2023-05-18 12:30:00",22752,19316
"2023-05-18 12:40:00",23268,19311
"2023-05-18 12:50:00",23660,19305
"2023-05-18 13:00:00",23993,19299
"2023-05-18 13:10:00",24328,19294
"2023-05-18 13:20:00",24685,19289
"2023-05-18 13:30:00",25134,19284
"2023-05-18 13:40:00",25398,19278
"2023-05-18 13:50:00",25725,19273
"2023-05-18 14:00:00",25891,19269
"2023-05-18 14:10:00",26181,19264
"2023-05-18 14:20:00",26278,19260
"2023-05-18 14:30:00",26434,19256
"2023-05-18 14:40:00",26499,19253
"2023-05-18 14:50:00",26511,19250
"2023-05-18 15:00:00",26501,19248
"2023-05-18 15:10:00",26510,19247
"2023-05-18 15:20:00",26496,19248
"2023-05-18 15:30:00",26387,19249
"2023-05-18 15:40:00",26157,19251
"2023-05-18 15:50:00",26016,19255
"2023-05-18 16:00:00",25877,19258
"2023-05-18 16:10:00",25663,19262
"2023-05-18 16:20:00",25561,19267
"2023-05-18 16:30:00",25465,19271
"2023-05-18 16:40:00",25289,19275
"2023-05-18 16:50:00",25132,19278
"2023-05-18 17:00:00",25031,19282
"2023-05-18 17:10:00",24966,19286
"2023-05-18 17:20:00",24951,19290
"2023-05-18 17:30:00",24849,19293
"2023-05-18 17:40:00",24817,19296
"2023-05-18 17:50:00",24904,19300
"2023-05-18 18:00:00",24897,19302
"2023-05-18 18:10:00",24916,19305
"2023-05-18 18:20:00",24984,19306
"2023-05-18 18:30:00",25180,19307
"2023-05-18 18:40:00",25321,19308
"2023-05-18 18:50:00",25464,19309
"2023-05-18 19:00:00",25548,19310
"2023-05-18 19:10:00",25578,19310
"2023-05-18 19:20:00",25653,19312
"2023-05-18 19:30:00",25703,19313
"2023-05-18 19:40:00",25637,19315
"2023-05-18 19:50:00",25568,19318
"2023-05-18 20:00:00",25510,19322
"2023-05-18 20:10:00",25352,19326
"2023-05-18 20:20:00",25197,19331
"2023-05-18 20:30:00",24965,19336
"2023-05-18 20:40:00",24660,19341
"2023-05-18 20:50:00",24373,19348
"2023-05-18 21:00:00",24042,19354
"2023-05-18 21:10:00",23442,19362
"2023-05-18 21:20:00",22907,19371
"2023-05-18 21:30:00",22394,19381
"2023-05-18 21:40:00",21892,19393
"2023-05-18 21:50:00",21410,19405
"2023-05-18 22:00:00",20858,19417
"2023-05-18 22:10:00",20137,19430
"2023-05-18 22:20:00",19528,19445
"2023-05-18 22:30:00",19080,19460
"2023-05-18 22:40:00",18605,19474
"2023-05-18 22:50:00",18137,19489
"2023-05-18 23:00:00",17774,19504
"2023-05-18 23:10:00",17359,19519
"2023-05-18 23:20:00",16960,19532
"2023-05-18 23:30:00",16681,19546
"2023-05-18 23:40:00",16466,19560
"2023-05-18 23:50:00",16150,19574
"2023-05-19 00:00:00",16004,19588
"2023-05-19 00:10:00",15883,19601
"2023-05-19 00:20:00",15796,19614
"2023-05-19 00:30:00",15724,19625
"2023-05-19 00:40:00",15676,19637
"2023-05-19 00:50:00",15644,19648
"2023-05-19 01:00:00",15675,19659
"2023-05-19 01:10:00",15627,19670
"2023-05-19 01:20:00",15493,19681
"2023-05-19 01:30:00",15401,19693
"2023-05-19 01:40:00",15383,19707
"2023-05-19 01:50:00",15358,19721
"2023-05-19 02:00:00",15328,19736
"2023-05-19 02:10:00",15207,19752
"2023-05-19 02:20:00",15097,19770
"2023-05-19 02:30:00",15001,19788
"2023-05-19 02:40:00",14905,19806
"2023-05-19 02:50:00",14734,19825
"2023-05-19 03:00:00",14624,19845
"2023-05-19 03:10:00",14444,19866
"2023-05-19 03:20:00",14363,19888
"2023-05-19 03:30:00",14263,19910
"2023-05-19 03:40:00",14113,19933
"2023-05-19 03:50:00",13941,19955
"2023-05-19 04:00:00",13763,19979
"2023-05-19 04:10:00",13650,20003
"2023-05-19 04:20:00",13446,20027
"2023-05-19 04:30:00",13429,20052
"2023-05-19 04:40:00",13267,20077
"2023-05-19 04:50:00",13192,20102
"2023-05-19 05:00:00",13089,20127
"2023-05-19 05:10:00",12936,20153
"2023-05-19 05:20:00",12730,20179
"2023-05-19 05:30:00",12581,20205
"2023-05-19 05:40:00",12530,20232
"2023-05-19 05:50:00",12446,20259
"2023-05-19 06:00:00",12360,20287
"2023-05-19 06:10:00",12276,20315
"2023-05-19 06:20:00",12304,20344
"2023-05-19 06:30:00",12348,20372
"2023-05-19 06:40:00",12471,20402
"2023-05-19 06:50:00",12597,20431
"2023-05-19 07:00:00",12652,20460
"2023-05-19 07:10:00",12786,20489
"2023-05-19 07:20:00",12999,20517
"2023-05-19 07:30:00",13180,20546
"2023-05-19 07:40:00",13442,20575
"2023-05-19 07:50:00",13679,20604
"2023-05-19 08:00:00",13912,20633
"2023-05-19 08:10:00",14176,20662
"2023-05-19 08:20:00",14504,20691
"2023-05-19 08:30:00",14759,20720
"2023-05-19 08:40:00",15004,20749
"2023-05-19 08:50:00",15360,20778
"2023-05-19 09:00:00",15602,20807
"2023-05-19 09:10:00",15817,20836
"2023-05-19 09:20:00",16030,20864
"2023-05-19 09:30:00",16290,20893
"2023-05-19 09:40:00",16421,20921
"2023-05-19 09:50:00",16607,20949
"2023-05-19 10:00:00",16839,20976
"2023-05-19 10:10:00",16935,21003
"2023-05-19 10:20:00",17220,21029
"2023-05-19 10:30:00",17435,21055
"2023-05-19 10:40:00",17689,21081
"2023-05-19 10:50:00",17970,21106
"2023-05-19 11:00:00",18273,21132
"2023-05-19 11:10:00",18658,21158
"2023-05-19 11:20:00",18939,21183
"2023-05-19 11:30:00",19265,21206
