"DateTime","Users","Users Trend","In-Game"
"2023-05-18 11:50:00",25876469,23232942,6500951
"2023-05-18 12:00:00",26253776,23236868,6653668
"2023-05-18 12:10:00",26620109,23240872,6817650
"2023-05-18 12:20:00",27035719,23245072,7000281
"2023-05-18 12:30:00",27375124,23249622,7139040
"2023-05-18 12:40:00",27754392,23254633,7313690
"2023-05-18 12:50:00",28118388,23259500,7462478
"2023-05-18 13:00:00",28427929,23264512,7561792
"2023-05-18 13:10:00",28733832,23269917,7683478
"2023-05-18 13:20:00",29049408,23275267,7809290
"2023-05-18 13:30:00",29307518,23280725,7933739
"2023-05-18 13:40:00",29532609,23286411,8036667
"2023-05-18 13:50:00",29714932,23292191,8097892
"2023-05-18 14:00:00",29802928,23298180,8126830
"2023-05-18 14:10:00",29873953,23304621,8181653
"2023-05-18 14:20:00",29908054,23311449,8192105
"2023-05-18 14:30:00",29882082,23318637,8147554
"2023-05-18 14:40:00",29811250,23326208,8100082
"2023-05-18 14:50:00",29723805,23334269,8044046
"2023-05-18 15:00:00",29533288,23342554,7918129
"2023-05-18 15:10:00",29177073,23351341,7799226
"2023-05-18 15:20:00",28964408,23361051,7713804
"2023-05-18 15:30:00",28710094,23371151,7605242
"2023-05-18 15:40:00",28420684,23381596,7485414
"2023-05-18 15:50:00",28203679,23392213,7380363
"2023-05-18 16:00:00",27916765,23402615,7261819
"2023-05-18 16:10:00",27500979,23412825,7131636
"2023-05-18 16:20:00",27249736,23423574,7073788
"2023-05-18 16:30:00",26999505,23433929,7023307
"2023-05-18 16:40:00",26809131,23444313,6960191
"2023-05-18 16:50:00",26657668,23454428,6902499
"2023-05-18 17:00:00",26496629,23463578,6833009
"2023-05-18 17:10:00",26324476,23472776,6769957
"2023-05-18 17:20:00",26213672,23481624,6739541
"2023-05-18 17:30:00",26141136,23489908,6705935
"2023-05-18 17:40:00",26091187,23497699,6719033
"2023-05-18 17:50:00",26030858,23504945,6720063
"2023-05-18 18:00:00",25970824,23511706,6711296
"2023-05-18 18:10:00",25910869,23518018,6718897
"2023-05-18 18:20:00",25864961,23523870,6737963
"2023-05-18 18:30:00",25823632,23529415,6744041
"2023-05-18 18:40:00",25755398,23534647,6738793
"2023-05-18 18:50:00",25701244,23539740,6725655
"2023-05-18 19:00:00",25610015,23544639,6700050
"2023-05-18 19:10:00",25496691,23549558,6669368
"2023-05-18 19:20:00",25383107,23554544,6646655
"2023-05-18 19:30:00",25259303,23559569,6621198
"2023-05-18 19:40:00",25117074,23564698,6595460
"2023-05-18 19:50:00",24955892,23569941,6576113
"2023-05-18 20:00:00",24745083,23575297,6524711
"2023-05-18 20:10:00",24487823,23581033,6450194
"2023-05-18 20:20:00",24236764,23586977,6366556
"2023-05-18 20:30:00",24010988,23593338,6296505
"2023-05-18 20:40:00",23754489,23599894,6211782
"2023-05-18 20:50:00",23480766,23606564,6116894
