"DateTime","Users","Users Trend","In-Game"
"2023-05-29 05:00:00",20482377,24304834,4777096
"2023-05-29 05:10:00",20407854,24299329,4749207
"2023-05-29 05:20:00",20336693,24293548,4726753
"2023-05-29 05:30:00",20275337,24287645,4698178
"2023-05-29 05:40:00",20235561,24281367,4672151
"2023-05-29 05:50:00",20199783,24274787,4647796
"2023-05-29 06:00:00",20203970,24268276,4620386
"2023-05-29 06:10:00",20245690,24261708,4612265
"2023-05-29 06:20:00",20291246,24254930,4613491
"2023-05-29 06:30:00",20353344,24248246,4620030
"2023-05-29 06:40:00",20427896,24241682,4634859
"2023-05-29 06:50:00",20520556,24235127,4653086
"2023-05-29 07:00:00",20561234,24228450,4656739
"2023-05-29 07:10:00",20646909,24222201,4679945
"2023-05-29 07:20:00",20805744,24216127,4724744
"2023-05-29 07:30:00",20947937,24209982,4763952
"2023-05-29 07:40:00",21100127,24203657,4813701
"2023-05-29 07:50:00",21263304,24197240,4870304
"2023-05-29 08:00:00",21459244,24190828,4930820
"2023-05-29 08:10:00",21640910,24184266,4991483
"2023-05-29 08:20:00",21860594,24177657,5064714
"2023-05-29 08:30:00",22337924,24170949,5239691
"2023-05-29 08:40:00",22569564,24162288,5293485
"2023-05-29 08:50:00",22779949,24153349,5330909
"2023-05-29 09:00:00",22962440,24144059,5369394
"2023-05-29 09:10:00",23135473,24134530,5400642
"2023-05-29 09:20:00",23368727,24125191,5451013
"2023-05-29 09:30:00",23480542,24115452,5466036
"2023-05-29 09:40:00",23670110,24106046,5505658
"2023-05-29 09:50:00",23902536,24096656,5536116
"2023-05-29 10:00:00",24114695,24087193,5564145
"2023-05-29 10:10:00",24339139,24077486,5622762
"2023-05-29 10:20:00",24597362,24067809,5684717
"2023-05-29 10:30:00",24867387,24058134,5761359
"2023-05-29 10:40:00",25132373,24048011,5849503
"2023-05-29 10:50:00",25398682,24037802,5930036
"2023-05-29 11:00:00",25664972,24027843,6019528
"2023-05-29 11:10:00",25988151,24018270,6135013
"2023-05-29 11:20:00",26325574,24008786,6263930
"2023-05-29 11:30:00",26656790,23999344,6397340
"2023-05-29 11:40:00",26989588,23989919,6535854
"2023-05-29 11:50:00",27364071,23980920,6692226
"2023-05-29 12:00:00",27698544,23971988,6826936
"2023-05-29 12:10:00",28058038,23963182,6985031
"2023-05-29 12:20:00",28420263,23954616,7146037
