"DateTime","Players","Players Trend"
"2023-05-25 00:50:00",7501,7394
"2023-05-25 01:00:00",7539,7392
"2023-05-25 01:10:00",7603,7390
"2023-05-25 01:20:00",7619,7387
"2023-05-25 01:30:00",7618,7384
"2023-05-25 01:40:00",7594,7381
"2023-05-25 01:50:00",7573,7378
"2023-05-25 02:00:00",7507,7374
"2023-05-25 02:10:00",7424,7372
"2023-05-25 02:20:00",7387,7369
"2023-05-25 02:30:00",7334,7367
"2023-05-25 02:40:00",7266,7364
"2023-05-25 02:50:00",7176,7362
"2023-05-25 03:00:00",7124,7360
"2023-05-25 03:10:00",6954,7358
"2023-05-25 03:20:00",6878,7357
"2023-05-25 03:30:00",6788,7356
"2023-05-25 03:40:00",6669,7355
"2023-05-25 03:50:00",6630,7353
"2023-05-25 04:00:00",6548,7352
"2023-05-25 04:10:00",6392,7350
"2023-05-25 04:20:00",6277,7349
"2023-05-25 04:30:00",6168,7347
"2023-05-25 04:40:00",6047,7345
"2023-05-25 04:50:00",5881,7343
"2023-05-25 05:00:00",5785,7342
"2023-05-25 05:10:00",5705,7341
"2023-05-25 05:20:00",5581,7340
"2023-05-25 05:30:00",5468,7338
"2023-05-25 05:40:00",5375,7337
"2023-05-25 05:50:00",5310,7336
"2023-05-25 06:00:00",5304,7335
"2023-05-25 06:10:00",5221,7333
"2023-05-25 06:20:00",5154,7331
"2023-05-25 06:30:00",5139,7329
"2023-05-25 06:40:00",5116,7327
"2023-05-25 06:50:00",5080,7326
"2023-05-25 07:00:00",5083,7324
"2023-05-25 07:10:00",5068,7323
"2023-05-25 07:20:00",5058,7322
"2023-05-25 07:30:00",5060,7321
"2023-05-25 07:40:00",5071,7319
"2023-05-25 07:50:00",5077,7319
"2023-05-25 08:00:00",5059,7318
"2023-05-25 08:10:00",5111,7317
"2023-05-25 08:20:00",5143,7316
"2023-05-25 08:30:00",5185,7316
"2023-05-25 08:40:00",5195,7315
"2023-05-25 08:50:00",5226,7314
"2023-05-25 09:00:00",5246,7313
"2023-05-25 09:10:00",5254,7313
"2023-05-25 09:20:00",5312,7312
"2023-05-25 09:30:00",5336,7312
"2023-05-25 09:40:00",5394,7311
"2023-05-25 09:50:00",5461,7311
"2023-05-25 10:00:00",5481,7310
