"DateTime","Players","Players Trend"
"2023-05-18 11:50:00",12976,12338
"2023-05-18 12:00:00",13150,12325
"2023-05-18 12:10:00",13320,12313
"2023-05-18 12:20:00",13502,12301
"2023-05-18 12:30:00",13672,12289
"2023-05-18 12:40:00",13860,12278
"2023-05-18 12:50:00",14073,12267
"2023-05-18 13:00:00",14214,12257
"2023-05-18 13:10:00",14346,12247
"2023-05-18 13:20:00",14553,12238
"2023-05-18 13:30:00",14801,12228
"2023-05-18 13:40:00",14981,12219
"2023-05-18 13:50:00",15090,12210
"2023-05-18 14:00:00",15174,12202
"2023-05-18 14:10:00",15304,12194
"2023-05-18 14:20:00",15435,12186
"2023-05-18 14:30:00",15498,12178
"2023-05-18 14:40:00",15611,12171
"2023-05-18 14:50:00",15704,12165
"2023-05-18 15:00:00",15780,12159
"2023-05-18 15:10:00",15776,12152
"2023-05-18 15:20:00",15754,12147
"2023-05-18 15:30:00",15734,12143
"2023-05-18 15:40:00",15701,12139
"2023-05-18 15:50:00",15655,12135
"2023-05-18 16:00:00",15618,12133
"2023-05-18 16:10:00",15549,12131
"2023-05-18 16:20:00",15544,12130
"2023-05-18 16:30:00",15518,12129
"2023-05-18 16:40:00",15579,12128
"2023-05-18 16:50:00",15633,12127
"2023-05-18 17:00:00",15703,12127
"2023-05-18 17:10:00",15788,12126
"2023-05-18 17:20:00",15881,12124
"2023-05-18 17:30:00",15971,12122
"2023-05-18 17:40:00",15995,12121
"2023-05-18 17:50:00",16048,12120
"2023-05-18 18:00:00",16053,12118
"2023-05-18 18:10:00",16102,12116
"2023-05-18 18:20:00",16163,12115
"2023-05-18 18:30:00",16335,12113
"2023-05-18 18:40:00",16409,12111
"2023-05-18 18:50:00",16512,12110
"2023-05-18 19:00:00",16529,12108
"2023-05-18 19:10:00",16526,12106
"2023-05-18 19:20:00",16596,12105
"2023-05-18 19:30:00",16642,12104
"2023-05-18 19:40:00",16630,12103
"2023-05-18 19:50:00",16626,12103
"2023-05-18 20:00:00",16597,12104
"2023-05-18 20:10:00",16425,12104
"2023-05-18 20:20:00",16330,12106
"2023-05-18 20:30:00",16209,12108
"2023-05-18 20:40:00",16001,12110
"2023-05-18 20:50:00",15782,12113
"2023-05-18 21:00:00",15588,12117
"2023-05-18 21:10:00",15341,12121
"2023-05-18 21:20:00",15011,12126
"2023-05-18 21:30:00",14709,12131
"2023-05-18 21:40:00",14390,12137
"2023-05-18 21:50:00",14153,12144
"2023-05-18 22:00:00",13931,12150
"2023-05-18 22:10:00",13558,12156
"2023-05-18 22:20:00",13271,12162
"2023-05-18 22:30:00",13029,12168
"2023-05-18 22:40:00",12812,12174
"2023-05-18 22:50:00",12636,12181
"2023-05-18 23:00:00",12354,12186
"2023-05-18 23:10:00",12108,12192
"2023-05-18 23:20:00",11880,12198
"2023-05-18 23:30:00",11762,12203
"2023-05-18 23:40:00",11573,12209
"2023-05-18 23:50:00",11477,12214
"2023-05-19 00:00:00",11368,12220
"2023-05-19 00:10:00",11293,12227
"2023-05-19 00:20:00",11173,12232
"2023-05-19 00:30:00",11171,12237
"2023-05-19 00:40:00",11148,12242
"2023-05-19 00:50:00",11103,12247
"2023-05-19 01:00:00",11093,12252
"2023-05-19 01:10:00",10995,12257
"2023-05-19 01:20:00",10917,12262
"2023-05-19 01:30:00",10862,12269
"2023-05-19 01:40:00",10824,12275
"2023-05-19 01:50:00",10844,12281
"2023-05-19 02:00:00",10827,12288
"2023-05-19 02:10:00",10761,12295
"2023-05-19 02:20:00",10737,12303
"2023-05-19 02:30:00",10715,12310
"2023-05-19 02:40:00",10631,12318
"2023-05-19 02:50:00",10591,12326
"2023-05-19 03:00:00",10443,12334
"2023-05-19 03:10:00",10320,12342
"2023-05-19 03:20:00",10131,12351
"2023-05-19 03:30:00",9994,12361
"2023-05-19 03:40:00",9896,12372
"2023-05-19 03:50:00",9725,12383
"2023-05-19 04:00:00",9606,12395
"2023-05-19 04:10:00",9396,12406
"2023-05-19 04:20:00",9254,12419
"2023-05-19 04:30:00",9084,12431
"2023-05-19 04:40:00",8963,12444
"2023-05-19 04:50:00",8828,12457
"2023-05-19 05:00:00",8679,12470
"2023-05-19 05:10:00",8552,12484
"2023-05-19 05:20:00",8435,12497
"2023-05-19 05:30:00",8396,12512
"2023-05-19 05:40:00",8264,12526
"2023-05-19 05:50:00",8216,12540
"2023-05-19 06:00:00",8134,12555
"2023-05-19 06:10:00",8104,12570
"2023-05-19 06:20:00",8120,12584
"2023-05-19 06:30:00",8132,12599
"2023-05-19 06:40:00",8093,12614
"2023-05-19 06:50:00",8166,12629
"2023-05-19 07:00:00",8228,12644
"2023-05-19 07:10:00",8251,12659
"2023-05-19 07:20:00",8273,12673
"2023-05-19 07:30:00",8435,12688
"2023-05-19 07:40:00",8472,12703
"2023-05-19 07:50:00",8592,12718
"2023-05-19 08:00:00",8655,12733
"2023-05-19 08:10:00",8743,12748
"2023-05-19 08:20:00",8847,12764
"2023-05-19 08:30:00",8874,12780
"2023-05-19 08:40:00",8926,12796
"2023-05-19 08:50:00",9071,12813
"2023-05-19 09:00:00",9153,12829
"2023-05-19 09:10:00",9223,12846
"2023-05-19 09:20:00",9324,12862
"2023-05-19 09:30:00",9406,12879
"2023-05-19 09:40:00",9496,12896
"2023-05-19 09:50:00",9585,12913
"2023-05-19 10:00:00",9667,12930
"2023-05-19 10:10:00",9763,12948
"2023-05-19 10:20:00",9819,12966
"2023-05-19 10:30:00",9940,12984
"2023-05-19 10:40:00",10050,13001
"2023-05-19 10:50:00",10190,13018
"2023-05-19 11:00:00",10281,13035
"2023-05-19 11:10:00",10475,13052
"2023-05-19 11:20:00",10618,13070
"2023-05-19 11:30:00",10768,13087
"2023-05-19 11:40:00",10984,13105
"2023-05-19 11:50:00",11115,13121
"2023-05-19 12:00:00",11345,13138
"2023-05-19 12:10:00",11484,13154
"2023-05-19 12:20:00",11680,13171
"2023-05-19 12:30:00",11940,13187
"2023-05-19 12:40:00",12209,13203
"2023-05-19 12:50:00",12483,13218
"2023-05-19 13:00:00",12626,13232
"2023-05-19 13:10:00",12823,13248
"2023-05-19 13:20:00",13041,13262
"2023-05-19 13:30:00",13228,13277
"2023-05-19 13:40:00",13455,13292
"2023-05-19 13:50:00",13701,13307
"2023-05-19 14:00:00",13811,13322
"2023-05-19 14:10:00",13928,13337
"2023-05-19 14:20:00",14066,13351
"2023-05-19 14:30:00",14287,13366
"2023-05-19 14:40:00",14402,13380
"2023-05-19 14:50:00",14556,13395
"2023-05-19 15:00:00",14600,13410
"2023-05-19 15:10:00",14735,13425
"2023-05-19 15:20:00",14874,13441
"2023-05-19 15:30:00",14912,13456
"2023-05-19 15:40:00",14965,13472
"2023-05-19 15:50:00",15017,13487
"2023-05-19 16:00:00",15086,13502
"2023-05-19 16:10:00",15132,13517
"2023-05-19 16:20:00",15152,13531
"2023-05-19 16:30:00",15193,13546
"2023-05-19 16:40:00",15234,13560
"2023-05-19 16:50:00",15289,13573
"2023-05-19 17:00:00",15337,13586
"2023-05-19 17:10:00",15227,13599
"2023-05-19 17:20:00",15303,13612
"2023-05-19 17:30:00",15469,13625
"2023-05-19 17:40:00",15531,13637
"2023-05-19 17:50:00",15549,13648
"2023-05-19 18:00:00",15489,13660
"2023-05-19 18:10:00",15585,13673
"2023-05-19 18:20:00",15616,13684
"2023-05-19 18:30:00",15752,13695
"2023-05-19 18:40:00",15837,13706
"2023-05-19 18:50:00",15929,13718
"2023-05-19 19:00:00",15955,13729
"2023-05-19 19:10:00",16068,13740
"2023-05-19 19:20:00",16112,13751
"2023-05-19 19:30:00",16173,13763
"2023-05-19 19:40:00",16293,13774
"2023-05-19 19:50:00",16330,13785
"2023-05-19 20:00:00",16373,13795
"2023-05-19 20:10:00",16350,13806
"2023-05-19 20:20:00",16300,13816
"2023-05-19 20:30:00",16251,13826
"2023-05-19 20:40:00",16215,13835
"2023-05-19 20:50:00",16100,13843
"2023-05-19 21:00:00",15973,13851
"2023-05-19 21:10:00",15760,13859
"2023-05-19 21:20:00",15623,13866
"2023-05-19 21:30:00",15415,13874
"2023-05-19 21:40:00",15255,13882
"2023-05-19 21:50:00",14936,13889
"2023-05-19 22:00:00",14647,13897
"2023-05-19 22:10:00",14371,13905
"2023-05-19 22:20:00",14102,13914
"2023-05-19 22:30:00",13912,13922
"2023-05-19 22:40:00",13702,13930
"2023-05-19 22:50:00",13469,13937
"2023-05-19 23:00:00",13195,13944
"2023-05-19 23:10:00",12925,13952
"2023-05-19 23:20:00",12744,13959
"2023-05-19 23:30:00",12608,13965
"2023-05-19 23:40:00",12495,13972
"2023-05-19 23:50:00",12421,13977
"2023-05-20 00:00:00",12342,13982
"2023-05-20 00:10:00",12154,13986
"2023-05-20 00:20:00",12058,13990
"2023-05-20 00:30:00",11999,13993
"2023-05-20 00:40:00",11958,13997
"2023-05-20 00:50:00",11918,14000
"2023-05-20 01:00:00",11891,14002
"2023-05-20 01:10:00",11900,14005
"2023-05-20 01:20:00",11933,14006
"2023-05-20 01:30:00",11913,14008
"2023-05-20 01:40:00",11899,14009
"2023-05-20 01:50:00",11963,14010
"2023-05-20 02:00:00",11951,14011
"2023-05-20 02:10:00",12008,14012
"2023-05-20 02:20:00",12014,14013
"2023-05-20 02:30:00",11972,14014
"2023-05-20 02:40:00",11958,14015
"2023-05-20 02:50:00",11902,14016
"2023-05-20 03:00:00",11869,14017
"2023-05-20 03:10:00",11823,14019
"2023-05-20 03:20:00",11787,14020
"2023-05-20 03:30:00",11812,14022
"2023-05-20 03:40:00",11768,14024
"2023-05-20 03:50:00",11695,14025
"2023-05-20 04:00:00",11568,14026
"2023-05-20 04:10:00",11482,14027
"2023-05-20 04:20:00",11381,14028
"2023-05-20 04:30:00",11318,14029
"2023-05-20 04:40:00",11180,14030
"2023-05-20 04:50:00",11098,14031
"2023-05-20 05:00:00",10996,14032
"2023-05-20 05:10:00",10950,14034
"2023-05-20 05:20:00",10898,14036
"2023-05-20 05:30:00",10833,14038
"2023-05-20 05:40:00",10796,14041
"2023-05-20 05:50:00",10769,14043
"2023-05-20 06:00:00",10719,14045
"2023-05-20 06:10:00",10706,14048
"2023-05-20 06:20:00",10739,14051
"2023-05-20 06:30:00",10714,14053
"2023-05-20 06:40:00",10686,14056
"2023-05-20 06:50:00",10765,14059
"2023-05-20 07:00:00",10802,14062
"2023-05-20 07:10:00",10800,14065
"2023-05-20 07:20:00",10875,14068
"2023-05-20 07:30:00",10966,14072
"2023-05-20 07:40:00",11090,14076
"2023-05-20 07:50:00",11239,14079
"2023-05-20 08:00:00",11348,14083
"2023-05-20 08:10:00",11435,14086
"2023-05-20 08:20:00",11567,14090
"2023-05-20 08:30:00",11681,14093
"2023-05-20 08:40:00",11780,14098
"2023-05-20 08:50:00",11847,14102
"2023-05-20 09:00:00",11925,14107
"2023-05-20 09:10:00",12014,14112
"2023-05-20 09:20:00",12181,14117
"2023-05-20 09:30:00",12260,14122
"2023-05-20 09:40:00",12400,14127
"2023-05-20 09:50:00",12539,14132
"2023-05-20 10:00:00",12638,14136
"2023-05-20 10:10:00",12721,14140
"2023-05-20 10:20:00",12814,14144
"2023-05-20 10:30:00",12842,14149
"2023-05-20 10:40:00",12917,14154
"2023-05-20 10:50:00",12998,14159
"2023-05-20 11:00:00",13157,14164
"2023-05-20 11:10:00",13362,14169
"2023-05-20 11:20:00",13547,14174
"2023-05-20 11:30:00",13599,14177
"2023-05-20 11:40:00",13778,14181
"2023-05-20 11:50:00",13914,14185
"2023-05-20 12:00:00",14104,14189
"2023-05-20 12:10:00",14293,14193
"2023-05-20 12:20:00",14402,14197
"2023-05-20 12:30:00",14538,14201
"2023-05-20 12:40:00",14763,14205
"2023-05-20 12:50:00",14995,14209
"2023-05-20 13:00:00",15218,14213
