"DateTime","Players","Players Trend"
"2023-05-17 08:10:00",8755,12493
"2023-05-17 08:20:00",8809,12498
"2023-05-17 08:30:00",8892,12503
"2023-05-17 08:40:00",8964,12509
"2023-05-17 08:50:00",8974,12515
"2023-05-17 09:00:00",9037,12521
"2023-05-17 09:10:00",9080,12529
"2023-05-17 09:20:00",9165,12538
"2023-05-17 09:30:00",9281,12547
"2023-05-17 09:40:00",9284,12556
"2023-05-17 09:50:00",9338,12566
"2023-05-17 10:00:00",9382,12577
"2023-05-17 10:10:00",9413,12589
"2023-05-17 10:20:00",9556,12601
"2023-05-17 10:30:00",9613,12612
"2023-05-17 10:40:00",9748,12625
"2023-05-17 10:50:00",9915,12637
"2023-05-17 11:00:00",10043,12650
"2023-05-17 11:10:00",10262,12662
"2023-05-17 11:20:00",10429,12675
"2023-05-17 11:30:00",10575,12688
"2023-05-17 11:40:00",10824,12700
"2023-05-17 11:50:00",11013,12713
"2023-05-17 12:00:00",11163,12725
"2023-05-17 12:10:00",11359,12738
"2023-05-17 12:20:00",11548,12751
"2023-05-17 12:30:00",11761,12764
"2023-05-17 12:40:00",12024,12777
"2023-05-17 12:50:00",12205,12789
"2023-05-17 13:00:00",12377,12801
"2023-05-17 13:10:00",12639,12814
"2023-05-17 13:20:00",12844,12825
"2023-05-17 13:30:00",13009,12837
"2023-05-17 13:40:00",13155,12850
"2023-05-17 13:50:00",13331,12862
"2023-05-17 14:00:00",13553,12874
"2023-05-17 14:10:00",13682,12886
"2023-05-17 14:20:00",13875,12897
"2023-05-17 14:30:00",14052,12908
"2023-05-17 14:40:00",14180,12919
"2023-05-17 14:50:00",14312,12929
"2023-05-17 15:00:00",14395,12939
"2023-05-17 15:10:00",14608,12950
"2023-05-17 15:20:00",14716,12958
"2023-05-17 15:30:00",14854,12966
"2023-05-17 15:40:00",15011,12973
"2023-05-17 15:50:00",15068,12979
"2023-05-17 16:00:00",15028,12984
"2023-05-17 16:10:00",15029,12989
"2023-05-17 16:20:00",15119,12993
"2023-05-17 16:30:00",15258,12997
"2023-05-17 16:40:00",15356,13000
"2023-05-17 16:50:00",15419,13003
"2023-05-17 17:00:00",15454,13005
"2023-05-17 17:10:00",15567,13008
"2023-05-17 17:20:00",15685,13011
"2023-05-17 17:30:00",15784,13014
"2023-05-17 17:40:00",15911,13016
"2023-05-17 17:50:00",16096,13018
"2023-05-17 18:00:00",16190,13020
"2023-05-17 18:10:00",16322,13020
"2023-05-17 18:20:00",16507,13021
"2023-05-17 18:30:00",16693,13020
"2023-05-17 18:40:00",16826,13019
"2023-05-17 18:50:00",16950,13019
"2023-05-17 19:00:00",16955,13018
"2023-05-17 19:10:00",16993,13017
"2023-05-17 19:20:00",17003,13015
"2023-05-17 19:30:00",17083,13015
"2023-05-17 19:40:00",17186,13014
"2023-05-17 19:50:00",17330,13012
"2023-05-17 20:00:00",17355,13010
"2023-05-17 20:10:00",17303,13007
"2023-05-17 20:20:00",17180,13003
"2023-05-17 20:30:00",17132,12999
"2023-05-17 20:40:00",16974,12995
"2023-05-17 20:50:00",16826,12990
"2023-05-17 21:00:00",16619,12985
"2023-05-17 21:10:00",16445,12980
"2023-05-17 21:20:00",16106,12974
"2023-05-17 21:30:00",15992,12968
"2023-05-17 21:40:00",15698,12961
"2023-05-17 21:50:00",15406,12954
"2023-05-17 22:00:00",15187,12946
"2023-05-17 22:10:00",14757,12939
"2023-05-17 22:20:00",14507,12932
"2023-05-17 22:30:00",14237,12924
"2023-05-17 22:40:00",13963,12917
"2023-05-17 22:50:00",13767,12909
"2023-05-17 23:00:00",13527,12902
"2023-05-17 23:10:00",13322,12895
"2023-05-17 23:20:00",13055,12887
"2023-05-17 23:30:00",12932,12879
"2023-05-17 23:40:00",12846,12871
"2023-05-17 23:50:00",12683,12863
"2023-05-18 00:00:00",12519,12855
"2023-05-18 00:10:00",12366,12847
"2023-05-18 00:20:00",12306,12839
"2023-05-18 00:30:00",12152,12832
"2023-05-18 00:40:00",12089,12825
"2023-05-18 00:50:00",12089,12818
"2023-05-18 01:00:00",12055,12811
"2023-05-18 01:10:00",12049,12805
"2023-05-18 01:20:00",12027,12797
"2023-05-18 01:30:00",11959,12790
"2023-05-18 01:40:00",11899,12782
"2023-05-18 01:50:00",11890,12775
"2023-05-18 02:00:00",11827,12767
"2023-05-18 02:10:00",11650,12760
"2023-05-18 02:20:00",11546,12754
"2023-05-18 02:30:00",11446,12748
"2023-05-18 02:40:00",11359,12742
"2023-05-18 02:50:00",11310,12737
"2023-05-18 03:00:00",11132,12731
"2023-05-18 03:10:00",10891,12726
"2023-05-18 03:20:00",10802,12721
"2023-05-18 03:30:00",10643,12716
"2023-05-18 03:40:00",10426,12711
"2023-05-18 03:50:00",10296,12706
"2023-05-18 04:00:00",10154,12701
"2023-05-18 04:10:00",10004,12696
"2023-05-18 04:20:00",9875,12691
"2023-05-18 04:30:00",9709,12685
"2023-05-18 04:40:00",9562,12680
"2023-05-18 04:50:00",9410,12674
"2023-05-18 05:00:00",9265,12669
"2023-05-18 05:10:00",9118,12663
"2023-05-18 05:20:00",9002,12658
"2023-05-18 05:30:00",8919,12652
"2023-05-18 05:40:00",8830,12647
"2023-05-18 05:50:00",8741,12641
"2023-05-18 06:00:00",8668,12636
"2023-05-18 06:10:00",8597,12630
"2023-05-18 06:20:00",8595,12625
"2023-05-18 06:30:00",8659,12620
"2023-05-18 06:40:00",8688,12615
"2023-05-18 06:50:00",8720,12609
"2023-05-18 07:00:00",8808,12604
"2023-05-18 07:10:00",8955,12598
"2023-05-18 07:20:00",9075,12592
"2023-05-18 07:30:00",9167,12585
"2023-05-18 07:40:00",9279,12579
"2023-05-18 07:50:00",9389,12572
"2023-05-18 08:00:00",9485,12565
"2023-05-18 08:10:00",9648,12560
"2023-05-18 08:20:00",9850,12555
"2023-05-18 08:30:00",9945,12549
"2023-05-18 08:40:00",10068,12543
"2023-05-18 08:50:00",10226,12536
"2023-05-18 09:00:00",10395,12529
"2023-05-18 09:10:00",10545,12522
"2023-05-18 09:20:00",10717,12514
"2023-05-18 09:30:00",10866,12506
"2023-05-18 09:40:00",10989,12498
"2023-05-18 09:50:00",11143,12489
"2023-05-18 10:00:00",11294,12480
"2023-05-18 10:10:00",11380,12471
"2023-05-18 10:20:00",11468,12462
"2023-05-18 10:30:00",11599,12452
"2023-05-18 10:40:00",11799,12443
"2023-05-18 10:50:00",11921,12433
"2023-05-18 11:00:00",12023,12423
"2023-05-18 11:10:00",12254,12413
"2023-05-18 11:20:00",12445,12403
"2023-05-18 11:30:00",12562,12393
"2023-05-18 11:40:00",12778,12383
"2023-05-18 11:50:00",12976,12373
"2023-05-18 12:00:00",13150,12362
"2023-05-18 12:10:00",13320,12352
"2023-05-18 12:20:00",13502,12342
