"DateTime","Players","Average Players","Flags"
"2023-02-23 00:00:00",36646,29540,
"2023-02-24 00:00:00",29050,21734,
"2023-02-25 00:00:00",30232,23491,
"2023-02-26 00:00:00",30317,23207,
"2023-02-27 00:00:00",22979,15892,
"2023-02-28 00:00:00",20638,14018,
"2023-03-01 00:00:00",18548,12635,
"2023-03-02 00:00:00",18087,11974,
"2023-03-03 00:00:00",18351,12294,
"2023-03-04 00:00:00",19187,14832,
"2023-03-05 00:00:00",19564,14703,
"2023-03-06 00:00:00",14865,9885,
"2023-03-07 00:00:00",13982,9343,
"2023-03-08 00:00:00",12971,8755,
"2023-03-09 00:00:00",12532,8325,
"2023-03-10 00:00:00",13448,8878,
"2023-03-11 00:00:00",14824,11049,
"2023-03-12 00:00:00",14842,11174,
"2023-03-13 00:00:00",11374,7567,
"2023-03-14 00:00:00",10525,6890,
"2023-03-15 00:00:00",9565,6396,
"2023-03-16 00:00:00",9362,6054,
"2023-03-17 00:00:00",9613,6427,
"2023-03-18 00:00:00",10120,7672,
"2023-03-19 00:00:00",10846,8049,
"2023-03-20 00:00:00",8708,5511,
"2023-03-21 00:00:00",8235,5209,
"2023-03-22 00:00:00",7657,4956,
"2023-03-23 00:00:00",7294,4736,
"2023-03-24 00:00:00",7299,4958,
"2023-03-25 00:00:00",8405,6001,
"2023-03-26 00:00:00",8738,6153,
"2023-03-27 00:00:00",6915,4255,
"2023-03-28 00:00:00",7887,4371,
"2023-03-29 00:00:00",7312,4754,
"2023-03-30 00:00:00",7224,4626,
"2023-03-31 00:00:00",7685,5021,
"2023-04-01 00:00:00",8614,6145,
"2023-04-02 00:00:00",8904,6220,
"2023-04-03 00:00:00",6756,4336,
"2023-04-04 00:00:00",6276,4143,
"2023-04-05 00:00:00",5886,4149,
"2023-04-06 00:00:00",6044,3997,
"2023-04-07 00:00:00",6837,4669,
"2023-04-08 00:00:00",6702,4864,
"2023-04-09 00:00:00",6549,4993,
"2023-04-10 00:00:00",6435,4345,
"2023-04-11 00:00:00",5294,3495,
"2023-04-12 00:00:00",5086,3317,
"2023-04-13 00:00:00",4900,3116,
"2023-04-14 00:00:00",5172,3431,
"2023-04-15 00:00:00",6021,4211,
"2023-04-16 00:00:00",6161,4361,
"2023-04-17 00:00:00",4691,2985,
"2023-04-18 00:00:00",4303,2798,
"2023-04-19 00:00:00",4113,2671,
"2023-04-20 00:00:00",4559,2716,
"2023-04-21 00:00:00",4788,3262,
"2023-04-22 00:00:00",5181,3916,
"2023-04-23 00:00:00",5758,4044,
"2023-04-24 00:00:00",4596,2931,
"2023-04-25 00:00:00",4289,2717,
"2023-04-26 00:00:00",3997,2594,
"2023-04-27 00:00:00",3879,2509,
"2023-04-28 00:00:00",4125,2730,
"2023-04-29 00:00:00",4513,3336,
"2023-04-30 00:00:00",4567,3429,
"2023-05-01 00:00:00",4431,3066,
"2023-05-02 00:00:00",3717,2430,
"2023-05-03 00:00:00",3423,2297,
"2023-05-04 00:00:00",3430,2185,
"2023-05-05 00:00:00",3633,2435,
"2023-05-06 00:00:00",4148,2862,
"2023-05-07 00:00:00",4260,3049,
"2023-05-08 00:00:00",3451,2229,
"2023-05-09 00:00:00",3189,2031,
"2023-05-10 00:00:00",3077,1938,
"2023-05-11 00:00:00",3054,1878,
"2023-05-12 00:00:00",3095,2028,
"2023-05-13 00:00:00",3339,2417,
"2023-05-14 00:00:00",3515,2550,
"2023-05-15 00:00:00",3073,1867,
"2023-05-16 00:00:00",2970,1832,
"2023-05-17 00:00:00",2763,1807,
"2023-05-18 00:00:00",2790,1926,
"2023-05-19 00:00:00",2949,1991,
"2023-05-20 00:00:00",3130,2296,
"2023-05-21 00:00:00",3303,2397,
"2023-05-22 00:00:00",2921,1783,
"2023-05-23 00:00:00",2781,1705,
"2023-05-24 00:00:00",2525,1593,
"2023-05-25 00:00:00",2404,1567,
"2023-05-26 00:00:00",2517,1705,
"2023-05-27 00:00:00",2671,1999,
"2023-05-28 00:00:00",2850,2126,
"2023-05-29 00:00:00",2866,1929,
"2023-05-30 00:00:00",2584,1580,
"2023-05-31 00:00:00",2471,1537,
"2023-06-01 00:00:00",2392,1515,
"2023-06-02 00:00:00",2323,1545,
"2023-06-03 00:00:00",2544,1889,
"2023-06-04 00:00:00",2761,2020,
"2023-06-05 00:00:00",2321,1493,
"2023-06-06 00:00:00",2248,1435,
"2023-06-07 00:00:00",2403,1542,
"2023-06-08 00:00:00",1231,1542,
