"DateTime","Players","Average Players","Flags"
"2022-02-17 00:00:00",166754,,
"2022-02-18 00:00:00",148738,,
"2022-02-19 00:00:00",150870,,
"2022-02-20 00:00:00",140030,,
"2022-02-21 00:00:00",110732,,
"2022-02-22 00:00:00",91237,,
"2022-02-23 00:00:00",81507,,
"2022-02-24 00:00:00",63482,,
"2022-02-25 00:00:00",62524,,
"2022-02-26 00:00:00",70304,,
"2022-02-27 00:00:00",66304,,
"2022-02-28 00:00:00",48887,,
"2022-03-01 00:00:00",43822,,
"2022-03-02 00:00:00",40438,,
"2022-03-03 00:00:00",38486,,
"2022-03-04 00:00:00",38792,,
"2022-03-05 00:00:00",45380,,
"2022-03-06 00:00:00",43608,,
"2022-03-07 00:00:00",32608,,
"2022-03-08 00:00:00",28866,,
"2022-03-09 00:00:00",27382,,
"2022-03-10 00:00:00",26400,,
"2022-03-11 00:00:00",26856,,
"2022-03-12 00:00:00",32496,,
"2022-03-13 00:00:00",31109,,
"2022-03-14 00:00:00",21182,,
"2022-03-15 00:00:00",20736,,
"2022-03-16 00:00:00",19808,,
"2022-03-17 00:00:00",18874,,
"2022-03-18 00:00:00",19601,,
"2022-03-19 00:00:00",23361,,
"2022-03-20 00:00:00",22916,,
"2022-03-21 00:00:00",16829,,
"2022-03-22 00:00:00",15606,,
"2022-03-23 00:00:00",14786,,
"2022-03-24 00:00:00",14142,,
"2022-03-25 00:00:00",14265,,
"2022-03-26 00:00:00",17695,,
"2022-03-27 00:00:00",17826,,
"2022-03-28 00:00:00",13206,,
"2022-03-29 00:00:00",12367,,
"2022-03-30 00:00:00",11868,,
"2022-03-31 00:00:00",11576,,
"2022-04-01 00:00:00",11919,,
"2022-04-02 00:00:00",15099,,
"2022-04-03 00:00:00",15510,,
"2022-04-04 00:00:00",10898,,
"2022-04-05 00:00:00",15537,,
"2022-04-06 00:00:00",17512,,
"2022-04-07 00:00:00",16892,,
"2022-04-08 00:00:00",17500,,
"2022-04-09 00:00:00",21498,,
"2022-04-10 00:00:00",21230,,
"2022-04-11 00:00:00",15552,,
"2022-04-12 00:00:00",14002,,
"2022-04-13 00:00:00",13246,,
"2022-04-14 00:00:00",12861,,
"2022-04-15 00:00:00",15083,,
"2022-04-16 00:00:00",15631,,
"2022-04-17 00:00:00",15176,,
"2022-04-18 00:00:00",14056,,
"2022-04-19 00:00:00",11222,,
"2022-04-20 00:00:00",10692,,
"2022-04-21 00:00:00",10486,,
"2022-04-22 00:00:00",11002,,
"2022-04-23 00:00:00",12797,,
"2022-04-24 00:00:00",13414,,
"2022-04-25 00:00:00",10138,,
"2022-04-26 00:00:00",9360,,
"2022-04-27 00:00:00",9006,,
"2022-04-28 00:00:00",8646,,
"2022-04-29 00:00:00",9325,,
"2022-04-30 00:00:00",11437,,
"2022-05-01 00:00:00",11909,,
"2022-05-02 00:00:00",9021,,
"2022-05-03 00:00:00",8375,,
"2022-05-04 00:00:00",7628,,
"2022-05-05 00:00:00",7532,,
"2022-05-06 00:00:00",7610,,
"2022-05-07 00:00:00",9298,,
"2022-05-08 00:00:00",9365,,
"2022-05-09 00:00:00",7360,,
"2022-05-10 00:00:00",6688,,
"2022-05-11 00:00:00",6326,,
"2022-05-12 00:00:00",6280,,
"2022-05-13 00:00:00",6616,,
"2022-05-14 00:00:00",7832,,
"2022-05-15 00:00:00",8177,,
"2022-05-16 00:00:00",6397,,
"2022-05-17 00:00:00",7672,,
"2022-05-18 00:00:00",8198,,
"2022-05-19 00:00:00",8378,,
"2022-05-20 00:00:00",8512,,
"2022-05-21 00:00:00",10355,,
"2022-05-22 00:00:00",10335,,
"2022-05-23 00:00:00",8039,,
"2022-05-24 00:00:00",7427,,
"2022-05-25 00:00:00",7330,,
"2022-05-26 00:00:00",7602,,
"2022-05-27 00:00:00",7174,,
"2022-05-28 00:00:00",8409,,
"2022-05-29 00:00:00",8580,,
"2022-05-30 00:00:00",7485,,
"2022-05-31 00:00:00",6308,,
"2022-06-01 00:00:00",5707,,
"2022-06-02 00:00:00",6133,,
"2022-06-03 00:00:00",6659,,
"2022-06-04 00:00:00",7869,,
"2022-06-05 00:00:00",8364,,
"2022-06-06 00:00:00",7244,,
"2022-06-07 00:00:00",6481,,
"2022-06-08 00:00:00",6253,,
"2022-06-09 00:00:00",5934,,
"2022-06-10 00:00:00",6309,,
"2022-06-11 00:00:00",7514,,
"2022-06-12 00:00:00",7767,,
"2022-06-13 00:00:00",5961,,
"2022-06-14 00:00:00",5851,,
"2022-06-15 00:00:00",5989,,
"2022-06-16 00:00:00",5866,,
"2022-06-17 00:00:00",6037,,
"2022-06-18 00:00:00",7166,,
"2022-06-19 00:00:00",7653,,
"2022-06-20 00:00:00",6297,,
"2022-06-21 00:00:00",5890,,
"2022-06-22 00:00:00",5877,,
"2022-06-23 00:00:00",5502,,
"2022-06-24 00:00:00",6137,,
"2022-06-25 00:00:00",7344,,
"2022-06-26 00:00:00",7850,,
"2022-06-27 00:00:00",6207,,
"2022-06-28 00:00:00",6040,,
"2022-06-29 00:00:00",6021,,
"2022-06-30 00:00:00",6857,,
"2022-07-01 00:00:00",8075,,
"2022-07-02 00:00:00",9415,,
"2022-07-03 00:00:00",10092,,
"2022-07-04 00:00:00",9382,,
"2022-07-05 00:00:00",8369,,
"2022-07-06 00:00:00",8176,,
"2022-07-07 00:00:00",8107,,
"2022-07-08 00:00:00",8074,,
"2022-07-09 00:00:00",9670,,
"2022-07-10 00:00:00",10173,,
"2022-07-11 00:00:00",7965,,
"2022-07-12 00:00:00",7671,,
"2022-07-13 00:00:00",7135,,
"2022-07-14 00:00:00",7291,,
"2022-07-15 00:00:00",7863,,
"2022-07-16 00:00:00",9713,,
"2022-07-17 00:00:00",10283,,
"2022-07-18 00:00:00",8390,,
"2022-07-19 00:00:00",8461,,
"2022-07-20 00:00:00",9058,,
"2022-07-21 00:00:00",9251,,
"2022-07-22 00:00:00",9605,,
"2022-07-23 00:00:00",11233,,
"2022-07-24 00:00:00",11643,,
"2022-07-25 00:00:00",9306,,
"2022-07-26 00:00:00",9276,,
"2022-07-27 00:00:00",9264,,
"2022-07-28 00:00:00",9045,,
"2022-07-29 00:00:00",9015,,
"2022-07-30 00:00:00",10661,,
"2022-07-31 00:00:00",11187,,
"2022-08-01 00:00:00",9091,,
"2022-08-02 00:00:00",8875,,
