"DateTime","Players","Average Players","Flags"
"2023-05-02 00:00:00",38296,31443,
"2023-05-03 00:00:00",36226,25431,
"2023-05-04 00:00:00",34909,24186,
"2023-05-05 00:00:00",35583,25980,
"2023-05-06 00:00:00",41014,31504,
"2023-05-07 00:00:00",42877,33422,
"2023-05-08 00:00:00",33902,25691,
"2023-05-09 00:00:00",29567,21960,
"2023-05-10 00:00:00",27312,19651,
"2023-05-11 00:00:00",25140,18185,
"2023-05-12 00:00:00",24100,17835,
"2023-05-13 00:00:00",25773,20649,
"2023-05-14 00:00:00",26176,20763,
"2023-05-15 00:00:00",20812,14958,
"2023-05-16 00:00:00",18715,13579,
"2023-05-17 00:00:00",17355,12627,
"2023-05-18 00:00:00",16642,12775,
"2023-05-19 00:00:00",16373,12089,
"2023-05-20 00:00:00",18185,14177,
"2023-05-21 00:00:00",17737,14006,
"2023-05-22 00:00:00",13692,9713,
"2023-05-23 00:00:00",12088,8594,
"2023-05-24 00:00:00",11289,7908,
"2023-05-25 00:00:00",10255,7381,
"2023-05-26 00:00:00",10867,7644,
"2023-05-27 00:00:00",12119,9414,
"2023-05-28 00:00:00",12135,9516,
"2023-05-29 00:00:00",11329,8291,
"2023-05-30 00:00:00",8633,6123,
"2023-05-31 00:00:00",8045,5640,
"2023-06-01 00:00:00",7896,5535,
"2023-06-02 00:00:00",7382,5287,
"2023-06-03 00:00:00",8458,6497,
"2023-06-04 00:00:00",8537,6559,
"2023-06-05 00:00:00",6299,4590,
"2023-06-06 00:00:00",5522,3928,
"2023-06-07 00:00:00",5167,3677,
"2023-06-08 00:00:00",3521,3677,
