DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),AGE OF EMPIRES III,7,78255,26,1545835,"{""en"":6,""es"":1}","['eagleeyesmaloney', 'the_dunamai', 'great_kenobi_50', '01xx_ghost_xx10', 'griffdingo', 'foksao93', 'cn_mht']","['eagleeyesmaloney', 'The_Dunamai', 'great_kenobi_50', '01xx_ghost_xx10', 'griffdingo', 'foksao93', 'cn_mht']","['Chatty', 'Chill', 'English', 'Español', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'RTSGameplay', 'ageofempires', 'aoe', 'aoe3', 'aoe3de', 'bot', 'dark', 'family', 'music', 'prod', 'prog', 'psytrance', 'sheep', 'woke', 'wow']"
23-06-01 143759(hhmmss KST),AGE OF EMPIRES III,7,75785,30,1521355,"{""en"":6,""es"":1}","['eagleeyesmaloney', 'the_dunamai', '01xx_ghost_xx10', 'griffdingo', 'great_kenobi_50', 'cn_mht', 'foksao93']","['eagleeyesmaloney', 'The_Dunamai', '01xx_ghost_xx10', 'griffdingo', 'great_kenobi_50', 'cn_mht', 'foksao93']","['Chatty', 'Chill', 'English', 'Español', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'RTSGameplay', 'ageofempires', 'aoe', 'aoe3', 'aoe3de', 'bot', 'dark', 'family', 'music', 'prod', 'prog', 'psytrance', 'sheep', 'woke', 'wow']"
23-06-01 144149(hhmmss KST),AGE OF EMPIRES III,7,74921,32,1517175,"{""en"":6,""es"":1}","['eagleeyesmaloney', 'the_dunamai', '01xx_ghost_xx10', 'griffdingo', 'great_kenobi_50', 'cn_mht', 'foksao93']","['eagleeyesmaloney', 'The_Dunamai', '01xx_ghost_xx10', 'griffdingo', 'great_kenobi_50', 'cn_mht', 'foksao93']","['Chatty', 'Chill', 'English', 'Español', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'RTSGameplay', 'ageofempires', 'aoe', 'aoe3', 'aoe3de', 'bot', 'dark', 'family', 'music', 'prod', 'prog', 'psytrance', 'sheep', 'woke', 'wow']"
23-06-01 150100(hhmmss KST),AGE OF EMPIRES III,6,70208,34,1435906,"{""en"":6}","['eagleeyesmaloney', 'the_dunamai', '01xx_ghost_xx10', 'foksao93', 'griffdingo', 'cn_mht']","['eagleeyesmaloney', 'The_Dunamai', '01xx_ghost_xx10', 'foksao93', 'griffdingo', 'cn_mht']","['Chatty', 'Chill', 'English', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'ageofempires', 'aoe', 'aoe3', 'aoe3de', 'bot', 'dark', 'family', 'music', 'prod', 'prog', 'psytrance', 'sheep', 'woke', 'wow']"
23-06-01 151830(hhmmss KST),AGE OF EMPIRES III,6,66227,31,1365723,"{""en"":5,""es"":1}","['eagleeyesmaloney', '01xx_ghost_xx10', 'the_dunamai', 'therookie255', 'griffdingo', 'cn_mht']","['eagleeyesmaloney', '01xx_ghost_xx10', 'The_Dunamai', 'Therookie255', 'griffdingo', 'cn_mht']","['Chatty', 'Chill', 'English', 'Español', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'aoe3', 'aoe3de', 'bot', 'englIsh', 'family', 'sheep', 'spanish', 'wow']"
23-06-01 153554(hhmmss KST),AGE OF EMPIRES III,6,63363,30,1309148,"{""en"":5,""es"":1}","['eagleeyesmaloney', 'the_dunamai', '01xx_ghost_xx10', 'cn_mht', 'therookie255', 'griffdingo']","['eagleeyesmaloney', 'The_Dunamai', '01xx_ghost_xx10', 'cn_mht', 'Therookie255', 'griffdingo']","['Chatty', 'Chill', 'English', 'Español', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'aoe3', 'aoe3de', 'bot', 'englIsh', 'family', 'sheep', 'spanish', 'wow']"
23-06-01 155310(hhmmss KST),AGE OF EMPIRES III,3,60244,26,1256378,"{""en"":3}","['eagleeyesmaloney', 'the_dunamai', 'doppelsolna']","['eagleeyesmaloney', 'The_Dunamai', 'Doppelsolna']","['English', 'aoe3', 'aoe3de', 'bot', 'family', 'sheep']"
23-06-01 162336(hhmmss KST),AGE OF EMPIRES III,3,55734,8,1219460,"{""en"":3}","['the_dunamai', '01xx_ghost_xx10', 'doppelsolna']","['The_Dunamai', '01xx_ghost_xx10', 'Doppelsolna']","['Chatty', 'Chill', 'English', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'aoe3', 'aoe3de', 'bot', 'sheep', 'wow']"
23-06-01 164052(hhmmss KST),AGE OF EMPIRES III,3,53865,12,1226182,"{""en"":3}","['the_dunamai', 'doppelsolna', '01xx_ghost_xx10']","['The_Dunamai', 'Doppelsolna', '01xx_ghost_xx10']","['Chatty', 'Chill', 'English', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'aoe3', 'aoe3de', 'bot', 'sheep', 'wow']"
23-06-01 165750(hhmmss KST),AGE OF EMPIRES III,3,52064,17,1214767,"{""en"":3}","['the_dunamai', 'doppelsolna', '01xx_ghost_xx10']","['The_Dunamai', 'Doppelsolna', '01xx_ghost_xx10']","['Chatty', 'Chill', 'English', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'aoe3', 'aoe3de', 'bot', 'sheep', 'wow']"
23-06-01 171609(hhmmss KST),AGE OF EMPIRES III,3,50466,19,1170271,"{""en"":3}","['doppelsolna', 'the_dunamai', '01xx_ghost_xx10']","['Doppelsolna', 'The_Dunamai', '01xx_ghost_xx10']","['Chatty', 'Chill', 'English', 'Flirty', 'Funny', 'Pc', 'PlayingWithViewers', 'Pro', 'aoe3', 'aoe3de', 'bot', 'sheep', 'wow']"
23-06-01 173058(hhmmss KST),AGE OF EMPIRES III,2,49566,22,1206755,"{""en"":2}","['doppelsolna', 'the_dunamai']","['Doppelsolna', 'The_Dunamai']","['English', 'aoe3', 'aoe3de', 'bot', 'sheep']"
23-06-01 173300(hhmmss KST),AGE OF EMPIRES III,2,49405,21,1207261,"{""en"":2}","['the_dunamai', 'doppelsolna']","['The_Dunamai', 'Doppelsolna']","['English', 'aoe3', 'aoe3de', 'bot', 'sheep']"
23-06-01 174749(hhmmss KST),AGE OF EMPIRES III,2,48711,20,1192453,"{""en"":2}","['doppelsolna', 'the_dunamai']","['Doppelsolna', 'The_Dunamai']","['English', 'aoe3', 'aoe3de', 'bot', 'sheep']"
23-06-01 174949(hhmmss KST),AGE OF EMPIRES III,2,48508,18,1191605,"{""en"":2}","['doppelsolna', 'the_dunamai']","['Doppelsolna', 'The_Dunamai']","['English', 'aoe3', 'aoe3de', 'bot', 'sheep']"
