DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),AGE OF EMPIRES,1,78255,12,1545835,"{""ko"":1}",['aoerobot'],['aoerobot'],"['드롭활성화됨', '한국어']"
23-06-01 143759(hhmmss KST),AGE OF EMPIRES,2,75785,14,1521355,"{""ko"":1,""en"":1}","['aoerobot', 'okjokull']","['aoerobot', 'Okjokull']","['English', '드롭활성화됨', '한국어']"
23-06-01 144149(hhmmss KST),AGE OF EMPIRES,2,74921,12,1517175,"{""ko"":1,""en"":1}","['aoerobot', 'okjokull']","['aoerobot', 'Okjokull']","['English', '드롭활성화됨', '한국어']"
23-06-01 150100(hhmmss KST),AGE OF EMPIRES,3,70208,14,1435906,"{""en"":2,""ko"":1}","['aoerobot', 'okjokull', 'spacemutantkoala']","['aoerobot', 'Okjokull', 'spacemutantkoala']","['Charity', 'English', '드롭활성화됨', '한국어']"
23-06-01 151830(hhmmss KST),AGE OF EMPIRES,2,66227,7,1365723,"{""ko"":1,""en"":1}","['aoerobot', 'spacemutantkoala']","['aoerobot', 'spacemutantkoala']","['Charity', '드롭활성화됨', '한국어']"
23-06-01 153554(hhmmss KST),AGE OF EMPIRES,2,63363,11,1309148,"{""ko"":1,""en"":1}","['aoerobot', 'okjokull']","['aoerobot', 'Okjokull']","['English', '드롭활성화됨', '한국어']"
23-06-01 155310(hhmmss KST),AGE OF EMPIRES,2,60244,12,1256378,"{""ko"":1,""en"":1}","['aoerobot', 'okjokull']","['aoerobot', 'Okjokull']","['English', '드롭활성화됨', '한국어']"
23-06-01 162336(hhmmss KST),AGE OF EMPIRES,1,55734,7,1219460,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 164052(hhmmss KST),AGE OF EMPIRES,1,53865,7,1226182,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 165750(hhmmss KST),AGE OF EMPIRES,1,52064,8,1214767,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 171609(hhmmss KST),AGE OF EMPIRES,1,50466,4,1170271,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 173058(hhmmss KST),AGE OF EMPIRES,1,49566,5,1206755,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 173300(hhmmss KST),AGE OF EMPIRES,1,49405,4,1207261,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 174749(hhmmss KST),AGE OF EMPIRES,1,48711,9,1192453,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 174949(hhmmss KST),AGE OF EMPIRES,1,48508,9,1191605,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 180437(hhmmss KST),AGE OF EMPIRES,1,48230,9,1227030,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 180637(hhmmss KST),AGE OF EMPIRES,1,48091,5,1222759,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 182124(hhmmss KST),AGE OF EMPIRES,1,47643,6,1200370,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 182324(hhmmss KST),AGE OF EMPIRES,1,47533,6,1202358,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 183809(hhmmss KST),AGE OF EMPIRES,1,47091,6,1249384,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 184011(hhmmss KST),AGE OF EMPIRES,1,47134,8,1248240,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 185456(hhmmss KST),AGE OF EMPIRES,1,47139,10,1291160,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 185657(hhmmss KST),AGE OF EMPIRES,1,47184,6,1288305,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 191145(hhmmss KST),AGE OF EMPIRES,1,47741,8,1324388,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 191344(hhmmss KST),AGE OF EMPIRES,1,47859,8,1337895,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 192835(hhmmss KST),AGE OF EMPIRES,1,48267,8,1385603,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 193034(hhmmss KST),AGE OF EMPIRES,1,48291,8,1383806,"{""en"":1}",['okjokull'],['Okjokull'],['English']
23-06-01 194524(hhmmss KST),AGE OF EMPIRES,1,48805,9,1436602,"{""en"":1}",['okjokull'],['Okjokull'],['English']
