DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),AGE OF WONDERS 4,8,78255,26,1545835,"{""en"":6,""ru"":1,""ja"":1}","['melogt', 'acroties', 'hyori_lee', 'varkvarkvark', 'the_kazrim', 'vorebadger', 'glucostophin', 'vantall']","['Melogt', 'Acroties', 'Hyori_Lee', '上の空', 'The_Kazrim', 'VoreBadger', 'Glucostophin', 'vantall']","['4X', 'ADD', 'ADHD', 'AFK', 'Absent', 'Autistic', 'Bisexual', 'Chatty', 'English', 'FirstlPlaythrough', 'Furry', 'Genderfluid', 'NoCam', 'NoMic', 'Sizzler', 'Strategy', 'TBS', 'Tactical', 'backseatingOK', 'noobgamer', 'Русский', '日本語']"
23-06-01 143759(hhmmss KST),AGE OF WONDERS 4,8,75785,26,1521355,"{""en"":6,""ru"":1,""ja"":1}","['melogt', 'acroties', 'hyori_lee', 'the_kazrim', 'varkvarkvark', 'vorebadger', 'glucostophin', 'vantall']","['Melogt', 'Acroties', 'Hyori_Lee', 'The_Kazrim', '上の空', 'VoreBadger', 'Glucostophin', 'vantall']","['4X', 'ADD', 'ADHD', 'AFK', 'Absent', 'Autistic', 'Bisexual', 'Chatty', 'English', 'FirstlPlaythrough', 'Furry', 'Genderfluid', 'NoCam', 'NoMic', 'Sizzler', 'Strategy', 'TBS', 'Tactical', 'backseatingOK', 'noobgamer', 'Русский', '日本語']"
23-06-01 144149(hhmmss KST),AGE OF WONDERS 4,8,74921,25,1517175,"{""en"":6,""ru"":1,""ja"":1}","['melogt', 'acroties', 'the_kazrim', 'hyori_lee', 'varkvarkvark', 'vorebadger', 'glucostophin', 'vantall']","['Melogt', 'Acroties', 'The_Kazrim', 'Hyori_Lee', '上の空', 'VoreBadger', 'Glucostophin', 'vantall']","['4X', 'ADD', 'ADHD', 'AFK', 'Absent', 'Autistic', 'Bisexual', 'Chatty', 'English', 'FirstlPlaythrough', 'Furry', 'Genderfluid', 'NoCam', 'NoMic', 'Sizzler', 'Strategy', 'TBS', 'Tactical', 'backseatingOK', 'noobgamer', 'Русский', '日本語']"
23-06-01 150100(hhmmss KST),AGE OF WONDERS 4,8,70208,26,1435906,"{""en"":6,""ru"":1,""ja"":1}","['melogt', 'the_kazrim', 'hyori_lee', 'acroties', 'varkvarkvark', 'vorebadger', 'glucostophin', 'vantall']","['Melogt', 'The_Kazrim', 'Hyori_Lee', 'Acroties', '上の空', 'VoreBadger', 'Glucostophin', 'vantall']","['4X', 'ADD', 'ADHD', 'AFK', 'Absent', 'Autistic', 'Bisexual', 'Chatty', 'English', 'FirstlPlaythrough', 'Furry', 'Genderfluid', 'NoCam', 'NoMic', 'Sizzler', 'Strategy', 'TBS', 'Tactical', 'backseatingOK', 'noobgamer', 'Русский', '日本語']"
23-06-01 151830(hhmmss KST),AGE OF WONDERS 4,7,66227,12,1365723,"{""en"":5,""ja"":1,""de"":1}","['the_kazrim', 'hyori_lee', 'varkvarkvark', 'vorebadger', 'glucostophin', 'dararien', 'vantall']","['The_Kazrim', 'Hyori_Lee', '上の空', 'VoreBadger', 'Glucostophin', 'Dararien', 'vantall']","['4X', 'ADHD', 'AFK', 'Absent', 'Chatty', 'Deutsch', 'English', 'FirstlPlaythrough', 'Furry', 'NoCam', 'NoMic', 'Sizzler', 'Strategy', 'TBS', 'Tactical', 'backseatingOK', 'noobgamer', '日本語']"
23-06-01 153554(hhmmss KST),AGE OF WONDERS 4,5,63363,10,1309148,"{""en"":3,""ja"":1,""de"":1}","['the_kazrim', 'varkvarkvark', 'hyori_lee', 'bexork', 'dararien']","['The_Kazrim', '上の空', 'Hyori_Lee', 'bexork', 'Dararien']","['AFK', 'Absent', 'Artist', 'Chatty', 'Deutsch', 'English', 'FirstlPlaythrough', 'NoCam', 'NoMic', 'PTSDSurvivor', 'Roleplay', 'Sizzler', 'SoftwareEngineering', 'Tattoos', 'backseatingOK', 'noobgamer', '日本語']"
23-06-01 155310(hhmmss KST),AGE OF WONDERS 4,5,60244,13,1256378,"{""en"":3,""ja"":1,""de"":1}","['the_kazrim', 'varkvarkvark', 'hyori_lee', 'bexork', 'dararien']","['The_Kazrim', '上の空', 'Hyori_Lee', 'bexork', 'Dararien']","['AFK', 'Absent', 'Artist', 'Chatty', 'Deutsch', 'English', 'FirstlPlaythrough', 'NoCam', 'NoMic', 'PTSDSurvivor', 'Roleplay', 'Sizzler', 'SoftwareEngineering', 'Tattoos', 'backseatingOK', 'noobgamer', '日本語']"
23-06-01 162336(hhmmss KST),AGE OF WONDERS 4,4,55734,9,1219460,"{""en"":2,""de"":1,""ja"":1}","['hyori_lee', 'dararien', 'bexork', 'varkvarkvark']","['Hyori_Lee', 'Dararien', 'bexork', '上の空']","['AFK', 'Absent', 'Artist', 'Chatty', 'Deutsch', 'English', 'FirstlPlaythrough', 'NoCam', 'NoMic', 'PTSDSurvivor', 'Roleplay', 'SoftwareEngineering', 'Tattoos', 'noobgamer', '日本語']"
23-06-01 164052(hhmmss KST),AGE OF WONDERS 4,4,53865,9,1226182,"{""en"":2,""ja"":1,""de"":1}","['hyori_lee', 'varkvarkvark', 'dararien', 'bexork']","['Hyori_Lee', '上の空', 'Dararien', 'bexork']","['AFK', 'Absent', 'Artist', 'Chatty', 'Deutsch', 'English', 'FirstlPlaythrough', 'NoCam', 'NoMic', 'PTSDSurvivor', 'Roleplay', 'SoftwareEngineering', 'Tattoos', 'noobgamer', '日本語']"
23-06-01 165750(hhmmss KST),AGE OF WONDERS 4,3,52064,8,1214767,"{""en"":2,""ja"":1}","['hyori_lee', 'bexork', 'varkvarkvark']","['Hyori_Lee', 'bexork', '上の空']","['AFK', 'Absent', 'Artist', 'Chatty', 'English', 'FirstlPlaythrough', 'NoCam', 'NoMic', 'PTSDSurvivor', 'Roleplay', 'SoftwareEngineering', 'Tattoos', 'noobgamer', '日本語']"
