DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),CRUSADER KINGS III,16,78255,294,1545835,"{""en"":7,""ru"":2,""ko"":1,""de"":1,""es"":1,""fr"":1,""uk"":1,""ar"":1,""hu"":1}","['rizorty', 'ak09', 'chipdipson', 'zseanofthedeadz', 'd4wizzard', 'heexyz', 'thesickros', 'kaziro84', 'codeflex', 'lemelondujeu', 'beliander', 'mastahkun', 'racheygirlluvsu', 'hardplayintwtotalwarstrim', 'wolfin9000', 'bossraffaello']","['Rizorty', '악령쿤', 'chipdipson', 'zseanofthedeadz', 'd4wizzard', 'Heexyz', 'thesickros', 'Kaziro84', 'codeflex', 'LeMelonDuJeu', 'beliander', 'MastahKun', 'Racheygirlluvsu', 'HardPlayinTWTotalWarStrim', 'wolfin9000', 'BossRaffaello']","['4X', 'ADHD', 'AKTUBE', 'AchievementHunting', 'Anime', 'BPD', 'Belarus', 'BorderlinePersonality', 'BossRaffaello', 'CK3', 'Canada', 'ChronicIllness', 'Crusade', 'CrusaderKingsIII', 'DIsabled', 'Deutsch', 'English', 'Entspannt', 'ErstesPlaythrough', 'Español', 'FIFA', 'Francais', 'French', 'Gamer', 'Gemütlich', 'Gesprächig', 'Konoha', 'LGBT', 'LGBTQIA十', 'Magyar', 'Naruto', 'NeueSpielerWillkommen', 'ParadoxInteractive', 'PvP', 'Quebec', 'Quebecois', 'SafeSpace', 'Saudi', 'SuitGuy', 'Wholesome', 'arabic', 'asmr', 'autistic', 'chatty', 'duesvult', 'english', 'erklärbär', 'forLurker', 'gamer', 'hungarian', 'justice', 'love', 'rollenspiel', 'sp', 'stratetgy', 'strong', 'wise', 'Больно', 'Гомель', 'ИграюНеправильно', 'Русский', 'Українська', 'врун', 'ору', '배너로드', '삼국지', '유튜브1440동시송출', '컨커러스블레이드', '한국어']"
23-06-01 143759(hhmmss KST),CRUSADER KINGS III,12,75785,265,1521355,"{""en"":7,""ko"":1,""es"":1,""uk"":1,""ru"":1,""ar"":1}","['rizorty', 'ak09', 'chipdipson', 'heexyz', 'zseanofthedeadz', 'kaziro84', 'codeflex', 'beliander', 'zredzlinez2001', 'racheygirlluvsu', 'hardplayintwtotalwarstrim', 'wolfin9000']","['Rizorty', '악령쿤', 'chipdipson', 'Heexyz', 'zseanofthedeadz', 'Kaziro84', 'codeflex', 'beliander', 'zREDzLINEz2001', 'Racheygirlluvsu', 'HardPlayinTWTotalWarStrim', 'wolfin9000']","['4X', 'ADHD', 'AKTUBE', 'AchievementHunting', 'BPD', 'BorderlinePersonality', 'ChronicIllness', 'DIsabled', 'English', 'Español', 'LGBT', 'LGBTQIA十', 'ParadoxInteractive', 'PvP', 'Saudi', 'SuitGuy', 'Wholesome', 'arabic', 'asmr', 'autistic', 'chatty', 'english', 'gamer', 'justice', 'love', 'sp', 'stratetgy', 'strong', 'wise', 'Русский', 'Українська', '배너로드', '삼국지', '유튜브1440동시송출', '컨커러스블레이드', '한국어']"
23-06-01 144149(hhmmss KST),CRUSADER KINGS III,13,74921,254,1517175,"{""en"":7,""ko"":1,""es"":1,""fr"":1,""uk"":1,""ru"":1,""ar"":1}","['rizorty', 'ak09', 'chipdipson', 'zseanofthedeadz', 'heexyz', 'kaziro84', 'codeflex', 'lemelondujeu', 'beliander', 'zredzlinez2001', 'racheygirlluvsu', 'hardplayintwtotalwarstrim', 'wolfin9000']","['Rizorty', '악령쿤', 'chipdipson', 'zseanofthedeadz', 'Heexyz', 'Kaziro84', 'codeflex', 'LeMelonDuJeu', 'beliander', 'zREDzLINEz2001', 'Racheygirlluvsu', 'HardPlayinTWTotalWarStrim', 'wolfin9000']","['4X', 'ADHD', 'AKTUBE', 'AchievementHunting', 'BPD', 'BorderlinePersonality', 'Canada', 'ChronicIllness', 'DIsabled', 'English', 'Español', 'Francais', 'French', 'LGBT', 'LGBTQIA十', 'ParadoxInteractive', 'PvP', 'Quebec', 'Quebecois', 'Saudi', 'SuitGuy', 'Wholesome', 'arabic', 'asmr', 'autistic', 'chatty', 'english', 'gamer', 'justice', 'love', 'sp', 'stratetgy', 'strong', 'wise', 'Русский', 'Українська', '배너로드', '삼국지', '유튜브1440동시송출', '컨커러스블레이드', '한국어']"
23-06-01 150100(hhmmss KST),CRUSADER KINGS III,11,70208,240,1435906,"{""en"":6,""ko"":1,""ar"":1,""fr"":1,""uk"":1,""ru"":1}","['rizorty', 'ak09', 'chipdipson', 'zseanofthedeadz', 'kaziro84', 'codeflex', 'wolfin9000', 'lemelondujeu', 'beliander', 'zredzlinez2001', 'hardplayintwtotalwarstrim']","['Rizorty', '악령쿤', 'chipdipson', 'zseanofthedeadz', 'Kaziro84', 'codeflex', 'wolfin9000', 'LeMelonDuJeu', 'beliander', 'zREDzLINEz2001', 'HardPlayinTWTotalWarStrim']","['4X', 'AKTUBE', 'AchievementHunting', 'Canada', 'English', 'Francais', 'French', 'ParadoxInteractive', 'PvP', 'Quebec', 'Quebecois', 'Saudi', 'SuitGuy', 'Wholesome', 'arabic', 'asmr', 'chatty', 'english', 'gamer', 'justice', 'love', 'sp', 'stratetgy', 'strong', 'wise', 'Русский', 'Українська', '배너로드', '삼국지', '유튜브1440동시송출', '컨커러스블레이드', '한국어']"
23-06-01 151830(hhmmss KST),CRUSADER KINGS III,11,66227,119,1365723,"{""en"":6,""ko"":1,""uk"":1,""ru"":1,""fr"":1,""ar"":1}","['ak09', 'chipdipson', 'zseanofthedeadz', 'kaziro84', 'beliander', 'codeflex', 'hardplayintwtotalwarstrim', 'helmor', 'zredzlinez2001', 'ohmygoat', 'wolfin9000']","['악령쿤', 'chipdipson', 'zseanofthedeadz', 'Kaziro84', 'beliander', 'codeflex', 'HardPlayinTWTotalWarStrim', 'Helmor', 'zREDzLINEz2001', 'ohmygoat', 'wolfin9000']","['4X', 'AKTUBE', 'Casual', 'Chill', 'Chıll', 'English', 'Français', 'LGBTQPositive', 'NZ', 'NewZealand', 'ParadoxInteractive', 'PvP', 'SansPriseDeTête', 'Saudi', 'arabic', 'asmr', 'chatty', 'english', 'gamer', 'justice', 'love', 'sp', 'stratetgy', 'strong', 'wise', 'Русский', 'Українська', '배너로드', '삼국지', '유튜브1440동시송출', '컨커러스블레이드', '한국어']"
23-06-01 153554(hhmmss KST),CRUSADER KINGS III,11,63363,126,1309148,"{""en"":5,""ko"":2,""fr"":1,""uk"":1,""ru"":1,""ar"":1}","['ak09', 'chipdipson', 'ohmygoat', 'teaeternal', 'kaziro84', 'helmor', 'beliander', 'eva4aska', 'zredzlinez2001', 'hardplayintwtotalwarstrim', 'wolfin9000']","['악령쿤', 'chipdipson', 'ohmygoat', 'TeaEternal', 'Kaziro84', 'Helmor', 'beliander', '발로대장뽕뽕이', 'zREDzLINEz2001', 'HardPlayinTWTotalWarStrim', 'wolfin9000']","['4X', 'AKTUBE', 'Casual', 'Chatty', 'Chill', 'Chıll', 'English', 'Français', 'LGBTQPositive', 'NZ', 'NewZealand', 'PC', 'ParadoxInteractive', 'PvP', 'SansPriseDeTête', 'Saudi', 'arabic', 'asmr', 'chatty', 'english', 'gamer', 'justice', 'love', 'sp', 'stratetgy', 'strong', 'wise', 'Русский', 'Українська', '배너로드', '삼국지', '시참', '유튜브1440동시송출', '컨커러스블레이드', '한국어']"
23-06-01 155310(hhmmss KST),CRUSADER KINGS III,13,60244,143,1256378,"{""en"":5,""ko"":3,""fr"":2,""uk"":1,""ru"":1,""ar"":1}","['ak09', 'chipdipson', 'teaeternal', 'ohmygoat', 'helmor', 'kaziro84', 'eva4aska', 'beliander', 'zredzlinez2001', 'poopgamerjb', 'laqtv', 'hardplayintwtotalwarstrim', 'wolfin9000']","['악령쿤', 'chipdipson', 'TeaEternal', 'ohmygoat', 'Helmor', 'Kaziro84', '발로대장뽕뽕이', 'beliander', 'zREDzLINEz2001', '장변', 'laqtv', 'HardPlayinTWTotalWarStrim', 'wolfin9000']","['4X', 'AKTUBE', 'Casual', 'Chatty', 'Chill', 'Chıll', 'English', 'FRANCAIS', 'Français', 'GameFun', 'LGBTQPositive', 'NZ', 'NewZealand', 'PC', 'ParadoxInteractive', 'PvP', 'SansPriseDeTête', 'Saudi', 'arabic', 'asmr', 'chatty', 'english', 'france', 'gamer', 'jeu', 'jeuxvideo', 'just', 'justice', 'justtalking', 'love', 'sp', 'stratetgy', 'strong', 'talking', 'vidéos', 'wise', 'Русский', 'Українська', '게임맛보기', '극혐컨트롤', '배너로드', '삼국지', '수다', '시참', '유튜브1440동시송출', '초보', '컨커러스블레이드', '하남자', '한국어', '허졉솥밥', '훈수환영']"
23-06-01 162336(hhmmss KST),CRUSADER KINGS III,13,55734,133,1219460,"{""en"":5,""ko"":3,""fr"":2,""ru"":1,""uk"":1,""ar"":1}","['ak09', 'chipdipson', 'poopgamerjb', 'craiden_x', 'teaeternal', 'eva4aska', 'kaziro84', 'zredzlinez2001', 'thecornwall', 'beliander', 'laqtv', 'wolfin9000', 'phalown_tv']","['악령쿤', 'chipdipson', '장변', 'Craiden_x', 'TeaEternal', '발로대장뽕뽕이', 'Kaziro84', 'zREDzLINEz2001', 'thecornwall', 'beliander', 'laqtv', 'wolfin9000', 'phalown_tv']","['4X', 'AKTUBE', 'CK3', 'Chatty', 'Chill', 'English', 'FRANCAIS', 'Français', 'GameFun', 'PC', 'ParadoxInteractive', 'PvP', 'Saudi', 'arabic', 'asmr', 'challenge', 'chatty', 'english', 'france', 'gamer', 'jeu', 'jeuxvideo', 'just', 'justice', 'justtalking', 'love', 'sp', 'stratetgy', 'strong', 'talking', 'vidéos', 'wise', 'Веселье', 'Витьюберы', 'Еж', 'ИграСоЗрителями', 'Игры', 'ПервоеПрохождение', 'РетроИгры', 'Русский', 'Українська', '게임맛보기', '극혐컨트롤', '배너로드', '삼국지', '수다', '시참', '유튜브1440동시송출', '초보', '컨커러스블레이드', '하남자', '한국어', '허졉솥밥', '훈수환영']"
23-06-01 164052(hhmmss KST),CRUSADER KINGS III,13,53865,166,1226182,"{""en"":5,""fr"":3,""ko"":2,""ru"":2,""uk"":1}","['ak09', 'craiden_x', 'poopgamerjb', 'chipdipson', 'helmor', 'ohmygoat', 'teaeternal', 'kaziro84', 'zredzlinez2001', 'laqtv', 'beliander', 'phalown_tv', 'rooniest']","['악령쿤', 'Craiden_x', '장변', 'chipdipson', 'Helmor', 'ohmygoat', 'TeaEternal', 'Kaziro84', 'zREDzLINEz2001', 'laqtv', 'beliander', 'phalown_tv', 'rooniest']","['4X', 'AKTUBE', 'CK3', 'Casual', 'Chatty', 'Chill', 'Chıll', 'English', 'FRANCAIS', 'Français', 'GameFun', 'LGBTQPositive', 'NZ', 'NewZealand', 'PC', 'ParadoxInteractive', 'SansPriseDeTête', 'asmr', 'chatty', 'france', 'jeu', 'jeuxvideo', 'just', 'justice', 'justtalking', 'love', 'sp', 'stratetgy', 'strong', 'talking', 'vidéos', 'wise', 'Веселье', 'Витьюберы', 'Еж', 'ИграСоЗрителями', 'ИгровыеШоу', 'Игры', 'ПервоеПрохождение', 'РетроИгры', 'Русский', 'СкоростныеПрохождения', 'Українська', 'Фарминг', '게임맛보기', '극혐컨트롤', '배너로드', '삼국지', '수다', '유튜브1440동시송출', '초보', '컨커러스블레이드', '하남자', '한국어', '허졉솥밥', '훈수환영']"
23-06-01 165750(hhmmss KST),CRUSADER KINGS III,14,52064,175,1214767,"{""en"":5,""fr"":3,""ko"":2,""ru"":2,""uk"":1,""ar"":1}","['ak09', 'craiden_x', 'poopgamerjb', 'chipdipson', 'ohmygoat', 'helmor', 'kaziro84', 'teaeternal', 'zredzlinez2001', 'laqtv', 'beliander', 'rooniest', 'wolfin9000', 'phalown_tv']","['악령쿤', 'Craiden_x', '장변', 'chipdipson', 'ohmygoat', 'Helmor', 'Kaziro84', 'TeaEternal', 'zREDzLINEz2001', 'laqtv', 'beliander', 'rooniest', 'wolfin9000', 'phalown_tv']","['4X', 'AKTUBE', 'CK3', 'Casual', 'Chatty', 'Chill', 'Chıll', 'English', 'FRANCAIS', 'Français', 'GameFun', 'LGBTQPositive', 'NZ', 'NewZealand', 'PC', 'ParadoxInteractive', 'PvP', 'SansPriseDeTête', 'Saudi', 'arabic', 'asmr', 'chatty', 'english', 'france', 'gamer', 'jeu', 'jeuxvideo', 'just', 'justice', 'justtalking', 'love', 'sp', 'stratetgy', 'strong', 'talking', 'vidéos', 'wise', 'Веселье', 'Витьюберы', 'Еж', 'ИграСоЗрителями', 'ИгровыеШоу', 'Игры', 'ПервоеПрохождение', 'РетроИгры', 'Русский', 'СкоростныеПрохождения', 'Українська', 'Фарминг', '게임맛보기', '극혐컨트롤', '배너로드', '삼국지', '수다', '유튜브1440동시송출', '초보', '컨커러스블레이드', '하남자', '한국어', '허졉솥밥', '훈수환영']"
