DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),Europa Universalis IV,4,78255,81,1545835,"{""en"":4}","['bewaretheblobber', 'lisotte', 'the_vulcanator', 'hurtynoob']","['bewaretheblobber', 'Lisotte', 'The_Vulcanator', 'HurtyNoob']","['Achievements', 'Casual', 'EU4', 'English', 'Portugal', 'Random', 'chatty', 'goat', 'grandstrategy', 'history', 'multiplayer', 'playingwithviewers', 'strategy']"
23-06-01 143759(hhmmss KST),Europa Universalis IV,5,75785,91,1521355,"{""en"":5}","['bewaretheblobber', 'lisotte', 'yetikings', 'the_vulcanator', 'hurtynoob']","['bewaretheblobber', 'Lisotte', 'yetikings', 'The_Vulcanator', 'HurtyNoob']","['Achievements', 'BeginnersWelcome', 'Casual', 'Chatting', 'EU4', 'English', 'Portugal', 'Random', 'Singleplayer', 'chatty', 'eu4', 'europauniversalis', 'goat', 'grandstrategy', 'hangoutgaming', 'history', 'lurkersWelcome', 'multiplayer', 'playingwithviewers', 'strategy']"
23-06-01 144149(hhmmss KST),Europa Universalis IV,5,74921,93,1517175,"{""en"":5}","['bewaretheblobber', 'lisotte', 'the_vulcanator', 'yetikings', 'hurtynoob']","['bewaretheblobber', 'Lisotte', 'The_Vulcanator', 'yetikings', 'HurtyNoob']","['Achievements', 'BeginnersWelcome', 'Casual', 'Chatting', 'EU4', 'English', 'Portugal', 'Random', 'Singleplayer', 'chatty', 'eu4', 'europauniversalis', 'goat', 'grandstrategy', 'hangoutgaming', 'history', 'lurkersWelcome', 'multiplayer', 'playingwithviewers', 'strategy']"
23-06-01 150100(hhmmss KST),Europa Universalis IV,4,70208,89,1435906,"{""en"":4}","['bewaretheblobber', 'yetikings', 'the_vulcanator', 'hurtynoob']","['bewaretheblobber', 'yetikings', 'The_Vulcanator', 'HurtyNoob']","['Achievements', 'BeginnersWelcome', 'Casual', 'Chatting', 'English', 'Random', 'Singleplayer', 'eu4', 'europauniversalis', 'hangoutgaming', 'lurkersWelcome']"
23-06-01 151830(hhmmss KST),Europa Universalis IV,4,66227,95,1365723,"{""en"":4}","['bewaretheblobber', 'yetikings', 'hurtynoob', 'the_vulcanator']","['bewaretheblobber', 'yetikings', 'HurtyNoob', 'The_Vulcanator']","['Achievements', 'BeginnersWelcome', 'Casual', 'Chatting', 'English', 'Random', 'Singleplayer', 'eu4', 'europauniversalis', 'hangoutgaming', 'lurkersWelcome']"
23-06-01 153554(hhmmss KST),Europa Universalis IV,5,63363,100,1309148,"{""en"":5}","['bewaretheblobber', 'yetikings', 'hurtynoob', 'buoy_tv', 'the_vulcanator']","['bewaretheblobber', 'yetikings', 'HurtyNoob', 'buoy_tv', 'The_Vulcanator']","['Achievements', 'BeginnersWelcome', 'Casual', 'Chatting', 'English', 'Random', 'Singleplayer', 'eu4', 'europauniversalis', 'hangoutgaming', 'lurkersWelcome']"
23-06-01 155310(hhmmss KST),Europa Universalis IV,6,60244,108,1256378,"{""en"":5,""tr"":1}","['bewaretheblobber', 'yetikings', 'hurtynoob', 'the_vulcanator', 'an_to_ragesk', 'ksuwi']","['bewaretheblobber', 'yetikings', 'HurtyNoob', 'The_Vulcanator', 'AN_TO_RAGESK', 'ksuwi']","['Achievements', 'BeginnersWelcome', 'Casual', 'Chatting', 'English', 'Random', 'Singleplayer', 'achievements', 'eu4', 'europauniversalis', 'hangoutgaming', 'lurkersWelcome']"
23-06-01 162336(hhmmss KST),Europa Universalis IV,6,55734,92,1219460,"{""en"":5,""tr"":1}","['bewaretheblobber', 'hurtynoob', 'an_to_ragesk', 'xarvioto', 'yalpgg', 'ksuwi']","['bewaretheblobber', 'HurtyNoob', 'AN_TO_RAGESK', 'xarvioto', 'YalpGG', 'ksuwi']","['BackseatingaIIowed', 'English', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'grandstrategygame', 'ironman']"
23-06-01 164052(hhmmss KST),Europa Universalis IV,7,53865,102,1226182,"{""en"":6,""tr"":1}","['bewaretheblobber', 'yetikings', 'yalpgg', 'hurtynoob', 'an_to_ragesk', 'xarvioto', 'mrsympany']","['bewaretheblobber', 'yetikings', 'YalpGG', 'HurtyNoob', 'AN_TO_RAGESK', 'xarvioto', 'mrsympany']","['BackseatingaIIowed', 'BeginnersWelcome', 'Chatting', 'English', 'Singleplayer', 'Türkçe', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'eu4', 'europauniversalis', 'grandstrategygame', 'hangoutgaming', 'ironman', 'lol', 'lolleagueoflegends', 'lurkersWelcome', 'strateji', 'victoria3']"
23-06-01 165750(hhmmss KST),Europa Universalis IV,5,52064,8,1214767,"{""en"":4,""tr"":1}","['hurtynoob', 'xarvioto', 'an_to_ragesk', 'yalpgg', 'mrsympany']","['HurtyNoob', 'xarvioto', 'AN_TO_RAGESK', 'YalpGG', 'mrsympany']","['BackseatingaIIowed', 'English', 'Türkçe', 'achievement', 'achievements', 'allblue', 'chattingwithviewers', 'grandstrategygame', 'ironman', 'lol', 'lolleagueoflegends', 'strateji', 'victoria3']"
