DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),Hearts of Iron IV,4,78255,21,1545835,"{""en"":3,""other"":1}","['highwaycommander', 'cook_vtuber', 'conneranderson', 'sonictea']","['HighwayCommander', 'cook_vtuber', 'ConnerAnderson', 'sonictea']","['BackseatGamingAllowed', 'English', 'Kuwait', 'LGBTQQIP2SA', 'WhiskeyTangoFoxtrot', 'chatting', 'demon', 'dragon', 'farsi', 'heartsofiron', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'turkeysalad', 'vtuber']"
23-06-01 143759(hhmmss KST),Hearts of Iron IV,5,75785,25,1521355,"{""en"":4,""other"":1}","['highwaycommander', 'cook_vtuber', 'conneranderson', 'sonictea', 'mooche1']","['HighwayCommander', 'cook_vtuber', 'ConnerAnderson', 'sonictea', 'mooche1']","['BackseatGamingAllowed', 'English', 'Kuwait', 'LGBTQQIP2SA', 'LiT', 'MessagemeonTwitchChat', 'WhiskeyTangoFoxtrot', 'chatting', 'demon', 'dragon', 'farsi', 'giveaway', 'haveafuntime', 'heartsofiron', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'turkeysalad', 'vtuber']"
23-06-01 144149(hhmmss KST),Hearts of Iron IV,3,74921,26,1517175,"{""en"":2,""other"":1}","['highwaycommander', 'conneranderson', 'cook_vtuber']","['HighwayCommander', 'ConnerAnderson', 'cook_vtuber']","['English', 'Kuwait', 'LGBTQQIP2SA', 'demon', 'dragon', 'farsi', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'vtuber']"
23-06-01 150100(hhmmss KST),Hearts of Iron IV,3,70208,25,1435906,"{""en"":2,""other"":1}","['highwaycommander', 'cook_vtuber', 'conneranderson']","['HighwayCommander', 'cook_vtuber', 'ConnerAnderson']","['English', 'Kuwait', 'LGBTQQIP2SA', 'demon', 'dragon', 'farsi', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'vtuber']"
23-06-01 151830(hhmmss KST),Hearts of Iron IV,5,66227,25,1365723,"{""en"":2,""other"":1,""ja"":1,""ru"":1}","['highwaycommander', 'cook_vtuber', 'conneranderson', 'kjanbee', 'grey_busa0774']","['HighwayCommander', 'cook_vtuber', 'ConnerAnderson', 'kjanbee', 'grey_busa0774']","['ADHD', 'English', 'Kuwait', 'LGBTQQIP2SA', 'demon', 'dragon', 'farsi', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'vtuber', 'Русский', 'сталкер', '日本語']"
23-06-01 153554(hhmmss KST),Hearts of Iron IV,6,63363,26,1309148,"{""en"":3,""other"":1,""ja"":1,""ru"":1}","['highwaycommander', 'cook_vtuber', 'conneranderson', 'kjanbee', 'grey_busa0774', 'thecrafter_gaming']","['HighwayCommander', 'cook_vtuber', 'ConnerAnderson', 'kjanbee', 'grey_busa0774', 'thecrafter_gaming']","['ADHD', 'English', 'Kuwait', 'LGBTQQIP2SA', 'demon', 'dragon', 'farsi', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'vtuber', 'Русский', 'сталкер', '日本語']"
23-06-01 155310(hhmmss KST),Hearts of Iron IV,7,60244,29,1256378,"{""en"":3,""other"":1,""ru"":1,""ko"":1,""ja"":1}","['highwaycommander', 'cook_vtuber', 'conneranderson', 'thecrafter_gaming', 'grey_busa0774', 'likeyoure2', 'kjanbee']","['HighwayCommander', 'cook_vtuber', 'ConnerAnderson', 'thecrafter_gaming', 'grey_busa0774', '시바스', 'kjanbee']","['ADHD', 'English', 'Kuwait', 'LGBTQQIP2SA', 'demon', 'dragon', 'farsi', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'vtuber', 'Русский', 'сталкер', '日本語', '한국어']"
23-06-01 162336(hhmmss KST),Hearts of Iron IV,6,55734,85,1219460,"{""en"":2,""ko"":1,""other"":1,""ja"":1,""tr"":1}","['likeyoure2', 'highwaycommander', 'conneranderson', 'kjanbee', 'medzstereo', 'jamshidshah']","['시바스', 'HighwayCommander', 'ConnerAnderson', 'kjanbee', 'MedzStereo', 'JamshidShah']","['ADHD', 'BABALA', 'English', 'Gaming', 'Kuwait', 'LGBTQQIP2SA', 'League', 'Pro', 'TR', 'Türkçe', 'farsi', 'gta', 'historical', 'iran', 'leagueoflegends', 'lol', 'medz', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', '日本語', '한국어']"
23-06-01 164052(hhmmss KST),Hearts of Iron IV,8,53865,97,1226182,"{""en"":3,""ko"":2,""other"":1,""tr"":1,""ru"":1}","['likeyoure2', 'highwaycommander', 'jamshidshah', 'xyfoid', 'conneranderson', 'medzstereo', 'overconf1dently', 'askartoligniew']","['시바스', 'HighwayCommander', 'JamshidShah', '시폭님', 'ConnerAnderson', 'MedzStereo', 'overconf1dently', 'AsKarToligniew']","['AsKarToligniew', 'BABALA', 'Counter', 'English', 'GIGAESPORT', 'Gaming', 'Kuwait', 'LGBTQQIP2SA', 'League', 'Pro', 'TR', 'Türkçe', 'WarThunder', 'farsi', 'gta', 'historical', 'iran', 'leagueoflegends', 'lol', 'medz', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'Русский', 'играю', '남자', '시참', '전쟁', '한국어']"
23-06-01 165750(hhmmss KST),Hearts of Iron IV,6,52064,121,1214767,"{""ko"":2,""en"":2,""uk"":1,""other"":1}","['likeyoure2', 'rast0s', 'highwaycommander', 'conneranderson', 'xyfoid', 'jamshidshah']","['시바스', 'rast0s', 'HighwayCommander', 'ConnerAnderson', '시폭님', 'JamshidShah']","['English', 'History', 'Kuwait', 'LGBTQQIP2SA', 'Ukraine', 'Ukrainian', 'farsi', 'historical', 'iran', 'multiplayer', 'persia', 'persian', 'roleplay', 'stragety', 'Україна', 'Українська', '남자', '시참', '전쟁', '한국어']"
