DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),MECHABELLUM,12,78255,493,1545835,"{""en"":11,""de"":1}","['n_sacco98', 'meatyhook', 'skipp2skipp', 'trynet123', 'knavik', 'booofy', 'kuto5000', 'mmraddict', 'corcor360', 'zzj0402', 'whellcomedown', 'bumfry']","['n_sacco98', 'MeatyHook', 'Skipp2Skipp', 'Trynet123', 'Knavik', 'Booofy', 'Kuto5000', 'mmraddict', 'Corcor360', 'zzj0402', 'wHELLcomeDown', 'bumfry']","['BackseatGamingAllowed', 'Challenge', 'Chill', 'Coding', 'Comfy', 'Deutsch', 'English', 'Monstercat', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PlayingwithViewers', 'PlaywithViewer', 'PokemonCommunityGame', 'PvP', 'Reading', 'VTuber', 'Vanilla', 'Writing', 'competitive', 'elo', 'english', 'fun', 'mmo', 'mmr', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'vibes']"
23-06-01 143759(hhmmss KST),MECHABELLUM,13,75785,457,1521355,"{""en"":12,""de"":1}","['n_sacco98', 'meatyhook', 'trynet123', 'f4natix_90', 'knavik', 'booofy', 'mmraddict', 'kuto5000', 'corcor360', 'godemperorsnowball', 'zzj0402', 'whellcomedown', 'bumfry']","['n_sacco98', 'MeatyHook', 'Trynet123', 'f4natix_90', 'Knavik', 'Booofy', 'mmraddict', 'Kuto5000', 'Corcor360', 'GodEmperorSnowball', 'zzj0402', 'wHELLcomeDown', 'bumfry']","['BackseatGamingAllowed', 'Challenge', 'Chill', 'Coding', 'Comfy', 'Deutsch', 'Englisch', 'English', 'Monstercat', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PlayingwithViewers', 'PlaywithViewer', 'PokemonCommunityGame', 'PvP', 'Reading', 'VTuber', 'Vanilla', 'Writing', 'coach', 'competitive', 'elo', 'english', 'fun', 'mechabellum', 'mmo', 'mmr', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'superklasse', 'toxic', 'vibes']"
23-06-01 144149(hhmmss KST),MECHABELLUM,13,74921,475,1517175,"{""en"":11,""de"":1,""es"":1}","['n_sacco98', 'meatyhook', 'trynet123', 'f4natix_90', 'knavik', 'booofy', 'kuto5000', 'corcor360', 'nygoki', 'godemperorsnowball', 'zzj0402', 'whellcomedown', 'bumfry']","['n_sacco98', 'MeatyHook', 'Trynet123', 'f4natix_90', 'Knavik', 'Booofy', 'Kuto5000', 'Corcor360', 'Nygoki', 'GodEmperorSnowball', 'zzj0402', 'wHELLcomeDown', 'bumfry']","['BackseatGamingAllowed', 'Challenge', 'Chill', 'Coding', 'Comfy', 'Deutsch', 'DropsActivados', 'Englisch', 'English', 'Español', 'Monstercat', 'Mute', 'NZ', 'NoSpoilers', 'PlayingwithViewers', 'PlaywithViewer', 'PokemonCommunityGame', 'PvP', 'Reading', 'Suspenso', 'VTuber', 'Vanilla', 'Writing', 'chile', 'coach', 'english', 'latino', 'mechabellum', 'mexico', 'moba', 'pomodoro', 'roguelike', 'rts', 'shooter', 'superklasse', 'terror', 'toxic']"
23-06-01 150100(hhmmss KST),MECHABELLUM,15,70208,474,1435906,"{""en"":12,""de"":1,""es"":1,""cs"":1}","['n_sacco98', 'meatyhook', 'trynet123', 'f4natix_90', 'knavik', 'mmraddict', 'kuto5000', 'booofy', 'corcor360', 'nygoki', 'n7lawson', 'demavend33', 'zzj0402', 'bumfry', 'whellcomedown']","['n_sacco98', 'MeatyHook', 'Trynet123', 'f4natix_90', 'Knavik', 'mmraddict', 'Kuto5000', 'Booofy', 'Corcor360', 'Nygoki', 'N7Lawson', 'Demavend33', 'zzj0402', 'bumfry', 'wHELLcomeDown']","['BackSeatAllowed', 'BackseatGamingAllowed', 'Cestina', 'Challenge', 'Chill', 'Chıll', 'Coding', 'Comfy', 'Deutsch', 'DropsActivados', 'Englisch', 'English', 'Español', 'Monstercat', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PlayingwithViewers', 'PlaywithViewer', 'PokemonCommunityGame', 'PvP', 'Reading', 'ScienceFiction', 'Suspenso', 'VTuber', 'Vanilla', 'Variety', 'Writing', 'chile', 'coach', 'competitive', 'elo', 'english', 'fun', 'latino', 'mechabellum', 'mexico', 'mmo', 'mmr', 'moba', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'rts', 'shooter', 'superklasse', 'terror', 'toxic', 'vibes']"
23-06-01 151830(hhmmss KST),MECHABELLUM,15,66227,477,1365723,"{""en"":12,""de"":1,""es"":1,""cs"":1}","['n_sacco98', 'meatyhook', 'f4natix_90', 'trynet123', 'knavik', 'mmraddict', 'kuto5000', 'booofy', 'bigtwarrior', 'nygoki', 'n7lawson', 'demavend33', 'zzj0402', 'bumfry', 'whellcomedown']","['n_sacco98', 'MeatyHook', 'f4natix_90', 'Trynet123', 'Knavik', 'mmraddict', 'Kuto5000', 'Booofy', 'bigtwarrior', 'Nygoki', 'N7Lawson', 'Demavend33', 'zzj0402', 'bumfry', 'wHELLcomeDown']","['BackSeatAllowed', 'Cestina', 'Challenge', 'Chill', 'Chıll', 'Coding', 'Comfy', 'Deutsch', 'DropsActivados', 'Englisch', 'English', 'Español', 'Monstercat', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PlaywithViewer', 'Reading', 'ScienceFiction', 'Suspenso', 'VTuber', 'Vanilla', 'Variety', 'Writing', 'chile', 'coach', 'competitive', 'elo', 'english', 'fun', 'latino', 'mechabellum', 'mexico', 'mmo', 'mmr', 'moba', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'rts', 'shooter', 'superklasse', 'terror', 'toxic', 'vibes']"
23-06-01 153554(hhmmss KST),MECHABELLUM,16,63363,697,1309148,"{""en"":12,""de"":2,""es"":1,""cs"":1}","['n_sacco98', 'w4stedspace', 'meatyhook', 'f4natix_90', 'trynet123', 'mrsneptun', 'knavik', 'mmraddict', 'booofy', 'bigtwarrior', 'nygoki', 'n7lawson', 'demavend33', 'zzj0402', 'bumfry', 'whellcomedown']","['n_sacco98', 'w4stedspace', 'MeatyHook', 'f4natix_90', 'Trynet123', 'MrsNeptun', 'Knavik', 'mmraddict', 'Booofy', 'bigtwarrior', 'Nygoki', 'N7Lawson', 'Demavend33', 'zzj0402', 'bumfry', 'wHELLcomeDown']","['BackSeatAllowed', 'BackseatingAllowed', 'Cestina', 'Challenge', 'Chill', 'Chıll', 'Coding', 'Comfy', 'Deutsch', 'DropsActivados', 'Englisch', 'English', 'Español', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PlaywithViewer', 'Reading', 'ScienceFiction', 'Suspenso', 'VTuber', 'Vanilla', 'Variety', 'Writing', 'chile', 'coach', 'competitive', 'elo', 'english', 'fun', 'latino', 'mechabellum', 'mexico', 'mmo', 'mmr', 'moba', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'rts', 'shooter', 'superklasse', 'terror', 'toxic', 'vibes']"
23-06-01 155310(hhmmss KST),MECHABELLUM,17,60244,844,1256378,"{""en"":11,""de"":3,""ru"":1,""es"":1,""cs"":1}","['w4stedspace', 'n_sacco98', 'meatyhook', 'f4natix_90', 'pool', 'trynet123', 'mrsneptun', 'knavik', 'mmraddict', 'calle4alle', 'bigtwarrior', 'n7lawson', 'nygoki', 'demavend33', 'zzj0402', 'bumfry', 'whellcomedown']","['w4stedspace', 'n_sacco98', 'MeatyHook', 'f4natix_90', 'Pool', 'Trynet123', 'MrsNeptun', 'Knavik', 'mmraddict', 'calle4alle', 'bigtwarrior', 'N7Lawson', 'Nygoki', 'Demavend33', 'zzj0402', 'bumfry', 'wHELLcomeDown']","['Action', 'BackSeatAllowed', 'BackseatingAllowed', 'Cestina', 'Challenge', 'Chill', 'Chıll', 'Coding', 'Comfy', 'Deutsch', 'DropsActivados', 'Englisch', 'English', 'Entspannt', 'Español', 'Mechabellum', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PlaywithViewer', 'Poker', 'Reading', 'ScienceFiction', 'Strategie', 'Suspenso', 'VTuber', 'Vanilla', 'Variety', 'Writing', 'chile', 'coach', 'competitive', 'elo', 'english', 'fun', 'german', 'latino', 'lustig', 'mechabellum', 'mexico', 'mmo', 'mmr', 'moba', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'rts', 'shooter', 'superklasse', 'terror', 'toxic', 'vibes', 'zombie', 'Русский']"
23-06-01 162336(hhmmss KST),MECHABELLUM,16,55734,816,1219460,"{""en"":11,""de"":4,""cs"":1}","['w4stedspace', 'n_sacco98', 'meatyhook', 'f4natix_90', 'mrsneptun', 'trynet123', 'knavik', 'calle4alle', 'mmraddict', 'bigtwarrior', 'general_zero', 'n7lawson', 'snowiowlplayes', 'demavend33', 'zzj0402', 'whellcomedown']","['w4stedspace', 'n_sacco98', 'MeatyHook', 'f4natix_90', 'MrsNeptun', 'Trynet123', 'Knavik', 'calle4alle', 'mmraddict', 'bigtwarrior', 'general_zero', 'N7Lawson', 'Snowiowlplayes', 'Demavend33', 'zzj0402', 'wHELLcomeDown']","['Action', 'BackSeatAllowed', 'BackseatingAllowed', 'COMPETITIVE', 'Cestina', 'Challenge', 'Chill', 'Chıll', 'Coding', 'Comfy', 'Deutsch', 'Englisch', 'English', 'Entspannt', 'Gaming', 'LawfulNeutral', 'Mechabellum', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PC', 'PlaywithViewer', 'Poker', 'Reading', 'ScienceFiction', 'Solo', 'Strategie', 'Tarkov', 'VTuber', 'Vanilla', 'Variety', 'Writing', 'coach', 'competitive', 'elo', 'english', 'fun', 'german', 'lustig', 'mechabellum', 'mmo', 'mmr', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'superklasse', 'toxic', 'vibes', 'zombie']"
23-06-01 164052(hhmmss KST),MECHABELLUM,16,53865,858,1226182,"{""en"":11,""de"":4,""cs"":1}","['n_sacco98', 'w4stedspace', 'meatyhook', 'mrsneptun', 'f4natix_90', 'trynet123', 'knavik', 'calle4alle', 'mmraddict', 'bigtwarrior', 'snowiowlplayes', 'general_zero', 'demavend33', 'whellcomedown', 'n7lawson', 'zzj0402']","['n_sacco98', 'w4stedspace', 'MeatyHook', 'MrsNeptun', 'f4natix_90', 'Trynet123', 'Knavik', 'calle4alle', 'mmraddict', 'bigtwarrior', 'Snowiowlplayes', 'general_zero', 'Demavend33', 'wHELLcomeDown', 'N7Lawson', 'zzj0402']","['Action', 'BackSeatAllowed', 'BackseatingAllowed', 'COMPETITIVE', 'Cestina', 'Challenge', 'Chill', 'Chıll', 'Coding', 'Comfy', 'Deutsch', 'Englisch', 'English', 'Entspannt', 'Gaming', 'LawfulNeutral', 'Mechabellum', 'Multiplayer', 'Mute', 'NZ', 'NoSpoilers', 'PC', 'PlaywithViewer', 'Poker', 'Reading', 'ScienceFiction', 'Solo', 'Strategie', 'Tarkov', 'VTuber', 'Vanilla', 'Variety', 'Writing', 'coach', 'competitive', 'elo', 'english', 'fun', 'german', 'lustig', 'mechabellum', 'mmo', 'mmr', 'nightly', 'pomodoro', 'ranked', 'roguelike', 'superklasse', 'toxic', 'vibes', 'zombie']"
23-06-01 165750(hhmmss KST),MECHABELLUM,16,52064,578,1214767,"{""en"":10,""de"":4,""cs"":1,""zh"":1}","['w4stedspace', 'mrsneptun', 'f4natix_90', 'trynet123', 'knavik', 'calle4alle', 'mmraddict', 'snowiowlplayes', 'bigtwarrior', 'general_zero', 'n7lawson', 'demavend33', 'picapinguin', 'q710371', 'zzj0402', 'whellcomedown']","['w4stedspace', 'MrsNeptun', 'f4natix_90', 'Trynet123', 'Knavik', 'calle4alle', 'mmraddict', 'Snowiowlplayes', 'bigtwarrior', 'general_zero', 'N7Lawson', 'Demavend33', 'PicaPinguin', '是蘑菇王啊', 'zzj0402', 'wHELLcomeDown']","['Action', 'BackSeatAllowed', 'BackseatingAllowed', 'COMPETITIVE', 'Cestina', 'Chill', 'Chıll', 'Coding', 'Deutsch', 'Englisch', 'English', 'Entspannt', 'Gaming', 'German', 'LawfulNeutral', 'Mechabellum', 'Multiplayer', 'NZ', 'PC', 'PlaywithViewer', 'Poker', 'Reading', 'ScienceFiction', 'Solo', 'Strategie', 'Tarkov', 'Variety', 'Writing', 'autobattler', 'coach', 'coaching', 'competitive', 'crazy', 'elo', 'english', 'fun', 'german', 'lustig', 'mechabellum', 'mmo', 'mmr', 'nightly', 'pomodoro', 'progaming', 'ranked', 'roguelike', 'rtsgameplay', 'strategy', 'superklasse', 'toxic', 'vibes', 'zombie', '中文']"
