DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),SID MEIER CIVILIZATION V,2,78255,2,1545835,"{""en"":2}","['zaraunitymasters', 'flav0rtext']","['ZaraUnityMasters', 'flav0rtext']","['Anime', 'Autism', 'Cute', 'English', 'Furry', 'LGBT', 'LetHimCook', 'Shy', 'Vtuber', 'WhoLetHimCook', 'Wolf', 'commissions']"
23-06-01 143759(hhmmss KST),SID MEIER CIVILIZATION V,2,75785,3,1521355,"{""en"":2}","['zaraunitymasters', 'flav0rtext']","['ZaraUnityMasters', 'flav0rtext']","['Anime', 'Autism', 'Cute', 'English', 'Furry', 'LGBT', 'LetHimCook', 'Shy', 'Vtuber', 'WhoLetHimCook', 'Wolf', 'commissions']"
23-06-01 144149(hhmmss KST),SID MEIER CIVILIZATION V,2,74921,3,1517175,"{""en"":2}","['zaraunitymasters', 'flav0rtext']","['ZaraUnityMasters', 'flav0rtext']","['Anime', 'Autism', 'Cute', 'English', 'Furry', 'LGBT', 'LetHimCook', 'Shy', 'Vtuber', 'WhoLetHimCook', 'Wolf', 'commissions']"
23-06-01 150100(hhmmss KST),SID MEIER CIVILIZATION V,1,70208,2,1435906,"{""en"":1}",['zaraunitymasters'],['ZaraUnityMasters'],"['Autism', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Vtuber', 'Wolf', 'commissions']"
23-06-01 151830(hhmmss KST),SID MEIER CIVILIZATION V,2,66227,5,1365723,"{""en"":2}","['zaraunitymasters', 'sambertgames']","['ZaraUnityMasters', 'SambertGames']","['Autism', 'Casual', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Trekkie', 'Variety', 'Vtuber', 'Wolf', 'chill', 'commissions', 'gaming', 'latenightgaming', 'nerd']"
23-06-01 153554(hhmmss KST),SID MEIER CIVILIZATION V,2,63363,5,1309148,"{""en"":2}","['zaraunitymasters', 'sambertgames']","['ZaraUnityMasters', 'SambertGames']","['Autism', 'Casual', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Trekkie', 'Variety', 'Vtuber', 'Wolf', 'chill', 'commissions', 'gaming', 'latenightgaming', 'nerd']"
23-06-01 155310(hhmmss KST),SID MEIER CIVILIZATION V,2,60244,6,1256378,"{""en"":2}","['zaraunitymasters', 'sambertgames']","['ZaraUnityMasters', 'SambertGames']","['Autism', 'Casual', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Trekkie', 'Variety', 'Vtuber', 'Wolf', 'chill', 'commissions', 'gaming', 'latenightgaming', 'nerd']"
23-06-01 162336(hhmmss KST),SID MEIER CIVILIZATION V,1,55734,4,1219460,"{""en"":1}",['zaraunitymasters'],['ZaraUnityMasters'],"['Autism', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Vtuber', 'Wolf', 'commissions']"
23-06-01 164052(hhmmss KST),SID MEIER CIVILIZATION V,2,53865,9,1226182,"{""en"":1,""ko"":1}","['zaraunitymasters', 'alphabravo0813']","['ZaraUnityMasters', '임백설']","['Autism', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Vtuber', 'Wolf', 'commissions', '뉴비', '신입', '하꼬', '한국어']"
23-06-01 165750(hhmmss KST),SID MEIER CIVILIZATION V,1,52064,5,1214767,"{""en"":1}",['zaraunitymasters'],['ZaraUnityMasters'],"['Autism', 'Cute', 'English', 'Furry', 'LGBT', 'Shy', 'Vtuber', 'Wolf', 'commissions']"
