DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),STARCRAFT,16,78255,97,1545835,"{""en"":12,""es"":2,""ko"":2}","['blanderstrudel', 'lovesnow7', 'zen_bw', 'diggitysc', 'professional_starcraft64', 'seonjae45', 'mrgavaskar', 'sylortwinkletoes', 'z3rgonite', 'lanzeha', 'wickedslick420', 'starcraftvod', 'basilladder', 'gcal_38', 'new5new52', 'sscait']","['BlanderStrudel', 'Lovesnow7', 'zen_bw', 'Diggitysc', 'professional_starcraft64', '양선재', 'MrGavaskar', 'sylortwinkletoes', 'z3rgonite', '란제하', 'WickedSlick420', 'StarcraftVOD', 'basilladder', 'GcaL_38', 'new5new52', 'SSCAIT']","['AYAYA', 'Backseatingallowed', 'Bisu', 'Boxer', 'English', 'Español', 'Flash', 'Français', 'GreenSkinArmy', 'HardMode', 'HipHop', 'History', 'Improv', 'Jaedong', 'Jammin', 'JustSmoking', 'KeSPA', 'LadderWarrior', 'Legacy', 'N64', 'NSL6', 'OldSchool', 'Psychosis', 'Pwnage', 'Qc', 'Star', 'Starcraft', 'Strategy', 'Terran', 'Tesagi', 'UnderGround', 'WickedSlickinc', 'Zerg', 'broodwar', 'buenrato', 'casting', 'chill', 'cruiseHype', 'datvoice', 'dota2stream', 'eSports', 'juego', 'new', 'pasapalabra', 'pokemon', 'starcraft', 'starcraft64', 'stillhere', '광물', '꿀보이스', '랭커', '롤토체스', '멘탈브론즈', '목소리', '반모가능', '빡겜', '시참', '시참가능', '신입', '즐겜', '한국어']"
23-06-01 143759(hhmmss KST),STARCRAFT,16,75785,80,1521355,"{""en"":10,""ko"":4,""es"":2}","['blanderstrudel', 'zen_bw', 'lovesnow7', 'swdh1', 'seonjae45', 'mrgavaskar', 'z3rgonite', 'lanzeha', 'professional_starcraft64', 'basilladder', 'gcal_38', 'sylortwinkletoes', 'new5new52', 'starcraftvod', 'mipn12', 'sscait']","['BlanderStrudel', 'zen_bw', 'Lovesnow7', '사이가지', '양선재', 'MrGavaskar', 'z3rgonite', '란제하', 'professional_starcraft64', 'basilladder', 'GcaL_38', 'sylortwinkletoes', 'new5new52', 'StarcraftVOD', '모우모우모우', 'SSCAIT']","['AYAYA', 'Backseatingallowed', 'Bisu', 'Boxer', 'English', 'Español', 'Flash', 'Français', 'History', 'Jaedong', 'KeSPA', 'LadderWarrior', 'Legacy', 'N64', 'NSL6', 'Pwnage', 'Qc', 'Star', 'Starcraft', 'Strategy', 'Terran', 'Tesagi', 'Zerg', 'broodwar', 'buenrato', 'chill', 'cruiseHype', 'dota2stream', 'eSports', 'juego', 'new', 'pasapalabra', 'pokemon', 'sAi', 'starcraft', 'starcraft64', 'zerg', '광물', '꿀보이스', '랭커', '롤토체스', '멘탈브론즈', '목소리', '반모가능', '빡겜', '사이', '스타크래프트', '시참', '시참가능', '신입', '즐겜', '한국어']"
23-06-01 144149(hhmmss KST),STARCRAFT,16,74921,101,1517175,"{""en"":10,""ko"":4,""es"":2}","['blanderstrudel', 'lovesnow7', 'zen_bw', 'swdh1', 'diggitysc', 'seonjae45', 'mrgavaskar', 'sylortwinkletoes', 'lanzeha', 'sscait', 'professional_starcraft64', 'basilladder', 'gcal_38', 'new5new52', 'starcraftvod', 'mipn12']","['BlanderStrudel', 'Lovesnow7', 'zen_bw', '사이가지', 'Diggitysc', '양선재', 'MrGavaskar', 'sylortwinkletoes', '란제하', 'SSCAIT', 'professional_starcraft64', 'basilladder', 'GcaL_38', 'new5new52', 'StarcraftVOD', '모우모우모우']","['AYAYA', 'Backseatingallowed', 'Bisu', 'Boxer', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'LadderWarrior', 'Legacy', 'N64', 'NSL6', 'Star', 'Starcraft', 'Strategy', 'Terran', 'Tesagi', 'Zerg', 'broodwar', 'buenrato', 'casting', 'chill', 'cruiseHype', 'datvoice', 'dota2stream', 'eSports', 'juego', 'new', 'pasapalabra', 'pokemon', 'sAi', 'starcraft', 'starcraft64', 'stillhere', 'zerg', '광물', '꿀보이스', '랭커', '롤토체스', '멘탈브론즈', '목소리', '반모가능', '빡겜', '사이', '스타크래프트', '시참', '시참가능', '신입', '즐겜', '한국어']"
23-06-01 150100(hhmmss KST),STARCRAFT,15,70208,107,1435906,"{""en"":9,""ko"":4,""es"":2}","['blanderstrudel', 'zen_bw', 'swdh1', 'lovesnow7', 'seonjae45', 'sylortwinkletoes', 'lanzeha', 'professional_starcraft64', 'solaz_', 'basilladder', 'gcal_38', 'new5new52', 'starcraftvod', 'mipn12', 'sscait']","['BlanderStrudel', 'zen_bw', '사이가지', 'Lovesnow7', '양선재', 'sylortwinkletoes', '란제하', 'professional_starcraft64', 'Solaz_', 'basilladder', 'GcaL_38', 'new5new52', 'StarcraftVOD', '모우모우모우', 'SSCAIT']","['AYAYA', 'American', 'Backseatingallowed', 'Bisu', 'Boxer', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'LadderWarrior', 'Legacy', 'N64', 'NSL6', 'Star', 'Starcraft', 'Strategy', 'Terran', 'Tesagi', 'Vtuber', 'Zerg', 'broodwar', 'buenrato', 'chill', 'cruiseHype', 'dota2stream', 'eSports', 'juego', 'new', 'pasapalabra', 'pokemon', 'sAi', 'starcraft', 'starcraft64', 'zerg', '광물', '꿀보이스', '랭커', '롤토체스', '멘탈브론즈', '목소리', '반모가능', '빡겜', '사이', '스타크래프트', '시참', '시참가능', '신입', '즐겜', '한국어']"
23-06-01 151830(hhmmss KST),STARCRAFT,12,66227,99,1365723,"{""en"":7,""ko"":4,""es"":1}","['swdh1', 'blanderstrudel', 'lovesnow7', 'solaz_', 'lanzeha', 'seonjae45', 'sscait', 'professional_starcraft64', 'basilladder', 'new5new52', 'starcraftvod', 'mipn12']","['사이가지', 'BlanderStrudel', 'Lovesnow7', 'Solaz_', '란제하', '양선재', 'SSCAIT', 'professional_starcraft64', 'basilladder', 'new5new52', 'StarcraftVOD', '모우모우모우']","['American', 'Bisu', 'Boxer', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'LadderWarrior', 'Legacy', 'N64', 'NSL6', 'Starcraft', 'Strategy', 'Tesagi', 'Vtuber', 'broodwar', 'cruiseHype', 'eSports', 'pokemon', 'sAi', 'starcraft', 'starcraft64', 'zerg', '광물', '꿀보이스', '랭커', '롤토체스', '멘탈브론즈', '목소리', '반모가능', '빡겜', '사이', '스타크래프트', '시참', '시참가능', '신입', '즐겜', '한국어']"
23-06-01 153554(hhmmss KST),STARCRAFT,12,63363,99,1309148,"{""en"":7,""ko"":4,""es"":1}","['lovesnow7', 'swdh1', 'blanderstrudel', 'solaz_', 'seonjae45', 'levoup', 'lanzeha', 'basilladder', 'new5new52', 'starcraftvod', 'mipn12', 'sscait']","['Lovesnow7', '사이가지', 'BlanderStrudel', 'Solaz_', '양선재', 'levoup', '란제하', 'basilladder', 'new5new52', 'StarcraftVOD', '모우모우모우', 'SSCAIT']","['American', 'Bisu', 'Boxer', 'Chıll', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'LadderWarrior', 'Legacy', 'NSL6', 'RTS', 'Starcraft', 'Strategy', 'Tesagi', 'Vtuber', 'cruiseHype', 'eSports', 'fastest', 'sAi', 'starcraft', 'zerg', '광물', '꿀보이스', '랭커', '롤토체스', '멘탈브론즈', '목소리', '반모가능', '빡겜', '사이', '스타크래프트', '시참', '시참가능', '신입', '즐겜', '한국어']"
23-06-01 155310(hhmmss KST),STARCRAFT,13,60244,111,1256378,"{""en"":6,""ko"":6,""es"":1}","['lovesnow7', 'swdh1', 'blanderstrudel', 'solaz_', 'seonjae45', 'lanzeha', 'myo_hada_', 'professional_starcraft64', 'new5new52', 'levoup', 'jh3697', 'mipn12', 'sscait']","['Lovesnow7', '사이가지', 'BlanderStrudel', 'Solaz_', '양선재', '란제하', '묘하다__', 'professional_starcraft64', 'new5new52', 'levoup', '서문지훈', '모우모우모우', 'SSCAIT']","['American', 'Chıll', 'English', 'Español', 'LadderWarrior', 'N64', 'NSL6', 'RTS', 'Strategy', 'Tesagi', 'Vtuber', 'ZeLoT', 'broodwar', 'cruiseHype', 'fastest', 'pokemon', 'sAi', 'starcraft', 'starcraft64', 'zerg', '광물', '꿀보이스', '랭커', '롤토체스', '리그오브레전드', '멘탈브론즈', '목소리', '반모가능', '발로란트', '버츄얼', '버츄얼스트리머', '버튜버', '빡겜', '사이', '스타크래프트', '시참', '시참가능', '신입', '저스트채팅', '즐겜', '한국어']"
23-06-01 162336(hhmmss KST),STARCRAFT,19,55734,146,1219460,"{""ko"":9,""en"":9,""es"":1}","['blanderstrudel', 'swdh1', 'koreasbg', 'jumperer', 'seonjae45', 'solaz_', 'kcl903', 'nrvaleck', 'lanzeha', 'myo_hada_', 'savecat1213', 'basilladder', 'new5new52', 'mrminerais', 'starcraftvod', 'levoup', 'jh3697', 'mipn12', 'sscait']","['BlanderStrudel', '사이가지', '스타_송병구', 'Jumperer', '양선재', 'Solaz_', '채린쟝', 'NRValeck', '란제하', '묘하다__', '저장냥이', 'basilladder', 'new5new52', 'MrMineraIs', 'StarcraftVOD', 'levoup', '서문지훈', '모우모우모우', 'SSCAIT']","['American', 'Bisu', 'Boxer', 'Chıll', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'Legacy', 'LurkFriendly', 'RTS', 'Starcraft', 'Strategy', 'Thai', 'Vtuber', 'ZeLoT', 'ama', 'bwmn', 'casual', 'chatty', 'chill', 'eSports', 'english', 'fastest', 'jumpscare', 'minerals', 'sAi', 'starcraft', 'variety', 'zerg', 'ไทย', '공방투어', '광물', '꿀보이스', '뉴비', '던파', '라디오', '랭커', '롤토체스', '리그오브레전드', '멘탈브론즈', '목소리', '밀리', '반모가능', '발로란트', '뱅', '버츄얼', '버츄얼스트리머', '버튜버', '병구', '빡겜', '사이', '성인', '소통', '송병구', '수다', '스타크래프트', '스타크래프트리마스터', '시참', '시참가능', '신입', '여성', '저스트채팅', '즐겜', '초보', '프로게이머', '한국어']"
23-06-01 164052(hhmmss KST),STARCRAFT,21,53865,163,1226182,"{""ko"":11,""en"":9,""es"":1}","['koreasbg', 'swdh1', 'blanderstrudel', 'jumperer', 'kcl903', 'seonjae45', 'solaz_', 'nrvaleck', 'starcraftvod', 'lanzeha', 'savecat1213', 'myo_hada_', 'sacsri', 'basilladder', 'new5new52', 'mrminerais', 'xlion10', 'levoup', 'jh3697', 'mipn12', 'sscait']","['스타_송병구', '사이가지', 'BlanderStrudel', 'Jumperer', '채린쟝', '양선재', 'Solaz_', 'NRValeck', 'StarcraftVOD', '란제하', '저장냥이', '묘하다__', 'Sacsri', 'basilladder', 'new5new52', 'MrMineraIs', '로오오쓰', 'levoup', '서문지훈', '모우모우모우', 'SSCAIT']","['American', 'Bisu', 'Boxer', 'Chıll', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'Legacy', 'LurkFriendly', 'RTS', 'Starcraft', 'Strategy', 'Thai', 'Vtuber', 'ZeLoT', 'ama', 'bwmn', 'casual', 'chatty', 'chill', 'eSports', 'english', 'fastest', 'jumpscare', 'minerals', 'sAi', 'starcraft', 'variety', 'zerg', 'ไทย', '공방투어', '광물', '꿀보이스', '뉴비', '던파', '드롭활성화됨', '라디오', '랭커', '롤토체스', '리그오브레전드', '멘탈브론즈', '목소리', '밀리', '반모가능', '발로란트', '뱅', '버츄얼', '버츄얼스트리머', '버튜버', '병구', '빡겜', '사이', '성인', '소통', '송병구', '수다', '스타크래프트', '스타크래프트리마스터', '시참', '시참가능', '신입', '여성', '저스트채팅', '즐겜', '초보', '프로게이머', '한국어']"
23-06-01 165750(hhmmss KST),STARCRAFT,22,52064,168,1214767,"{""ko"":12,""en"":9,""es"":1}","['koreasbg', 'swdh1', 'blanderstrudel', 'jumperer', 'sacsri', 'seonjae45', 'kcl903', 'savecat1213', 'solaz_', 'myo_hada_', 'nrvaleck', 'lanzeha', 'starcraftvod', 'basilladder', 'new5new52', 'mrminerais', 'xlion10', 'levoup', 'jh3697', 'mipn12', 'sscait', 'sptyjh']","['스타_송병구', '사이가지', 'BlanderStrudel', 'Jumperer', 'Sacsri', '양선재', '채린쟝', '저장냥이', 'Solaz_', '묘하다__', 'NRValeck', '란제하', 'StarcraftVOD', 'basilladder', 'new5new52', 'MrMineraIs', '로오오쓰', 'levoup', '서문지훈', '모우모우모우', 'SSCAIT', '유별티비']","['American', 'Bisu', 'Boxer', 'Chıll', 'English', 'Español', 'Flash', 'History', 'Jaedong', 'KeSPA', 'Legacy', 'LurkFriendly', 'RTS', 'Starcraft', 'Strategy', 'Thai', 'Vtuber', 'ZeLoT', 'ama', 'bwmn', 'casual', 'chatty', 'chill', 'eSports', 'english', 'fastest', 'jumpscare', 'minerals', 'sAi', 'starcraft', 'variety', 'zerg', 'ไทย', '공방투어', '광물', '꿀보이스', '뉴비', '던파', '드롭활성화됨', '라디오', '랭커', '롤토체스', '리그오브레전드', '멘탈브론즈', '목소리', '밀리', '반모가능', '발로란트', '뱅', '버츄얼', '버츄얼스트리머', '버튜버', '병구', '빡겜', '사이', '성인', '소통', '송병구', '수다', '스타크래프트', '스타크래프트리마스터', '시참', '시참가능', '신입', '여성', '저스트채팅', '즐겜', '초보', '프로게이머', '한국어']"
