DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),Space Gears,0,78255,0,1545835,{},[],[],[]
23-06-01 143759(hhmmss KST),Space Gears,0,75785,0,1521355,{},[],[],[]
23-06-01 144149(hhmmss KST),Space Gears,0,74921,0,1517175,{},[],[],[]
23-06-01 150100(hhmmss KST),Space Gears,0,70208,0,1435906,{},[],[],[]
23-06-01 151830(hhmmss KST),Space Gears,0,66227,0,1365723,{},[],[],[]
23-06-01 153554(hhmmss KST),Space Gears,0,63363,0,1309148,{},[],[],[]
23-06-01 155310(hhmmss KST),Space Gears,0,60244,0,1256378,{},[],[],[]
23-06-01 162336(hhmmss KST),Space Gears,0,55734,0,1219460,{},[],[],[]
23-06-01 164052(hhmmss KST),Space Gears,0,53865,0,1226182,{},[],[],[]
23-06-01 165750(hhmmss KST),Space Gears,0,52064,0,1214767,{},[],[],[]
23-06-01 171609(hhmmss KST),Space Gears,0,50466,0,1170271,{},[],[],[]
23-06-01 173058(hhmmss KST),Space Gears,0,49566,0,1206755,{},[],[],[]
23-06-01 173300(hhmmss KST),Space Gears,0,49405,0,1207261,{},[],[],[]
23-06-01 174749(hhmmss KST),Space Gears,0,48711,0,1192453,{},[],[],[]
23-06-01 174949(hhmmss KST),Space Gears,0,48508,0,1191605,{},[],[],[]
23-06-01 180437(hhmmss KST),Space Gears,0,48230,0,1227030,{},[],[],[]
23-06-01 180637(hhmmss KST),Space Gears,0,48091,0,1222759,{},[],[],[]
23-06-01 182124(hhmmss KST),Space Gears,0,47643,0,1200370,{},[],[],[]
23-06-01 182324(hhmmss KST),Space Gears,0,47533,0,1202358,{},[],[],[]
23-06-01 183809(hhmmss KST),Space Gears,0,47091,0,1249384,{},[],[],[]
23-06-01 184011(hhmmss KST),Space Gears,0,47134,0,1248240,{},[],[],[]
23-06-01 185456(hhmmss KST),Space Gears,0,47139,0,1291160,{},[],[],[]
23-06-01 185657(hhmmss KST),Space Gears,0,47184,0,1288305,{},[],[],[]
23-06-01 191145(hhmmss KST),Space Gears,0,47741,0,1324388,{},[],[],[]
23-06-01 191344(hhmmss KST),Space Gears,0,47859,0,1337895,{},[],[],[]
23-06-01 192835(hhmmss KST),Space Gears,0,48267,0,1385603,{},[],[],[]
23-06-01 193034(hhmmss KST),Space Gears,0,48291,0,1383806,{},[],[],[]
23-06-01 194524(hhmmss KST),Space Gears,0,48805,0,1436602,{},[],[],[]
23-06-01 194725(hhmmss KST),Space Gears,0,48813,0,1451833,{},[],[],[]
23-06-01 200224(hhmmss KST),Space Gears,0,50093,0,1467920,{},[],[],[]
23-06-01 200424(hhmmss KST),Space Gears,0,50382,0,1457780,{},[],[],[]
23-06-01 201926(hhmmss KST),Space Gears,0,51612,0,1501929,{},[],[],[]
23-06-01 202129(hhmmss KST),Space Gears,0,51873,0,1537116,{},[],[],[]
23-06-01 203636(hhmmss KST),Space Gears,0,53211,0,1574082,{},[],[],[]
23-06-01 203848(hhmmss KST),Space Gears,0,53631,0,1597775,{},[],[],[]
23-06-01 205352(hhmmss KST),Space Gears,1,55260,3,1678240,"{""ko"":1}",['japanox'],['서네떡'],"['rts', '고전게임', '서네떡', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어']"
23-06-01 205609(hhmmss KST),Space Gears,1,55367,4,1681106,"{""ko"":1}",['japanox'],['서네떡'],"['rts', '고전게임', '서네떡', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어']"
23-06-01 210522(hhmmss KST),Space Gears,3,57650,156,1690181,"{""ko"":3}","['babyubyu', 'zench0816', 'japanox']","['바뷰뷰', '젠가놈', '서네떡']","['RTS', 'rts', '고전게임', '대회', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 211108(hhmmss KST),Space Gears,3,58727,171,1754375,"{""ko"":3}","['babyubyu', 'zench0816', 'japanox']","['바뷰뷰', '젠가놈', '서네떡']","['RTS', 'rts', '고전게임', '대회', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 211331(hhmmss KST),Space Gears,3,59242,172,1769612,"{""ko"":3}","['babyubyu', 'zench0816', 'japanox']","['바뷰뷰', '젠가놈', '서네떡']","['RTS', 'rts', '고전게임', '대회', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 212831(hhmmss KST),Space Gears,3,61703,224,1847261,"{""ko"":3}","['babyubyu', 'zench0816', 'japanox']","['바뷰뷰', '젠가놈', '서네떡']","['RTS', 'rts', '고전게임', '대회', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 213057(hhmmss KST),Space Gears,3,62166,209,1844831,"{""ko"":3}","['babyubyu', 'zench0816', 'japanox']","['바뷰뷰', '젠가놈', '서네떡']","['RTS', 'rts', '고전게임', '대회', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 214643(hhmmss KST),Space Gears,3,64528,218,1909852,"{""ko"":3}","['babyubyu', 'zench0816', 'japanox']","['바뷰뷰', '젠가놈', '서네떡']","['RTS', 'rts', '고전게임', '대회', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 214946(hhmmss KST),Space Gears,4,65025,232,1932127,"{""ko"":4}","['babyubyu', 'zench0816', 'japanox', 'charlotte_jeanne']","['바뷰뷰', '젠가놈', '서네떡', '샬롯ㆍ잔느']","['Competitive', 'LittleEnglish', 'RTS', 'Vtuber', 'rts', '고전게임', '대회', '버튜버', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 220444(hhmmss KST),Space Gears,5,68224,251,1957399,"{""ko"":5}","['babyubyu', 'zench0816', 'japanox', 'charlotte_jeanne', '211213twitch']","['바뷰뷰', '젠가놈', '서네떡', '샬롯ㆍ잔느', '폴리모프_']","['Competitive', 'LittleEnglish', 'RTS', 'Vtuber', 'rts', '고전게임', '대회', '버튜버', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 220751(hhmmss KST),Space Gears,5,68793,305,1953903,"{""ko"":5}","['babyubyu', 'zench0816', 'japanox', 'charlotte_jeanne', '211213twitch']","['바뷰뷰', '젠가놈', '서네떡', '샬롯ㆍ잔느', '폴리모프_']","['Competitive', 'LittleEnglish', 'RTS', 'Vtuber', 'rts', '고전게임', '대회', '버튜버', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
23-06-01 222249(hhmmss KST),Space Gears,5,71271,306,2025710,"{""ko"":5}","['babyubyu', 'zench0816', 'japanox', 'charlotte_jeanne', '211213twitch']","['바뷰뷰', '젠가놈', '서네떡', '샬롯ㆍ잔느', '폴리모프_']","['Competitive', 'LittleEnglish', 'RTS', 'Vtuber', 'rts', '고전게임', '대회', '버튜버', '서네떡', '실시간전략', '에이지오브엠파이어', '에이지오브엠파이어3', '전략시뮬레이션', '한국어', '해설']"
