DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),Starship Troopers,0,78255,0,1545835,{},[],[],[]
23-06-01 143759(hhmmss KST),Starship Troopers,0,75785,0,1521355,{},[],[],[]
23-06-01 144149(hhmmss KST),Starship Troopers,0,74921,0,1517175,{},[],[],[]
23-06-01 150100(hhmmss KST),Starship Troopers,0,70208,0,1435906,{},[],[],[]
23-06-01 151830(hhmmss KST),Starship Troopers,0,66227,0,1365723,{},[],[],[]
23-06-01 153554(hhmmss KST),Starship Troopers,0,63363,0,1309148,{},[],[],[]
23-06-01 155310(hhmmss KST),Starship Troopers,0,60244,0,1256378,{},[],[],[]
23-06-01 162336(hhmmss KST),Starship Troopers,0,55734,0,1219460,{},[],[],[]
23-06-01 164052(hhmmss KST),Starship Troopers,0,53865,0,1226182,{},[],[],[]
23-06-01 165750(hhmmss KST),Starship Troopers,0,52064,0,1214767,{},[],[],[]
23-06-01 171609(hhmmss KST),Starship Troopers,0,50466,0,1170271,{},[],[],[]
23-06-01 173058(hhmmss KST),Starship Troopers,0,49566,0,1206755,{},[],[],[]
23-06-01 173300(hhmmss KST),Starship Troopers,0,49405,0,1207261,{},[],[],[]
23-06-01 174749(hhmmss KST),Starship Troopers,0,48711,0,1192453,{},[],[],[]
23-06-01 174949(hhmmss KST),Starship Troopers,0,48508,0,1191605,{},[],[],[]
23-06-01 180437(hhmmss KST),Starship Troopers,0,48230,0,1227030,{},[],[],[]
23-06-01 180637(hhmmss KST),Starship Troopers,0,48091,0,1222759,{},[],[],[]
23-06-01 182124(hhmmss KST),Starship Troopers,0,47643,0,1200370,{},[],[],[]
23-06-01 182324(hhmmss KST),Starship Troopers,0,47533,0,1202358,{},[],[],[]
23-06-01 183809(hhmmss KST),Starship Troopers,0,47091,0,1249384,{},[],[],[]
23-06-01 184011(hhmmss KST),Starship Troopers,0,47134,0,1248240,{},[],[],[]
23-06-01 185456(hhmmss KST),Starship Troopers,0,47139,0,1291160,{},[],[],[]
23-06-01 185657(hhmmss KST),Starship Troopers,0,47184,0,1288305,{},[],[],[]
23-06-01 191145(hhmmss KST),Starship Troopers,0,47741,0,1324388,{},[],[],[]
23-06-01 191344(hhmmss KST),Starship Troopers,0,47859,0,1337895,{},[],[],[]
23-06-01 192835(hhmmss KST),Starship Troopers,0,48267,0,1385603,{},[],[],[]
23-06-01 193034(hhmmss KST),Starship Troopers,0,48291,0,1383806,{},[],[],[]
23-06-01 194524(hhmmss KST),Starship Troopers,0,48805,0,1436602,{},[],[],[]
23-06-01 194725(hhmmss KST),Starship Troopers,0,48813,0,1451833,{},[],[],[]
23-06-01 200224(hhmmss KST),Starship Troopers,0,50093,0,1467920,{},[],[],[]
23-06-01 200424(hhmmss KST),Starship Troopers,0,50382,0,1457780,{},[],[],[]
23-06-01 201926(hhmmss KST),Starship Troopers,0,51612,0,1501929,{},[],[],[]
23-06-01 202129(hhmmss KST),Starship Troopers,0,51873,0,1537116,{},[],[],[]
23-06-01 203636(hhmmss KST),Starship Troopers,0,53211,0,1574082,{},[],[],[]
23-06-01 203848(hhmmss KST),Starship Troopers,0,53631,0,1597775,{},[],[],[]
23-06-01 205352(hhmmss KST),Starship Troopers,0,55260,0,1678240,{},[],[],[]
23-06-01 205609(hhmmss KST),Starship Troopers,0,55367,0,1681106,{},[],[],[]
23-06-01 210522(hhmmss KST),Starship Troopers,0,57650,0,1690181,{},[],[],[]
23-06-01 211108(hhmmss KST),Starship Troopers,0,58727,0,1754375,{},[],[],[]
23-06-01 211331(hhmmss KST),Starship Troopers,0,59242,0,1769612,{},[],[],[]
23-06-01 212831(hhmmss KST),Starship Troopers,0,61703,0,1847261,{},[],[],[]
23-06-01 213057(hhmmss KST),Starship Troopers,0,62166,0,1844831,{},[],[],[]
23-06-01 214643(hhmmss KST),Starship Troopers,0,64528,0,1909852,{},[],[],[]
23-06-01 214946(hhmmss KST),Starship Troopers,0,65025,0,1932127,{},[],[],[]
23-06-01 220444(hhmmss KST),Starship Troopers,0,68224,0,1957399,{},[],[],[]
23-06-01 220751(hhmmss KST),Starship Troopers,0,68793,0,1953903,{},[],[],[]
23-06-01 222249(hhmmss KST),Starship Troopers,0,71271,0,2025710,{},[],[],[]
23-06-01 222548(hhmmss KST),Starship Troopers,0,71622,0,2037116,{},[],[],[]
23-06-01 224105(hhmmss KST),Starship Troopers,0,74641,0,2105707,{},[],[],[]
23-06-01 224431(hhmmss KST),Starship Troopers,0,74440,0,2123614,{},[],[],[]
23-06-01 225923(hhmmss KST),Starship Troopers,0,76594,0,2154677,{},[],[],[]
23-06-01 230259(hhmmss KST),Starship Troopers,0,77753,0,2173622,{},[],[],[]
23-06-01 231759(hhmmss KST),Starship Troopers,0,79534,0,2196992,{},[],[],[]
23-06-01 232124(hhmmss KST),Starship Troopers,0,79494,0,2236514,{},[],[],[]
23-06-01 233632(hhmmss KST),Starship Troopers,0,81712,0,2283621,{},[],[],[]
23-06-01 234005(hhmmss KST),Starship Troopers,0,81796,0,2285699,{},[],[],[]
23-06-01 235506(hhmmss KST),Starship Troopers,0,82641,0,2356227,{},[],[],[]
23-06-01 235840(hhmmss KST),Starship Troopers,0,83105,0,2357763,{},[],[],[]
23-06-02 001349(hhmmss KST),Starship Troopers,0,84227,0,2401855,{},[],[],[]
23-06-02 001726(hhmmss KST),Starship Troopers,0,84145,0,2441128,{},[],[],[]
23-06-02 003221(hhmmss KST),Starship Troopers,0,85119,0,2530058,{},[],[],[]
23-06-02 003552(hhmmss KST),Starship Troopers,0,85577,0,2513745,{},[],[],[]
23-06-02 005043(hhmmss KST),Starship Troopers,0,86399,0,2623547,{},[],[],[]
23-06-02 005409(hhmmss KST),Starship Troopers,0,86151,0,2626692,{},[],[],[]
23-06-02 010910(hhmmss KST),Starship Troopers,0,88900,0,2696575,{},[],[],[]
23-06-02 011237(hhmmss KST),Starship Troopers,0,89581,0,2725649,{},[],[],[]
23-06-02 012738(hhmmss KST),Starship Troopers,0,90612,0,2743028,{},[],[],[]
23-06-02 013110(hhmmss KST),Starship Troopers,0,90954,0,2786010,{},[],[],[]
23-06-02 014611(hhmmss KST),Starship Troopers,0,92074,0,2835307,{},[],[],[]
23-06-02 014944(hhmmss KST),Starship Troopers,0,92640,0,2828190,{},[],[],[]
23-06-02 020452(hhmmss KST),Starship Troopers,0,95856,0,2912569,{},[],[],[]
23-06-02 020833(hhmmss KST),Starship Troopers,0,96134,0,2918405,{},[],[],[]
23-06-02 022333(hhmmss KST),Starship Troopers,0,96987,0,2992881,{},[],[],[]
23-06-02 022716(hhmmss KST),Starship Troopers,0,97114,0,2954655,{},[],[],[]
23-06-02 024220(hhmmss KST),Starship Troopers,0,98992,0,2973066,{},[],[],[]
23-06-02 024607(hhmmss KST),Starship Troopers,0,99571,0,2993914,{},[],[],[]
23-06-02 030114(hhmmss KST),Starship Troopers,0,102049,0,3109502,{},[],[],[]
23-06-02 030511(hhmmss KST),Starship Troopers,0,103251,0,3126921,{},[],[],[]
23-06-02 032017(hhmmss KST),Starship Troopers,0,106014,0,3231983,{},[],[],[]
23-06-02 032420(hhmmss KST),Starship Troopers,0,106389,0,3253133,{},[],[],[]
23-06-02 033926(hhmmss KST),Starship Troopers,0,108795,0,3255316,{},[],[],[]
23-06-02 034338(hhmmss KST),Starship Troopers,0,109584,0,3298373,{},[],[],[]
23-06-02 035840(hhmmss KST),Starship Troopers,0,111668,0,3323781,{},[],[],[]
23-06-02 040300(hhmmss KST),Starship Troopers,0,112865,0,3388101,{},[],[],[]
23-06-02 041805(hhmmss KST),Starship Troopers,0,115364,0,3356407,{},[],[],[]
23-06-02 042230(hhmmss KST),Starship Troopers,0,115831,0,3379830,{},[],[],[]
23-06-02 043733(hhmmss KST),Starship Troopers,0,116818,0,3419207,{},[],[],[]
23-06-02 044201(hhmmss KST),Starship Troopers,0,117286,0,3403466,{},[],[],[]
23-06-02 045701(hhmmss KST),Starship Troopers,0,117611,0,3421697,{},[],[],[]
23-06-02 050130(hhmmss KST),Starship Troopers,0,117408,0,3437341,{},[],[],[]
23-06-02 051631(hhmmss KST),Starship Troopers,0,117327,0,3431925,{},[],[],[]
23-06-02 052101(hhmmss KST),Starship Troopers,0,117578,0,3441853,{},[],[],[]
23-06-02 053601(hhmmss KST),Starship Troopers,0,116596,0,3447346,{},[],[],[]
23-06-02 054029(hhmmss KST),Starship Troopers,0,115943,0,3430967,{},[],[],[]
23-06-02 055523(hhmmss KST),Starship Troopers,0,114648,0,3381775,{},[],[],[]
23-06-02 055949(hhmmss KST),Starship Troopers,0,114280,0,3371909,{},[],[],[]
23-06-02 061439(hhmmss KST),Starship Troopers,0,111995,0,3343594,{},[],[],[]
