DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),Stellaris,15,78255,40,1545835,"{""en"":12,""ko"":2,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'aerosvalos', 'yecktan', 'sairankann', 'infrequentlurker', 'daniel90', 'secretsoultwitch', 'thedemolisher13', 'careyreformed', 'shadowgunny25', 'younbeyoungho', 'mohtaro', 'stolentiki', 'sprucetrap87']","['SuperVillainMissFortune', 'SmokeeeG', 'AerosValos', 'YeckTan', 'SairanKann', 'infrequentLurker', 'Daniel90', 'secretsoultwitch', 'theDemolisher13', 'careyreformed', 'shadowgunny25', 'YouNBeYoungHo', 'mohtaro', 'stolentiki', 'Sprucetrap87']","['4', '4x', 'ADHD', 'BackseatingAllowed', 'Chatty', 'Chill', 'ENGLISH', 'English', 'Insanity', 'LGBT', 'LGBTQIAPlus', 'LeagueaofLegends', 'Mistakes', 'MistakesWereMade', 'MistakesWillBeMade', 'NØØB', 'ParadoxGames', 'RTS', 'Retrowave', 'Stellaris', 'Strategy', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'XT489Eliminators', 'eveonline', 'gang', 'imperio', 'jugando', 'justchatting', 'leif', 'modded', 'multiplayer', 'novoice', 'reaccionando', 'warhammer', 'xenophile', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 143759(hhmmss KST),Stellaris,16,75785,43,1521355,"{""en"":13,""ko"":2,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'aerosvalos', 'yecktan', 'daniel90', 'sairankann', 'infrequentlurker', 'younbeyoungho', 'thedemolisher13', 'careyreformed', 'shadowgunny25', 'secretsoultwitch', 'mohtaro', 'stolentiki', 'sprucetrap87', 'giddsville']","['SuperVillainMissFortune', 'SmokeeeG', 'AerosValos', 'YeckTan', 'Daniel90', 'SairanKann', 'infrequentLurker', 'YouNBeYoungHo', 'theDemolisher13', 'careyreformed', 'shadowgunny25', 'secretsoultwitch', 'mohtaro', 'stolentiki', 'Sprucetrap87', 'giddsville']","['4', '4x', 'ADHD', 'BackseatingAllowed', 'Chatty', 'Chill', 'ENGLISH', 'English', 'GrandStrategy', 'Insanity', 'LGBT', 'LGBTQIAPlus', 'LeagueaofLegends', 'Mistakes', 'MistakesWereMade', 'MistakesWillBeMade', 'NØØB', 'ParadoxGames', 'RTS', 'Retrowave', 'SpaceSim', 'Stellaris', 'Strategy', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'XT489Eliminators', 'eveonline', 'footballmanager2023', 'gang', 'imperio', 'jugando', 'justchatting', 'leif', 'modded', 'multiplayer', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', 'xenophile', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 144149(hhmmss KST),Stellaris,14,74921,39,1517175,"{""en"":11,""ko"":2,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'aerosvalos', 'yecktan', 'daniel90', 'younbeyoungho', 'thedemolisher13', 'sairankann', 'infrequentlurker', 'careyreformed', 'shadowgunny25', 'secretsoultwitch', 'stolentiki', 'giddsville']","['SuperVillainMissFortune', 'SmokeeeG', 'AerosValos', 'YeckTan', 'Daniel90', 'YouNBeYoungHo', 'theDemolisher13', 'SairanKann', 'infrequentLurker', 'careyreformed', 'shadowgunny25', 'secretsoultwitch', 'stolentiki', 'giddsville']","['4', '4x', 'ADHD', 'BackseatingAllowed', 'Chatty', 'Chill', 'ENGLISH', 'English', 'GrandStrategy', 'Insanity', 'LGBT', 'LGBTQIAPlus', 'LeagueaofLegends', 'Mistakes', 'MistakesWereMade', 'MistakesWillBeMade', 'NØØB', 'ParadoxGames', 'RTS', 'Retrowave', 'SpaceSim', 'Stellaris', 'Strategy', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'gang', 'imperio', 'jugando', 'justchatting', 'leif', 'modded', 'multiplayer', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', 'xenophile', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 150100(hhmmss KST),Stellaris,15,70208,53,1435906,"{""en"":12,""ko"":2,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'aerosvalos', 'yecktan', 'failzembuns', 'sairankann', 'infrequentlurker', 'daniel90', 'thedemolisher13', 'careyreformed', 'shadowgunny25', 'younbeyoungho', 'secretsoultwitch', 'mohtaro', 'giddsville']","['SuperVillainMissFortune', 'SmokeeeG', 'AerosValos', 'YeckTan', 'Failzembuns', 'SairanKann', 'infrequentLurker', 'Daniel90', 'theDemolisher13', 'careyreformed', 'shadowgunny25', 'YouNBeYoungHo', 'secretsoultwitch', 'mohtaro', 'giddsville']","['4', '4x', 'ADHD', 'BackseatingAllowed', 'Chatty', 'Chill', 'ENGLISH', 'English', 'GrandStrategy', 'Insanity', 'LGBT', 'LGBTQIAPlus', 'LeagueaofLegends', 'Mistakes', 'MistakesWereMade', 'MistakesWillBeMade', 'NØØB', 'ParadoxGames', 'RTS', 'Retrowave', 'SpaceSim', 'Stellaris', 'Strategy', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'gang', 'imperio', 'jugando', 'justchatting', 'leif', 'modded', 'multiplayer', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', 'xenophile', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 151830(hhmmss KST),Stellaris,13,66227,39,1365723,"{""en"":10,""ko"":2,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'yecktan', 'sairankann', 'daniel90', 'failzembuns', 'thedemolisher13', 'shadowgunny25', 'younbeyoungho', 'secretsoultwitch', 'mohtaro', 'giddsville', 'bastynastard420']","['SuperVillainMissFortune', 'SmokeeeG', 'YeckTan', 'SairanKann', 'Daniel90', 'Failzembuns', 'theDemolisher13', 'shadowgunny25', 'YouNBeYoungHo', 'secretsoultwitch', 'mohtaro', 'giddsville', 'bastynastard420']","['4', 'ADHD', 'ENGLISH', 'English', 'GrandStrategy', 'LGBT', 'LGBTQIAPlus', 'LeagueaofLegends', 'NØØB', 'ParadoxGames', 'Retrowave', 'SpaceSim', 'Stellaris', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'gang', 'imperio', 'jugando', 'justchatting', 'leif', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', 'xenophile', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 153554(hhmmss KST),Stellaris,12,63363,37,1309148,"{""en"":10,""es"":1,""ko"":1}","['supervillainmissfortune', 'smokeeeg', 'sairankann', 'failzembuns', 'thedemolisher13', 'bastynastard420', 'daniel90', 'careyreformed', 'shadowgunny25', 'secretsoultwitch', 'mohtaro', 'giddsville']","['SuperVillainMissFortune', 'SmokeeeG', 'SairanKann', 'Failzembuns', 'theDemolisher13', 'bastynastard420', 'Daniel90', 'careyreformed', 'shadowgunny25', 'secretsoultwitch', 'mohtaro', 'giddsville']","['ADHD', 'ENGLISH', 'English', 'GrandStrategy', 'LGBTQIAPlus', 'LeagueaofLegends', 'NØØB', 'ParadoxGames', 'Retrowave', 'SpaceSim', 'Stellaris', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'imperio', 'jugando', 'justchatting', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 155310(hhmmss KST),Stellaris,11,60244,42,1256378,"{""en"":9,""ko"":1,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'colruth', 'secretsoultwitch', 'sairankann', 'failzembuns', 'bastynastard420', 'daniel90', 'shadowgunny25', 'mohtaro', 'giddsville']","['SuperVillainMissFortune', 'SmokeeeG', 'Colruth', 'secretsoultwitch', 'SairanKann', 'Failzembuns', 'bastynastard420', 'Daniel90', 'shadowgunny25', 'mohtaro', 'giddsville']","['ADHD', 'ENGLISH', 'English', 'GrandStrategy', 'LGBTQIAPlus', 'LeagueaofLegends', 'NØØB', 'ParadoxGames', 'Retrowave', 'SpaceSim', 'Stellaris', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'imperio', 'jugando', 'justchatting', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', '그림', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 162336(hhmmss KST),Stellaris,13,55734,35,1219460,"{""en"":9,""ko"":3,""es"":1}","['supervillainmissfortune', 'smokeeeg', 'zekka_m', 'failzembuns', 'bastynastard420', 'sairankann', 'daniel90', 'shadowgunny25', 'secretsoultwitch', 'mohtaro', 'giddsville', 'batasgamer', 'younbeyoungho']","['SuperVillainMissFortune', 'SmokeeeG', '젝카_', 'Failzembuns', 'bastynastard420', 'SairanKann', 'Daniel90', 'shadowgunny25', 'secretsoultwitch', 'mohtaro', 'giddsville', 'BatasGamer', 'YouNBeYoungHo']","['ADHD', 'Bisaya', 'ENGLISH', 'English', 'Filipino', 'Friendly', 'GrandStrategy', 'IndieGame', 'LGBTQIAPlus', 'Law', 'LawStudent', 'LeagueaofLegends', 'NØØB', 'ParadoxGames', 'Retrowave', 'Space', 'SpaceSim', 'Stellaris', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'imperio', 'jugando', 'justchatting', 'novoice', 'reaccionando', 'realtimestrategy', 'simulation', 'warhammer', '그림', '노가다', '노보이스', '블렌더3d', '아트', '예술', '텐션없음', '한국어']"
23-06-01 164052(hhmmss KST),Stellaris,11,53865,32,1226182,"{""en"":9,""ko"":2}","['supervillainmissfortune', 'smokeeeg', 'zekka_m', 'batasgamer', 'bastynastard420', 'daniel90', 'shadowgunny25', 'younbeyoungho', 'failzembuns', 'giddsville', 'mohtaro']","['SuperVillainMissFortune', 'SmokeeeG', '젝카_', 'BatasGamer', 'bastynastard420', 'Daniel90', 'shadowgunny25', 'YouNBeYoungHo', 'Failzembuns', 'giddsville', 'mohtaro']","['ADHD', 'Bisaya', 'ENGLISH', 'English', 'Filipino', 'Friendly', 'GrandStrategy', 'IndieGame', 'LGBTQIAPlus', 'Law', 'LawStudent', 'LeagueaofLegends', 'NØØB', 'ParadoxGames', 'Retrowave', 'Space', 'SpaceSim', 'Stellaris', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'justchatting', 'realtimestrategy', 'simulation', 'warhammer', '노가다', '한국어']"
23-06-01 165750(hhmmss KST),Stellaris,10,52064,34,1214767,"{""en"":8,""ko"":2}","['supervillainmissfortune', 'smokeeeg', 'daniel90', 'zekka_m', 'batasgamer', 'bastynastard420', 'shadowgunny25', 'younbeyoungho', 'giddsville', 'mohtaro']","['SuperVillainMissFortune', 'SmokeeeG', 'Daniel90', '젝카_', 'BatasGamer', 'bastynastard420', 'shadowgunny25', 'YouNBeYoungHo', 'giddsville', 'mohtaro']","['ADHD', 'Bisaya', 'ENGLISH', 'English', 'Filipino', 'Friendly', 'GrandStrategy', 'IndieGame', 'LGBTQIAPlus', 'Law', 'LawStudent', 'LeagueaofLegends', 'NØØB', 'ParadoxGames', 'Retrowave', 'Space', 'SpaceSim', 'Stellaris', 'Supervillain', 'Synthwave', 'Trans', 'Transwoman', 'Vaporwave', 'VarietyGamer', 'Vtuber', 'eveonline', 'footballmanager2023', 'justchatting', 'realtimestrategy', 'simulation', 'warhammer', '노가다', '한국어']"
