DATETIME,game_name,broadcaster_cnt,total_broadcaster_cnt,viewer_cnt,Total_twitch_viewer,language,user_ids,user_names,tags_unique
23-06-01 142744(hhmmss KST),TOTAL WAR: WARHAMMER III,14,78255,215,1545835,"{""en"":11,""pt"":1,""pl"":1,""ko"":1}","['donfandango', 'justcapo', 'grizzfly22', 'knighthawkelive', 'ghodoh', 'sonofkiernan', 'fortytaco', 'kaizer0002', 'kosa_chaoslord', 'izillattv', 'lysung0820', 'jehucrust', 'zxpsy', 'calamitycassvt']","['DonFandango', 'JustCapo', 'GrizzFly22', 'KnightHawkeLive', 'Ghodoh', 'sonofkiernan', 'FortyTaco', 'Kaizer0002', 'kosa_chaoslord', 'IzillaTTV', '쿠크루쿠다스', 'jehucrust', 'zxPsy', 'CalamityCassVT']","['Action', 'BeginnerPlayers', 'Cantlose', 'CasualPlaythrough', 'Chatty', 'Comfy', 'Cozy', 'DadGamer', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'HardestDifficulty', 'Interactive', 'Modded', 'PlayingWithViewers', 'Polski', 'Português', 'RTS', 'Strategy', 'TotalWarWARHAMMERIII', 'TotalWarWarhammer3', 'Vtuber', 'VtuberEN', 'am', 'anime', 'bannerlord', 'casual', 'chill', 'english', 'fantasy', 'fulltimestreamer', 'gameplay', 'gaming', 'helpme', 'notjustonegame', 'pc', 'przetrwanie', 'ps5', 'strategy', 'thisisaW', 'totalwar', 'variety', 'vibesandchill', 'walka', 'warhammer', 'xbox', 'xboxone', '배너로드', '불멸의제국', '토탈워', '한국어']"
23-06-01 143759(hhmmss KST),TOTAL WAR: WARHAMMER III,13,75785,216,1521355,"{""en"":10,""pt"":1,""pl"":1,""ko"":1}","['donfandango', 'justcapo', 'sonofkiernan', 'grizzfly22', 'knighthawkelive', 'ghodoh', 'kaizer0002', 'kosa_chaoslord', 'izillattv', 'fortytaco', 'lysung0820', 'zxpsy', 'calamitycassvt']","['DonFandango', 'JustCapo', 'sonofkiernan', 'GrizzFly22', 'KnightHawkeLive', 'Ghodoh', 'Kaizer0002', 'kosa_chaoslord', 'IzillaTTV', 'FortyTaco', '쿠크루쿠다스', 'zxPsy', 'CalamityCassVT']","['Action', 'BeginnerPlayers', 'Cantlose', 'CasualPlaythrough', 'Chatty', 'Comfy', 'Cozy', 'DadGamer', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'HardestDifficulty', 'Interactive', 'Modded', 'PlayingWithViewers', 'Polski', 'Português', 'RTS', 'Strategy', 'TotalWarWarhammer3', 'Vtuber', 'VtuberEN', 'am', 'bannerlord', 'casual', 'chill', 'english', 'fantasy', 'fulltimestreamer', 'gameplay', 'gaming', 'notjustonegame', 'pc', 'przetrwanie', 'strategy', 'thisisaW', 'variety', 'vibesandchill', 'walka', 'warhammer', '배너로드', '불멸의제국', '토탈워', '한국어']"
23-06-01 144149(hhmmss KST),TOTAL WAR: WARHAMMER III,12,74921,219,1517175,"{""en"":9,""pt"":1,""pl"":1,""ko"":1}","['donfandango', 'justcapo', 'grizzfly22', 'sonofkiernan', 'knighthawkelive', 'ghodoh', 'kaizer0002', 'kosa_chaoslord', 'izillattv', 'fortytaco', 'lysung0820', 'zxpsy']","['DonFandango', 'JustCapo', 'GrizzFly22', 'sonofkiernan', 'KnightHawkeLive', 'Ghodoh', 'Kaizer0002', 'kosa_chaoslord', 'IzillaTTV', 'FortyTaco', '쿠크루쿠다스', 'zxPsy']","['Action', 'BeginnerPlayers', 'Cantlose', 'CasualPlaythrough', 'Chatty', 'DadGamer', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'HardestDifficulty', 'Interactive', 'Modded', 'PlayingWithViewers', 'Polski', 'Português', 'RTS', 'Strategy', 'TotalWarWarhammer3', 'am', 'bannerlord', 'casual', 'chill', 'english', 'fantasy', 'fulltimestreamer', 'gameplay', 'gaming', 'notjustonegame', 'pc', 'przetrwanie', 'strategy', 'thisisaW', 'vibesandchill', 'walka', 'warhammer', '배너로드', '불멸의제국', '토탈워', '한국어']"
23-06-01 150100(hhmmss KST),TOTAL WAR: WARHAMMER III,13,70208,226,1435906,"{""en"":7,""pt"":1,""de"":1,""pl"":1,""fr"":1,""ru"":1,""ko"":1}","['donfandango', 'justcapo', 'kaizer0002', 'knighthawkelive', 'ghodoh', 'mecha0turtle', 'zxpsy', 'whitecanaryhq', 'kosa_chaoslord', 'izillattv', 'mortarius93', 'surt_ur', 'lysung0820']","['DonFandango', 'JustCapo', 'Kaizer0002', 'KnightHawkeLive', 'Ghodoh', 'mecha0turtle', 'zxPsy', 'WhiteCanaryHQ', 'kosa_chaoslord', 'IzillaTTV', 'Mortarius93', 'surt_ur', '쿠크루쿠다스']","['Cantlose', 'Chatty', 'DadGamer', 'Deutsch', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'Francais', 'HardestDifficulty', 'Interactive', 'PlayingWithViewers', 'Polski', 'Português', 'Strategy', 'TotalWarWarhammer3', 'Totalwar', 'Warhammer', 'am', 'bannerlord', 'drops', 'firstPlay', 'firstplaythrough', 'fulltimestreamer', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'przetrwanie', 'thisisaW', 'totalwar', 'variety', 'vibesandchill', 'walka', 'warhammer', 'warhammer3', 'Русский', 'стратегии', '배너로드', '불멸의제국', '토탈워', '한국어']"
23-06-01 151830(hhmmss KST),TOTAL WAR: WARHAMMER III,13,66227,256,1365723,"{""en"":7,""ru"":1,""pt"":1,""fr"":1,""de"":1,""pl"":1,""ko"":1}","['donfandango', 'surt_ur', 'justcapo', 'mecha0turtle', 'kaizer0002', 'ghodoh', 'mortarius93', 'knighthawkelive', 'whitecanaryhq', 'kosa_chaoslord', 'izillattv', 'lysung0820', 'zxpsy']","['DonFandango', 'surt_ur', 'JustCapo', 'mecha0turtle', 'Kaizer0002', 'Ghodoh', 'Mortarius93', 'KnightHawkeLive', 'WhiteCanaryHQ', 'kosa_chaoslord', 'IzillaTTV', '쿠크루쿠다스', 'zxPsy']","['Cantlose', 'Chatty', 'DadGamer', 'Deutsch', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'Francais', 'HardestDifficulty', 'Interactive', 'PlayingWithViewers', 'Polski', 'Português', 'Strategy', 'TotalWarWarhammer3', 'Totalwar', 'Warhammer', 'am', 'bannerlord', 'drops', 'firstPlay', 'firstplaythrough', 'fulltimestreamer', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'przetrwanie', 'thisisaW', 'totalwar', 'variety', 'vibesandchill', 'walka', 'warhammer', 'warhammer3', 'Русский', 'стратегии', '배너로드', '불멸의제국', '토탈워', '한국어']"
23-06-01 153554(hhmmss KST),TOTAL WAR: WARHAMMER III,13,63363,287,1309148,"{""en"":8,""ru"":1,""de"":1,""pl"":1,""pt"":1,""fr"":1}","['donfandango', 'surt_ur', 'justcapo', 'kaizer0002', 'mecha0turtle', 'whitecanaryhq', 'knighthawkelive', 'kosa_chaoslord', 'ghodoh', 'izillattv', 'ultimajake9', 'mortarius93', 'zxpsy']","['DonFandango', 'surt_ur', 'JustCapo', 'Kaizer0002', 'mecha0turtle', 'WhiteCanaryHQ', 'KnightHawkeLive', 'kosa_chaoslord', 'Ghodoh', 'IzillaTTV', 'UltimaJake9', 'Mortarius93', 'zxPsy']","['Cantlose', 'Chatty', 'DadGamer', 'Deutsch', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'Francais', 'HardestDifficulty', 'Interactive', 'PlayingWithViewers', 'Polski', 'Português', 'Strategy', 'TotalWarWarhammer3', 'Totalwar', 'Warhammer', 'am', 'bannerlord', 'drops', 'firstPlay', 'firstplaythrough', 'fulltimestreamer', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'przetrwanie', 'thisisaW', 'totalwar', 'variety', 'vibesandchill', 'walka', 'warhammer', 'warhammer3', 'Русский', 'стратегии']"
23-06-01 155310(hhmmss KST),TOTAL WAR: WARHAMMER III,13,60244,269,1256378,"{""en"":8,""ru"":1,""de"":1,""pl"":1,""pt"":1,""fr"":1}","['donfandango', 'surt_ur', 'justcapo', 'mecha0turtle', 'whitecanaryhq', 'knighthawkelive', 'kaizer0002', 'kosa_chaoslord', 'ghodoh', 'izillattv', 'ultimajake9', 'mortarius93', 'zxpsy']","['DonFandango', 'surt_ur', 'JustCapo', 'mecha0turtle', 'WhiteCanaryHQ', 'KnightHawkeLive', 'Kaizer0002', 'kosa_chaoslord', 'Ghodoh', 'IzillaTTV', 'UltimaJake9', 'Mortarius93', 'zxPsy']","['Cantlose', 'Chatty', 'DadGamer', 'Deutsch', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'Francais', 'HardestDifficulty', 'Interactive', 'PlayingWithViewers', 'Polski', 'Português', 'Strategy', 'TotalWarWarhammer3', 'Totalwar', 'Warhammer', 'am', 'bannerlord', 'drops', 'firstPlay', 'firstplaythrough', 'fulltimestreamer', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'przetrwanie', 'thisisaW', 'totalwar', 'variety', 'vibesandchill', 'walka', 'warhammer', 'warhammer3', 'Русский', 'стратегии']"
23-06-01 162336(hhmmss KST),TOTAL WAR: WARHAMMER III,16,55734,365,1219460,"{""en"":11,""ru"":1,""de"":1,""pl"":1,""pt"":1,""fr"":1}","['donfandango', 'coopconnect', 'surt_ur', 'justcapo', 'vimortal', 'mecha0turtle', 'whitecanaryhq', 'kaizer0002', 'kosa_chaoslord', 'white__icee23', 'knighthawkelive', 'ghodoh', 'izillattv', 'ultimajake9', 'zxpsy', 'pierrotsama']","['DonFandango', 'CoopConnect', 'surt_ur', 'JustCapo', 'Vimortal', 'mecha0turtle', 'WhiteCanaryHQ', 'Kaizer0002', 'kosa_chaoslord', 'white__icee23', 'KnightHawkeLive', 'Ghodoh', 'IzillaTTV', 'UltimaJake9', 'zxPsy', 'PierrotSama']","['Cantlose', 'Chatty', 'DadGamer', 'Deutsch', 'EN', 'EngIish', 'English', 'FIrstPlaythrough', 'FPS', 'Français', 'HardestDifficulty', 'Interactive', 'NewZealand', 'PierrotSama', 'PlayingWithViewers', 'Polski', 'Português', 'Strategy', 'TotalWarWARHAMMERIII', 'TotalWarWarhammer3', 'Totalwar', 'Vtuber', 'Warhammer', 'am', 'bannerlord', 'firstPlay', 'firstplaythrough', 'fulltimestreamer', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'przetrwanie', 'thisisaW', 'totalwar', 'variety', 'vibesandchill', 'walka', 'warhammer', 'warhammer3', 'Русский', 'стратегии']"
23-06-01 164052(hhmmss KST),TOTAL WAR: WARHAMMER III,14,53865,390,1226182,"{""en"":9,""fr"":2,""ru"":1,""de"":1,""pt"":1}","['donfandango', 'coopconnect', 'surt_ur', 'mecha0turtle', 'vimortal', 'whitecanaryhq', 'kaizer0002', 'white__icee23', 'ghodoh', 'izillattv', 'camarga_fr', 'ultimajake9', 'zxpsy', 'pierrotsama']","['DonFandango', 'CoopConnect', 'surt_ur', 'mecha0turtle', 'Vimortal', 'WhiteCanaryHQ', 'Kaizer0002', 'white__icee23', 'Ghodoh', 'IzillaTTV', 'Camarga_FR', 'UltimaJake9', 'zxPsy', 'PierrotSama']","['Cantlose', 'Deutsch', 'English', 'FPS', 'FR', 'Français', 'NewZealand', 'PierrotSama', 'Português', 'TotalWarWARHAMMERIII', 'Totalwar', 'Vtuber', 'Warhammer', 'am', 'bannerlord', 'firstPlay', 'firstplaythrough', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'thisisaW', 'totalwar', 'variety', 'warhammer', 'warhammer3', 'Русский', 'стратегии']"
23-06-01 165750(hhmmss KST),TOTAL WAR: WARHAMMER III,15,52064,402,1214767,"{""en"":9,""fr"":2,""ru"":1,""de"":1,""zh"":1,""pl"":1}","['donfandango', 'coopconnect', 'surt_ur', 'mecha0turtle', 'whitecanaryhq', 'white__icee23', 'kaizer0002', 'pierrotsama', 'izillattv', 'camarga_fr', 'ultimajake9', 'bb327', 'zxpsy', 'dragon987c', 'enthalos']","['DonFandango', 'CoopConnect', 'surt_ur', 'mecha0turtle', 'WhiteCanaryHQ', 'white__icee23', 'Kaizer0002', 'PierrotSama', 'IzillaTTV', 'Camarga_FR', 'UltimaJake9', '說說也犯法', 'zxPsy', 'dragon987c', 'enthalos']","['Cantlose', 'Deutsch', 'DropyWłączone', 'English', 'Entha', 'FR', 'Francais', 'Français', 'PierrotSama', 'Polski', 'TotalWarWARHAMMERIII', 'Totalwar', 'Warhammer', 'am', 'bannerlord', 'firstPlay', 'firstplaythrough', 'gameplay', 'gaming', 'mountandblade', 'notjustonegame', 'thisisaW', 'totalwar', 'variety', 'warhammer', 'warhammer3', 'Русский', 'стратегии', '中文']"
